,which,state,has,the,largest,number,of,members,?
membership,0.2990085482597351,0.24208270013332367,0.25869449973106384,0.2937599718570709,0.19325172901153564,0.2773105502128601,0.26808464527130127,0.6917017698287964,0.15225854516029358
is,0.4457404911518097,0.2627358138561249,0.5668748617172241,0.5823672413825989,0.3413417339324951,0.22390379011631012,0.4854315221309662,0.1897467076778412,0.22961433231830597
concentrated,0.27207332849502563,0.20342133939266205,0.23140521347522736,0.2688957750797272,0.21904203295707703,0.2133362889289856,0.28396520018577576,0.13023963570594788,0.11501483619213104
primarily,0.411638468503952,0.1867307424545288,0.21441666781902313,0.34785038232803345,0.24000707268714905,0.19197624921798706,0.2761906683444977,0.146311417222023,0.06029784679412842
in,0.4840516746044159,0.33316072821617126,0.4173259735107422,0.6662389636039734,0.3017216920852661,0.3024539053440094,0.5696388483047485,0.196792870759964,0.20430970191955566
the,0.6521818041801453,0.3097178041934967,0.4177538752555847,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.3321719169616699,0.22068053483963013
midwest,0.2176603376865387,0.26970839500427246,0.15621313452720642,0.23843903839588165,0.25584912300109863,0.17438234388828278,0.1707252413034439,0.16198711097240448,0.1305975466966629
and,0.506277859210968,0.2653750479221344,0.43716782331466675,0.5171257257461548,0.24602696299552917,0.28545793890953064,0.5116966962814331,0.2994427978992462,0.20544172823429108
in,0.4840516746044159,0.33316072821617126,0.4173259735107422,0.6662389636039734,0.3017216920852661,0.3024539053440094,0.5696388483047485,0.196792870759964,0.20430970191955566
the,0.6521818041801453,0.3097178041934967,0.4177538752555847,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.3321719169616699,0.22068053483963013
south,0.24635352194309235,0.32680565118789673,0.2072066068649292,0.3129390776157379,0.3298651874065399,0.14315547049045563,0.33382371068000793,0.17412644624710083,0.12336621433496475
.,0.45942068099975586,0.31380724906921387,0.4105546176433563,0.5934505462646484,0.18871670961380005,0.3256329298019409,0.5352458953857422,0.21119362115859985,0.4130953550338745
