,what,3,things,does,the,air,force,work,key,on
the,0.42745697498321533,0.06283142417669296,0.30825191736221313,0.35928019881248474,1.0,0.2877824306488037,0.2800885736942291,0.2704800069332123,0.2260027974843979,0.5107308030128479
work,0.3762225806713104,0.10593864321708679,0.4258117079734802,0.2975199520587921,0.2704800069332123,0.15196478366851807,0.1958054006099701,1.0,0.21008804440498352,0.26663315296173096
focuses,0.27091580629348755,0.1508903056383133,0.3101452887058258,0.27512243390083313,0.26860302686691284,0.14601314067840576,0.15000711381435394,0.2903445065021515,0.1588372439146042,0.32762500643730164
on,0.34226128458976746,0.08950094133615494,0.2750859558582306,0.2568802833557129,0.5107308030128479,0.20020021498203278,0.1764998733997345,0.26663315296173096,0.18956105411052704,0.9999999403953552
three,0.24888746440410614,-0.09938150644302368,0.21899649500846863,0.1872161626815796,0.43452659249305725,0.14429791271686554,0.17702838778495789,0.1984323114156723,0.1800769865512848,0.2742598354816437
key,0.2270265817642212,0.07752567529678345,0.21330255270004272,0.1933029145002365,0.2260027974843979,0.18050885200500488,0.24008497595787048,0.21008804440498352,1.0000001192092896,0.18956105411052704
ideas,0.42330971360206604,0.056277401745319366,0.5037784576416016,0.21900594234466553,0.22381870448589325,0.10560135543346405,0.13908205926418304,0.39556819200515747,0.20614901185035706,0.193235844373703
:,-0.12022944539785385,-0.14544126391410828,-0.1235387772321701,-0.11934193223714828,-0.03403344005346298,-0.0015848929760977626,-0.04815802350640297,-0.08757983893156052,-0.08076989650726318,-0.06502202153205872
use,0.3453877568244934,0.13197186589241028,0.44523340463638306,0.39963871240615845,0.34342584013938904,0.1958862990140915,0.20234666764736176,0.38692766427993774,0.2365228533744812,0.2776605486869812
of,0.33290785551071167,0.046857766807079315,0.2970648407936096,0.3119818866252899,0.733189046382904,0.24196814000606537,0.27094775438308716,0.23473061621189117,0.24036972224712372,0.3966929316520691
a,0.3320399522781372,0.08904784172773361,0.33201509714126587,0.38201746344566345,0.5829201340675354,0.23199330270290375,0.2451154738664627,0.266241192817688,0.23475825786590576,0.3848365545272827
decentralized,0.24125823378562927,0.15919367969036102,0.26788294315338135,0.2914116084575653,0.26113998889923096,0.2221677154302597,0.21443605422973633,0.3267472982406616,0.20082944631576538,0.25082945823669434
network,0.16917307674884796,0.061450157314538956,0.16177469491958618,0.15182675421237946,0.27187061309814453,0.2726602256298065,0.16357216238975525,0.24047605693340302,0.16739396750926971,0.30190837383270264
with,0.2464839518070221,0.03303105756640434,0.27400049567222595,0.26186925172805786,0.4223487675189972,0.2050205022096634,0.15703244507312775,0.2649822533130646,0.17490454018115997,0.40749499201774597
multiple,0.19839626550674438,0.037780530750751495,0.2304254025220871,0.16529619693756104,0.20022359490394592,0.12828458845615387,0.12905102968215942,0.18386146426200867,0.13180185854434967,0.2717284858226776
paths,0.23057404160499573,0.09542931616306305,0.31146326661109924,0.15165263414382935,0.2250492423772812,0.1640888750553131,0.07552935928106308,0.20430313050746918,0.219387024641037,0.13790622353553772
between,0.2462156116962433,-0.02249068394303322,0.19948160648345947,0.16966454684734344,0.39067012071609497,0.18236064910888672,0.21681782603263855,0.1000707820057869,0.18541590869426727,0.3335416913032532
any,0.43670421838760376,0.04891523718833923,0.4345467984676361,0.5203019976615906,0.4525727927684784,0.24509993195533752,0.2569030225276947,0.3439599275588989,0.26231083273887634,0.2894362509250641
two,0.23363454639911652,-0.07663383334875107,0.26797741651535034,0.2100418359041214,0.43858039379119873,0.1828611046075821,0.22581329941749573,0.23419323563575745,0.1970674693584442,0.3205535411834717
points,0.2184005230665207,-0.013383087702095509,0.2901448607444763,0.2209947407245636,0.2560983896255493,0.14263102412223816,0.1182960718870163,0.18043293058872223,0.2103211134672165,0.1853724867105484
",",0.3087472915649414,0.02255268208682537,0.3149048686027527,0.28617382049560547,0.4933079481124878,0.24731357395648956,0.22091743350028992,0.3283594250679016,0.20467913150787354,0.49057599902153015
dividing,0.2898585796356201,0.08493645489215851,0.23785610496997833,0.21086932718753815,0.37785807251930237,0.10062072426080704,0.13451850414276123,0.1992695927619934,0.13836568593978882,0.20843107998371124
user,0.3184303641319275,0.07793985307216644,0.2870815098285675,0.2832685708999634,0.17889195680618286,0.10137984156608582,0.13464544713497162,0.23586918413639069,0.11489114165306091,0.23015347123146057
