,what,type,of,authority,are,ambulatory,care,pharmacists,given,in,the,u.s.,federal,health,care,system,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.214982271194458,0.3841303884983063,0.2798520624637604,0.14557574689388275,0.22358480095863342,0.2528568208217621,1.0,0.6662389636039734,-0.003064807504415512,0.22709031403064728,0.2500189542770386,0.14557574689388275,0.21978288888931274,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2645063102245331,0.40399202704429626,0.29588788747787476,0.1663842648267746,0.24311043322086334,0.37508252263069153,0.6662389636039734,1.0,0.06592652946710587,0.27537089586257935,0.2340974360704422,0.1663842648267746,0.3233085572719574,0.22068053483963013
u.s.,0.11178889125585556,-0.01808912865817547,0.011562774889171124,-0.02807977981865406,-0.06309524178504944,-0.06009099259972572,0.0024497646372765303,0.01581280305981636,0.06173748895525932,-0.003064807504415512,0.06592652946710587,0.9999999403953552,0.06523393094539642,-0.03642319515347481,0.0024497646372765303,-0.011408105492591858,0.07886100560426712
federal,0.2415231615304947,0.03328792378306389,0.264590859413147,0.3361295461654663,0.16786867380142212,0.2430855631828308,0.17220577597618103,0.18755516409873962,0.14138895273208618,0.22709031403064728,0.27537089586257935,0.06523393094539642,1.0000001192092896,0.23561720550060272,0.17220577597618103,0.2007317841053009,0.1812247931957245
health,0.21460163593292236,0.06886095553636551,0.28076469898223877,0.26134464144706726,0.19031372666358948,0.3423938751220703,0.5299020409584045,0.29165908694267273,0.24162420630455017,0.2500189542770386,0.2340974360704422,-0.03642319515347481,0.23561720550060272,1.0000001192092896,0.5299020409584045,0.22666271030902863,0.16094304621219635
care,0.2973911762237549,0.10162777453660965,0.20533065497875214,0.2533383071422577,0.2662802040576935,0.32014933228492737,1.0000001192092896,0.28419914841651917,0.20294369757175446,0.14557574689388275,0.1663842648267746,0.0024497646372765303,0.17220577597618103,0.5299020409584045,1.0000001192092896,0.1863974779844284,0.24279968440532684
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,0.2823696434497833,0.21917270123958588,0.341690331697464,0.1863974779844284,0.18685469031333923,0.20093633234500885,0.21978288888931274,0.3233085572719574,-0.011408105492591858,0.2007317841053009,0.22666271030902863,0.1863974779844284,1.0000001192092896,0.15556083619594574
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.18909376859664917,0.23263892531394958,0.1780315488576889,0.20672287046909332,0.14513295888900757,0.2224431186914444,0.3087427020072937,0.33289089798927307,0.013905826024711132,0.2105168104171753,0.15521767735481262,0.20672287046909332,0.15626809000968933,0.40561532974243164
including,0.18328791856765747,0.12051080167293549,0.44195112586021423,0.15598207712173462,0.45025435090065,0.20706750452518463,0.19042833149433136,0.13650915026664734,0.2817451059818268,0.35857823491096497,0.3738902807235718,-0.033253517001867294,0.1491270512342453,0.25139471888542175,0.19042833149433136,0.14377175271511078,0.1633303165435791
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2645063102245331,0.40399202704429626,0.29588788747787476,0.1663842648267746,0.24311043322086334,0.37508252263069153,0.6662389636039734,1.0,0.06592652946710587,0.27537089586257935,0.2340974360704422,0.1663842648267746,0.3233085572719574,0.22068053483963013
