,what,was,redesigned,to,allow,better,maneuverability,in,the,lrv,?
also,0.42747777700424194,0.4032125174999237,0.2176017016172409,0.5348826050758362,0.32472026348114014,0.3658298850059509,0.30576857924461365,0.5073733329772949,0.6021018624305725,0.25419577956199646,0.21848613023757935
",",0.3087472915649414,0.45456063747406006,0.20020903646945953,0.44245919585227966,0.24557842314243317,0.331943541765213,0.1731511801481247,0.5201468467712402,0.4933079481124878,0.21051543951034546,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,0.2598510682582855,0.535392165184021,0.27822166681289673,0.2113795131444931,0.2905821204185486,0.6662389636039734,1.0,0.16824360191822052,0.22068053483963013
block,0.33229514956474304,0.1182115375995636,0.20212870836257935,0.30297139286994934,0.28534600138664246,0.16049949824810028,0.24453477561473846,0.1659933477640152,0.20056472718715668,0.3310086131095886,0.27211859822273254
ii,0.13866674900054932,0.25630512833595276,0.1516028791666031,0.20368696749210358,0.1036960706114769,0.10978908091783524,0.10369560867547989,0.21453368663787842,0.2631464898586273,0.16241271793842316,0.11928234249353409
spacesuit,0.25044921040534973,0.20578311383724213,0.31469061970710754,0.29768332839012146,0.3338705897331238,0.2838135361671448,0.4121803045272827,0.2316719889640808,0.26034942269325256,0.30211079120635986,0.2394835650920868
was,0.22111038863658905,1.0000001192092896,0.35486769676208496,0.3636345863342285,0.17550189793109894,0.17653010785579681,0.21121317148208618,0.45514053106307983,0.48711544275283813,0.13613483309745789,0.18412111699581146
revised,0.15843524038791656,0.25717079639434814,0.31808236241340637,0.14988531172275543,0.21366558969020844,0.1911470741033554,0.22742396593093872,0.19535814225673676,0.2513941526412964,0.18218383193016052,0.1835426688194275
for,0.3017193675041199,0.3863949179649353,0.1990790069103241,0.4451248347759247,0.34999027848243713,0.3385646641254425,0.3159724175930023,0.4322226941585541,0.4739971458911896,0.28517964482307434,0.264628142118454
the,0.42745697498321533,0.48711544275283813,0.2598510682582855,0.535392165184021,0.27822166681289673,0.2113795131444931,0.2905821204185486,0.6662389636039734,1.0,0.16824360191822052,0.22068053483963013
extended,0.20863614976406097,0.23736250400543213,0.2600345313549042,0.28740090131759644,0.3261295258998871,0.1791202276945114,0.2619130313396454,0.22257764637470245,0.3160722553730011,0.2622109651565552,0.17568568885326385
missions,0.21898438036441803,0.1960911750793457,0.23686730861663818,0.29123765230178833,0.2429780811071396,0.20664082467556,0.29965656995773315,0.2733149528503418,0.26288601756095886,0.23200343549251556,0.21422071754932404
to,0.455847829580307,0.3636345863342285,0.28666165471076965,1.0,0.4900954067707062,0.29406851530075073,0.3182828426361084,0.45010748505592346,0.535392165184021,0.19886943697929382,0.29463258385658264
allow,0.2883041203022003,0.17550189793109894,0.2855972647666931,0.4900954067707062,1.0,0.30268484354019165,0.36325857043266296,0.21222905814647675,0.27822166681289673,0.3235418200492859,0.2042745053768158
greater,0.1946859508752823,0.1568739414215088,0.121173195540905,0.25585630536079407,0.194049671292305,0.2311507761478424,0.23275232315063477,0.26627716422080994,0.2814446687698364,0.10451101511716843,0.09723397344350815
flexibility,0.27463263273239136,0.10582005977630615,0.24570566415786743,0.2562747001647949,0.3975929319858551,0.30052047967910767,0.6564812064170837,0.17230384051799774,0.2562227249145508,0.2621857821941376,0.22000673413276672
and,0.31309178471565247,0.3740963041782379,0.18124745786190033,0.48971283435821533,0.3380379378795624,0.3038354516029358,0.2546578645706177,0.4954058527946472,0.5171257257461548,0.23594284057617188,0.20544172823429108
visibility,0.3029073178768158,0.11820320039987564,0.21313738822937012,0.3294419050216675,0.39096057415008545,0.2050812840461731,0.4836963415145874,0.2005661427974701,0.31353068351745605,0.31103992462158203,0.23034073412418365
for,0.3017193675041199,0.3863949179649353,0.1990790069103241,0.4451248347759247,0.34999027848243713,0.3385646641254425,0.3159724175930023,0.4322226941585541,0.4739971458911896,0.28517964482307434,0.264628142118454
driving,0.249915212392807,0.17576691508293152,0.23425844311714172,0.26946893334388733,0.2275041937828064,0.20560984313488007,0.3113842010498047,0.2480645477771759,0.2537495791912079,0.22191713750362396,0.0902169942855835
the,0.42745697498321533,0.48711544275283813,0.2598510682582855,0.535392165184021,0.27822166681289673,0.2113795131444931,0.2905821204185486,0.6662389636039734,1.0,0.16824360191822052,0.22068053483963013
lrv,0.20986685156822205,0.13613483309745789,0.3183533847332001,0.19886943697929382,0.3235418200492859,0.20156778395175934,0.33167964220046997,0.15343697369098663,0.16824360191822052,0.9999999403953552,0.3043598532676697
.,0.3567904531955719,0.40146201848983765,0.2352994680404663,0.4645031690597534,0.28562283515930176,0.2761487066745758,0.20858809351921082,0.5591574311256409,0.5934505462646484,0.25824281573295593,0.4130953550338745
,what,was,redesigned,to,allow,better,maneuverability,in,the,lrv,?
nasa,0.21178755164146423,0.19417528808116913,0.18458016216754913,0.21193136274814606,0.15218378603458405,0.12385061383247375,0.28596094250679016,0.15705716609954834,0.19786997139453888,0.18491871654987335,0.1809994876384735
publicized,0.2577330470085144,0.3095797598361969,0.2378762811422348,0.2407313734292984,0.23939675092697144,0.23476113379001617,0.30297258496284485,0.26262861490249634,0.24207065999507904,0.16923972964286804,0.2513439953327179
a,0.3320399522781372,0.4508470594882965,0.2493896633386612,0.45503583550453186,0.27607089281082153,0.2532222270965576,0.31171587109565735,0.539380669593811,0.5829201340675354,0.2035565972328186,0.23916715383529663
preliminary,0.3009800612926483,0.21951059997081757,0.2371826320886612,0.23860976099967957,0.2526158094406128,0.1746518462896347,0.23213061690330505,0.23688168823719025,0.3177361786365509,0.23841489851474762,0.1416303664445877
list,0.22366273403167725,0.17363671958446503,0.1467999368906021,0.17417719960212708,0.18007931113243103,0.16888666152954102,0.08045359700918198,0.2799903452396393,0.2863321602344513,0.22349701821804047,0.23630984127521515
of,0.33290785551071167,0.4069072902202606,0.16462190449237823,0.41548454761505127,0.28057926893234253,0.18950162827968597,0.20713070034980774,0.5696388483047485,0.733189046382904,0.13326206803321838,0.1826142966747284
