,when,does,the,largest,traveling,fair,in,europe,take,place,?
the,0.5091903209686279,0.35928019881248474,1.0,0.3757036626338959,0.2753162384033203,0.2018251270055771,0.6662389636039734,0.34463706612586975,0.31620436906814575,0.4179787337779999,0.22068053483963013
hoppings,0.22199970483779907,0.2685320973396301,0.21224600076675415,0.16568392515182495,0.1926720142364502,0.19116748869419098,0.16391269862651825,0.20472311973571777,0.25208190083503723,0.21161974966526031,0.2839316129684448
",",0.36674630641937256,0.28617382049560547,0.4933079481124878,0.26626327633857727,0.19962750375270844,0.2696084678173065,0.5201468467712402,0.2542513906955719,0.2881867289543152,0.34068408608436584,0.31091248989105225
reputedly,0.2705349326133728,0.148191899061203,0.22721819579601288,0.1636582612991333,0.13743822276592255,0.19604526460170746,0.19228526949882507,0.18577878177165985,0.06591934710741043,0.1586410105228424,0.1357717216014862
the,0.5091903209686279,0.35928019881248474,1.0,0.3757036626338959,0.2753162384033203,0.2018251270055771,0.6662389636039734,0.34463706612586975,0.31620436906814575,0.4179787337779999,0.22068053483963013
largest,0.1331232339143753,0.18477381765842438,0.3757036626338959,0.9999999403953552,0.13323141634464264,0.1420276015996933,0.3017216920852661,0.2597532272338867,0.1075187623500824,0.23909464478492737,0.12401245534420013
travelling,0.31646251678466797,0.1583976447582245,0.2908712327480316,0.17690825462341309,0.7622792720794678,0.14426499605178833,0.22477178275585175,0.24521155655384064,0.2657075822353363,0.19917598366737366,0.10423967242240906
fair,0.18416519463062286,0.2463476061820984,0.2018251270055771,0.1420276015996933,0.14462803304195404,1.0000001192092896,0.17628079652786255,0.09386903047561646,0.21011997759342194,0.23441506922245026,0.22737592458724976
in,0.4431333839893341,0.214483380317688,0.6662389636039734,0.3017216920852661,0.20478862524032593,0.17628079652786255,1.0,0.33061710000038147,0.21975718438625336,0.38128477334976196,0.20430970191955566
europe,0.18744638562202454,0.1306854486465454,0.34463706612586975,0.2597532272338867,0.235676109790802,0.09386903047561646,0.33061710000038147,1.0000001192092896,0.13003025949001312,0.21859313547611237,0.18278923630714417
",",0.36674630641937256,0.28617382049560547,0.4933079481124878,0.26626327633857727,0.19962750375270844,0.2696084678173065,0.5201468467712402,0.2542513906955719,0.2881867289543152,0.34068408608436584,0.31091248989105225
takes,0.2802969813346863,0.38490039110183716,0.33578023314476013,0.14895440638065338,0.29741427302360535,0.14861276745796204,0.2945663630962372,0.13689254224300385,0.6401001811027527,0.4506075382232666,0.10935472697019577
place,0.23831914365291595,0.19848348200321198,0.4179787337779999,0.23909464478492737,0.22960180044174194,0.23441506922245026,0.38128477334976196,0.21859313547611237,0.3971441090106964,1.0,0.2455766350030899
on,0.37706470489501953,0.2568802833557129,0.5107308030128479,0.16868500411510468,0.2166467010974884,0.2015625387430191,0.46853652596473694,0.250590980052948,0.27423644065856934,0.32431602478027344,0.2714994251728058
newcastle,0.14692102372646332,0.12200397253036499,0.2253497689962387,0.17620566487312317,0.15107519924640656,0.15801824629306793,0.19270820915699005,0.2158113569021225,0.1542462706565857,0.11422941833734512,0.0902252271771431
town,0.21859249472618103,0.1686156988143921,0.2974243760108948,0.2161252647638321,0.19436904788017273,0.13964970409870148,0.34975525736808777,0.13645170629024506,0.1343957632780075,0.28782185912132263,0.09902279824018478
moor,0.13476383686065674,0.122540183365345,0.20820119976997375,0.16152805089950562,0.12724857032299042,0.18499957025051117,0.2172868251800537,0.1863015592098236,0.041744716465473175,0.11726430058479309,0.05198021978139877
every,0.3753710091114044,0.32406800985336304,0.4023689329624176,0.18683791160583496,0.2467597872018814,0.27626290917396545,0.31953179836273193,0.19858886301517487,0.3831373453140259,0.272716224193573,0.24066033959388733
june,0.2469879388809204,0.12509867548942566,0.24568822979927063,0.12250323593616486,0.1391402631998062,0.21687881648540497,0.29047903418540955,0.17617112398147583,0.14810100197792053,0.2133844792842865,0.31416764855384827
.,0.475719153881073,0.3022993505001068,0.5934505462646484,0.18871670961380005,0.2175574004650116,0.18155190348625183,0.5591574311256409,0.31984585523605347,0.3045158088207245,0.2844318151473999,0.4130953550338745
