,when,was,the,city,of,malindi,established,?
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.3001909852027893,0.38761502504348755,0.17120355367660522,0.27238577604293823,0.25732165575027466
has,0.34538573026657104,0.40313825011253357,0.4177538752555847,0.2476206123828888,0.3909035325050354,0.21408429741859436,0.21947512030601501,0.15994466841220856
remained,0.28067004680633545,0.49345076084136963,0.3492392301559448,0.1903441846370697,0.35287612676620483,0.08695310354232788,0.2850647568702698,0.08263323456048965
an,0.33026179671287537,0.3694365322589874,0.4207492768764496,0.17270074784755707,0.32280945777893066,0.23392093181610107,0.1547301560640335,0.19793890416622162
important,0.24781537055969238,0.24924467504024506,0.39348116517066956,0.28580164909362793,0.43301743268966675,0.09025640040636063,0.2451576143503189,0.17812499403953552
swahili,0.1099163070321083,0.11863858252763748,0.22777055203914642,0.13037151098251343,0.1714525818824768,0.3954407572746277,0.1523796021938324,0.20549607276916504
settlement,0.20788389444351196,0.2632548213005066,0.2599570155143738,0.3396316170692444,0.25982165336608887,0.23174339532852173,0.2832983136177063,0.12535437941551208
since,0.42774689197540283,0.4384658932685852,0.4054957628250122,0.2516091465950012,0.35513219237327576,0.17041663825511932,0.24632857739925385,0.2876587212085724
the,0.5091903209686279,0.48711544275283813,1.0,0.35769423842430115,0.733189046382904,0.19876110553741455,0.33092597126960754,0.22068053483963013
14th,0.12621067464351654,0.24511529505252838,0.21954689919948578,0.11728163808584213,0.13562877476215363,0.1599169224500656,-0.03196875378489494,0.028729064390063286
century,0.22992412745952606,0.3521432876586914,0.3617299497127533,0.22887252271175385,0.2826060354709625,0.14672745764255524,0.2777339220046997,0.1026201918721199
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.2827445864677429,0.5116966962814331,0.2414425015449524,0.2369968742132187,0.20544172823429108
once,0.6055812835693359,0.3461752235889435,0.4227895736694336,0.17205366492271423,0.2879956364631653,0.16515715420246124,0.1716376096010208,0.17750471830368042
rivalled,0.23211884498596191,0.4013458788394928,0.30838513374328613,0.28737640380859375,0.28300994634628296,0.09152472019195557,0.24097265303134918,0.11224546283483505
mombasa,0.145181804895401,0.28458964824676514,0.28063899278640747,0.35654565691947937,0.24401752650737762,0.3696627914905548,0.20114758610725403,0.15605612099170685
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.18687109649181366,0.4185989499092102,0.20993497967720032,0.1717284768819809,0.264628142118454
dominance,0.23594610393047333,0.2191644161939621,0.3841419219970703,0.13777798414230347,0.3554438352584839,0.09095180779695511,0.22997768223285675,0.08315658569335938
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.3911624252796173,0.5696388483047485,0.1602572351694107,0.3118882477283478,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.35769423842430115,0.733189046382904,0.19876110553741455,0.33092597126960754,0.22068053483963013
african,0.15139542520046234,0.20509590208530426,0.23305515944957733,0.1494215875864029,0.23470255732536316,0.2253081202507019,0.11886579543352127,0.11862778663635254
great,0.2342798113822937,0.19652196764945984,0.2822027802467346,0.1521005928516388,0.3168134391307831,0.15338119864463806,0.14092090725898743,0.13135133683681488
lakes,0.19048361480236053,0.12212986499071121,0.26104623079299927,0.23030905425548553,0.3004763126373291,0.1632392257452011,0.12736663222312927,0.12022668123245239
region,0.21040433645248413,0.19296804070472717,0.35020557045936584,0.38168054819107056,0.2852717339992523,0.19174273312091827,0.1795281022787094,0.13441751897335052
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.29856356978416443,0.5352458953857422,0.2750932574272156,0.23771190643310547,0.4130953550338745
