,who,did,the,north,declare,for,during,the,english,civil,war,?
during,0.30551859736442566,0.30679523944854736,0.4838213622570038,0.2651914358139038,0.20374250411987305,0.3448435664176941,1.0,0.4838213622570038,0.09971442073583603,0.2953299880027771,0.4802435040473938,0.1325719803571701
the,0.3733934462070465,0.34736719727516174,1.0,0.36298373341560364,0.2523198127746582,0.4739971458911896,0.4838213622570038,1.0,0.23982001841068268,0.2477465271949768,0.366199791431427,0.22068053483963013
english,0.33983519673347473,0.18994997441768646,0.23982001841068268,0.14724189043045044,0.1629912257194519,0.2594873905181885,0.09971442073583603,0.23982001841068268,0.9999999403953552,0.22491814196109772,0.15286730229854584,0.23251567780971527
civil,0.14972704648971558,0.17288750410079956,0.2477465271949768,0.2387736737728119,0.2400890588760376,0.1685788929462433,0.2953299880027771,0.2477465271949768,0.22491814196109772,1.0,0.5418448448181152,0.1494513899087906
war,0.24286115169525146,0.27422013878822327,0.366199791431427,0.2980347275733948,0.3616713881492615,0.22632956504821777,0.4802435040473938,0.366199791431427,0.15286730229854584,0.5418448448181152,1.0000001192092896,0.15510529279708862
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.31834840774536133,0.2672341763973236,0.4464869201183319,0.3225448727607727,0.4933079481124878,0.3339248597621918,0.24795588850975037,0.2671184241771698,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,1.0,0.36298373341560364,0.2523198127746582,0.4739971458911896,0.4838213622570038,1.0,0.23982001841068268,0.2477465271949768,0.366199791431427,0.22068053483963013
north,0.11026738584041595,0.16732536256313324,0.36298373341560364,1.0,0.1693267524242401,0.17560088634490967,0.2651914358139038,0.36298373341560364,0.14724189043045044,0.2387736737728119,0.2980347275733948,0.11829731613397598
declared,0.1618698090314865,0.23851890861988068,0.260531485080719,0.16968847811222076,0.8114259243011475,0.17945273220539093,0.2527824342250824,0.260531485080719,0.05711622163653374,0.19790032505989075,0.3267250657081604,0.17688149213790894
for,0.37110671401023865,0.318512886762619,0.4739971458911896,0.17560088634490967,0.19927355647087097,0.9999999403953552,0.3448435664176941,0.4739971458911896,0.2594873905181885,0.1685788929462433,0.22632956504821777,0.264628142118454
the,0.3733934462070465,0.34736719727516174,1.0,0.36298373341560364,0.2523198127746582,0.4739971458911896,0.4838213622570038,1.0,0.23982001841068268,0.2477465271949768,0.366199791431427,0.22068053483963013
king,0.24555552005767822,0.24472618103027344,0.25887003540992737,0.21951641142368317,0.25401660799980164,0.17887762188911438,0.1863340139389038,0.25887003540992737,0.17063689231872559,0.2031002789735794,0.2670030891895294,0.19130074977874756
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.3171539604663849,0.21022111177444458,0.4726039469242096,0.3485563397407532,0.5934505462646484,0.2881386876106262,0.2541380822658539,0.3000848889350891,0.4130953550338745
