,what,could,tesla,perform,in,his,head,?
tesla,0.23221199214458466,0.16634690761566162,0.9999999403953552,0.19425198435783386,0.17097744345664978,0.1580733060836792,0.07052404433488846,0.10250775516033173
was,0.22111038863658905,0.39896807074546814,0.16455206274986267,0.19602897763252258,0.45514053106307983,0.4405253231525421,0.2465479075908661,0.18412111699581146
able,0.3404487371444702,0.619264543056488,0.13654674589633942,0.2831251621246338,0.23456627130508423,0.28651130199432373,0.1191428154706955,0.260649710893631
to,0.455847829580307,0.5461788773536682,0.17548894882202148,0.3513144552707672,0.45010748505592346,0.3715193271636963,0.2177244871854782,0.29463258385658264
perform,0.22104133665561676,0.23730240762233734,0.19425198435783386,1.0000001192092896,0.22578492760658264,0.26629966497421265,0.08898571878671646,0.13460582494735718
integral,0.25464048981666565,0.19818593561649323,0.2745411992073059,0.23740574717521667,0.20927265286445618,0.1654517948627472,0.1665317416191101,0.1463361233472824
calculus,0.29452529549598694,0.20669376850128174,0.30292394757270813,0.19923600554466248,0.13005900382995605,0.1488708108663559,0.1353285312652588,0.18995526432991028
in,0.30808621644973755,0.29357993602752686,0.17097744345664978,0.22578492760658264,1.0,0.3598145842552185,0.21927717328071594,0.20430970191955566
his,0.26976513862609863,0.24824443459510803,0.1580733060836792,0.26629966497421265,0.3598145842552185,0.9999998807907104,0.2232082635164261,0.18075084686279297
head,0.18919230997562408,0.15088003873825073,0.07052404433488846,0.08898571878671646,0.21927717328071594,0.2232082635164261,0.9999998807907104,0.10879309475421906
",",0.3087472915649414,0.27399855852127075,0.20599327981472015,0.19458305835723877,0.5201468467712402,0.3378419280052185,0.2711189091205597,0.31091248989105225
which,0.5261979103088379,0.3928161859512329,0.2203940600156784,0.29914236068725586,0.4840516746044159,0.32283493876457214,0.21546128392219543,0.25814583897590637
prompted,0.20217911899089813,0.2597157657146454,0.04243326932191849,0.21399283409118652,0.2340080887079239,0.30540940165519714,0.1599860042333603,0.13139130175113678
his,0.26976513862609863,0.24824443459510803,0.1580733060836792,0.26629966497421265,0.3598145842552185,0.9999998807907104,0.2232082635164261,0.18075084686279297
teachers,0.2526462972164154,0.22082939743995667,0.2418571263551712,0.21027106046676636,0.2128150761127472,0.2831307053565979,0.22776377201080322,0.19522249698638916
to,0.455847829580307,0.5461788773536682,0.17548894882202148,0.3513144552707672,0.45010748505592346,0.3715193271636963,0.2177244871854782,0.29463258385658264
believe,0.46656209230422974,0.3515373766422272,0.12789246439933777,0.21555070579051971,0.20806841552257538,0.22664840519428253,0.1198621541261673,0.3329349160194397
that,0.6297725439071655,0.5584503412246704,0.22102725505828857,0.23385298252105713,0.435920387506485,0.3173833191394806,0.17899899184703827,0.32716336846351624
he,0.3114890456199646,0.2828438878059387,0.12373391538858414,0.2651679515838623,0.41690486669540405,0.7171558737754822,0.26063814759254456,0.2089974731206894
was,0.22111038863658905,0.39896807074546814,0.16455206274986267,0.19602897763252258,0.45514053106307983,0.4405253231525421,0.2465479075908661,0.18412111699581146
cheating,0.2792048454284668,0.2537001073360443,0.16279835999011993,0.20663490891456604,0.20102210342884064,0.2936962842941284,0.13999027013778687,0.24591143429279327
.,0.3567904531955719,0.3200591504573822,0.17949827015399933,0.20621563494205475,0.5591574311256409,0.3119256794452667,0.2515932321548462,0.4130953550338745
