,which,committee,has,the,exclusive,power,to,set,pastors,',salaries,?
the,0.6521818041801453,0.24322165548801422,0.4177538752555847,1.0,0.2746652066707611,0.2647338807582855,0.535392165184021,0.2927955985069275,0.1971966028213501,0.474788099527359,0.29897719621658325,0.22068053483963013
church,0.20821009576320648,0.18113727867603302,0.19444791972637177,0.23846197128295898,0.06850147992372513,0.13720189034938812,0.24439501762390137,0.12075342983007431,0.4250534474849701,0.16788123548030853,0.2167164385318756,0.18081501126289368
conference,0.178037628531456,0.32016223669052124,0.14395518600940704,0.25393402576446533,0.18341459333896637,0.19026029109954834,0.2324119359254837,0.1925245076417923,0.1618388593196869,0.13225464522838593,0.23351138830184937,0.11172781884670258
is,0.4457404911518097,0.1410297304391861,0.5668748617172241,0.5823672413825989,0.19685298204421997,0.15234114229679108,0.42745086550712585,0.21148966252803802,0.1068577691912651,0.5508411526679993,0.11926544457674026,0.22961433231830597
an,0.3611921966075897,0.16761980950832367,0.2991473078727722,0.4207492768764496,0.23609989881515503,0.1744573563337326,0.3138085603713989,0.19075638055801392,0.04021814838051796,0.36139753460884094,0.1001957431435585,0.19793890416622162
annual,0.30685511231422424,0.259288489818573,0.20556344091892242,0.2958983778953552,0.19923126697540283,0.1237609013915062,0.2023409903049469,0.12118767946958542,0.15467903017997742,0.18107841908931732,0.21786555647850037,0.1083487942814827
meeting,0.23011936247348785,0.39660415053367615,0.20093479752540588,0.3390691578388214,0.12004142254590988,0.12252626568078995,0.2453547865152359,0.25378769636154175,0.26554715633392334,0.154899001121521,0.2709770202636719,0.1329771876335144
of,0.5011631846427917,0.2920650243759155,0.3909035325050354,0.733189046382904,0.22420044243335724,0.25273123383522034,0.41548454761505127,0.20671486854553223,0.22573843598365784,0.39136970043182373,0.26177874207496643,0.1826142966747284
all,0.50777268409729,0.18823650479316711,0.3343993127346039,0.4860881567001343,0.3037481904029846,0.23566703498363495,0.42520734667778015,0.2930283844470978,0.22364184260368347,0.2416357547044754,0.29691025614738464,0.29575422406196594
the,0.6521818041801453,0.24322165548801422,0.4177538752555847,1.0,0.2746652066707611,0.2647338807582855,0.535392165184021,0.2927955985069275,0.1971966028213501,0.474788099527359,0.29897719621658325,0.22068053483963013
