,what,sate,are,things,inside,of,a,moving,vehicle,as,seen,by,a,person,inside,the,vehicle,?
from,0.2737620174884796,0.27539917826652527,0.2674213647842407,0.2431458979845047,0.21675673127174377,0.4249346852302551,0.322764128446579,0.31024643778800964,0.180227592587471,0.3251767158508301,0.24460692703723907,0.3373257517814636,0.322764128446579,0.21919812262058258,0.21675673127174377,0.40150508284568787,0.180227592587471,0.19969791173934937
the,0.42745697498321533,0.2745683491230011,0.40399202704429626,0.30825191736221313,0.35313180088996887,0.733189046382904,0.5829201340675354,0.34510132670402527,0.20434843003749847,0.48381632566452026,0.3442007005214691,0.4408751428127289,0.5829201340675354,0.3487054407596588,0.35313180088996887,1.0,0.20434843003749847,0.22068053483963013
perspective,0.3797385096549988,0.2880055904388428,0.25546157360076904,0.38804346323013306,0.21014076471328735,0.29868391156196594,0.31159722805023193,0.22052890062332153,0.22245000302791595,0.18661488592624664,0.2743504047393799,0.2384122610092163,0.31159722805023193,0.3314133584499359,0.21014076471328735,0.2812875509262085,0.22245000302791595,0.20587648451328278
of,0.33290785551071167,0.22919920086860657,0.39081433415412903,0.2970648407936096,0.2544495463371277,1.0,0.5052502155303955,0.24795499444007874,0.19269394874572754,0.3886612355709076,0.28639769554138184,0.3646814823150635,0.5052502155303955,0.27674683928489685,0.2544495463371277,0.733189046382904,0.19269394874572754,0.1826142966747284
the,0.42745697498321533,0.2745683491230011,0.40399202704429626,0.30825191736221313,0.35313180088996887,0.733189046382904,0.5829201340675354,0.34510132670402527,0.20434843003749847,0.48381632566452026,0.3442007005214691,0.4408751428127289,0.5829201340675354,0.3487054407596588,0.35313180088996887,1.0,0.20434843003749847,0.22068053483963013
person,0.41527870297431946,0.21188929677009583,0.2964897155761719,0.4395284950733185,0.21819806098937988,0.27674683928489685,0.4078793525695801,0.2219359129667282,0.3213278353214264,0.18760068714618683,0.2654730975627899,0.25616011023521423,0.4078793525695801,0.9999999403953552,0.21819806098937988,0.3487054407596588,0.3213278353214264,0.324093222618103
in,0.30808621644973755,0.19736604392528534,0.3841303884983063,0.2694495618343353,0.3260733187198639,0.5696388483047485,0.539380669593811,0.2693832814693451,0.16945742070674896,0.3887844979763031,0.28402701020240784,0.370934396982193,0.539380669593811,0.23876774311065674,0.3260733187198639,0.6662389636039734,0.16945742070674896,0.20430970191955566
the,0.42745697498321533,0.2745683491230011,0.40399202704429626,0.30825191736221313,0.35313180088996887,0.733189046382904,0.5829201340675354,0.34510132670402527,0.20434843003749847,0.48381632566452026,0.3442007005214691,0.4408751428127289,0.5829201340675354,0.3487054407596588,0.35313180088996887,1.0,0.20434843003749847,0.22068053483963013
car,0.17601905763149261,0.210727259516716,0.15910716354846954,0.2342340052127838,0.1966904252767563,0.1781313419342041,0.2654946446418762,0.23203234374523163,0.5756374001502991,0.1940445899963379,0.1456865519285202,0.19369623064994812,0.2654946446418762,0.22636863589286804,0.1966904252767563,0.19754165410995483,0.5756374001502991,0.19800566136837006
",",0.3087472915649414,0.2707008123397827,0.4062570035457611,0.3149048686027527,0.2100258767604828,0.4946078956127167,0.427140474319458,0.28020262718200684,0.12404345721006393,0.48816442489624023,0.28642043471336365,0.3680937886238098,0.427140474319458,0.2255365252494812,0.2100258767604828,0.4933079481124878,0.12404345721006393,0.31091248989105225
