,why,might,the,temperature,affect,the,theory,of,plague,spreading,?
other,0.321101576089859,0.4252184331417084,0.44152235984802246,0.2364957481622696,0.3423229455947876,0.44152235984802246,0.22177660465240479,0.38583824038505554,0.14735755324363708,0.33944734930992126,0.24682199954986572
arguments,0.3064408600330353,0.284315824508667,0.19616100192070007,0.18414108455181122,0.18998868763446808,0.19616100192070007,0.2758183479309082,0.20644287765026093,0.1493535339832306,0.12429831922054291,0.2545352280139923
include,0.23134571313858032,0.2818278670310974,0.2951717972755432,0.12141033262014389,0.33444684743881226,0.2951717972755432,0.164101704955101,0.37431180477142334,0.16709429025650024,0.20033717155456543,0.14925788342952728
the,0.30742117762565613,0.32504433393478394,1.0,0.27585095167160034,0.314972460269928,1.0,0.2277156263589859,0.733189046382904,0.2537761330604553,0.3464648723602295,0.22068053483963013
lack,0.3744938373565674,0.2999248802661896,0.2674623131752014,0.23576201498508453,0.3369782567024231,0.2674623131752014,0.2809006869792938,0.2861039936542511,0.19686730206012726,0.23346030712127686,0.16953514516353607
of,0.28464117646217346,0.2900311052799225,0.733189046382904,0.21649840474128723,0.3070525825023651,0.733189046382904,0.23506702482700348,1.0,0.27455615997314453,0.3028612434864044,0.1826142966747284
accounts,0.2918846011161804,0.29034745693206787,0.20863397419452667,0.15094351768493652,0.24871006608009338,0.20863397419452667,0.20228615403175354,0.2083580046892166,0.17410379648208618,0.18037179112434387,0.32252734899520874
of,0.28464117646217346,0.2900311052799225,0.733189046382904,0.21649840474128723,0.3070525825023651,0.733189046382904,0.23506702482700348,1.0,0.27455615997314453,0.3028612434864044,0.1826142966747284
the,0.30742117762565613,0.32504433393478394,1.0,0.27585095167160034,0.314972460269928,1.0,0.2277156263589859,0.733189046382904,0.2537761330604553,0.3464648723602295,0.22068053483963013
death,0.1807563453912735,0.14490468800067902,0.21438048779964447,0.1864025741815567,0.14875373244285583,0.21438048779964447,0.0997479185461998,0.23778599500656128,0.2767121493816376,0.18952707946300507,0.21149799227714539
of,0.28464117646217346,0.2900311052799225,0.733189046382904,0.21649840474128723,0.3070525825023651,0.733189046382904,0.23506702482700348,1.0,0.27455615997314453,0.3028612434864044,0.1826142966747284
rats,0.15556788444519043,0.26617667078971863,0.216946080327034,0.19340869784355164,0.22221416234970093,0.216946080327034,0.11966495215892792,0.1879846304655075,0.34604722261428833,0.22522218525409698,0.08418426662683487
before,0.32499244809150696,0.29960715770721436,0.45900648832321167,0.18757860362529755,0.28111207485198975,0.45900648832321167,0.17253084480762482,0.3282964527606964,0.20913517475128174,0.22493048012256622,0.2507109045982361
outbreaks,0.1862606555223465,0.24316684901714325,0.294321209192276,0.2337614744901657,0.2583652138710022,0.294321209192276,0.1496763676404953,0.23829330503940582,0.5223511457443237,0.4314669072628021,0.18502937257289886
of,0.28464117646217346,0.2900311052799225,0.733189046382904,0.21649840474128723,0.3070525825023651,0.733189046382904,0.23506702482700348,1.0,0.27455615997314453,0.3028612434864044,0.1826142966747284
plague,0.2038693130016327,0.21895332634449005,0.2537761330604553,0.17417842149734497,0.2306089699268341,0.2537761330604553,0.1495029628276825,0.27455615997314453,0.9999999403953552,0.3390234410762787,0.11872942000627518
between,0.22945645451545715,0.12393224239349365,0.39067012071609497,0.27266567945480347,0.27115240693092346,0.39067012071609497,0.1496092528104782,0.3737983703613281,0.13008351624011993,0.18740354478359222,0.12887074053287506
the,0.30742117762565613,0.32504433393478394,1.0,0.27585095167160034,0.314972460269928,1.0,0.2277156263589859,0.733189046382904,0.2537761330604553,0.3464648723602295,0.22068053483963013
14th,0.06565315276384354,0.0645257830619812,0.21954689919948578,0.18733707070350647,0.09055320173501968,0.21954689919948578,0.06346432864665985,0.13562877476215363,0.14767946302890778,0.09929722547531128,0.028729064390063286
and,0.27806392312049866,0.31685465574264526,0.5171257257461548,0.2216416299343109,0.3258028030395508,0.5171257257461548,0.1765792816877365,0.5116966962814331,0.2229994833469391,0.328510582447052,0.20544172823429108
17th,0.13835741579532623,0.09423588216304779,0.2679309546947479,0.35812559723854065,0.14870230853557587,0.2679309546947479,0.06554631888866425,0.19377021491527557,0.10413999110460281,0.12946979701519012,0.096589595079422
centuries,0.17361798882484436,0.18081149458885193,0.32166481018066406,0.1843259632587433,0.12964366376399994,0.32166481018066406,0.1905907243490219,0.2695758044719696,0.3422189950942993,0.30887678265571594,0.13179439306259155
;,0.031007718294858932,0.01390612032264471,0.09152708947658539,0.05269727483391762,0.08882243186235428,0.09152708947658539,-0.03969723731279373,0.054534342139959335,-0.06239024177193642,0.020430827513337135,0.10349778085947037
temperatures,0.24719777703285217,0.2387058287858963,0.27544233202934265,0.9382470846176147,0.2839054763317108,0.27544233202934265,0.15279504656791687,0.2011728584766388,0.21780160069465637,0.2782977521419525,0.1895846426486969
that,0.5601457357406616,0.5377011895179749,0.5473989248275757,0.26260992884635925,0.3903253972530365,0.5473989248275757,0.36183905601501465,0.41498205065727234,0.23825600743293762,0.3587521016597748,0.32716336846351624
are,0.3273901343345642,0.4007396399974823,0.40399202704429626,0.2518121302127838,0.34310266375541687,0.40399202704429626,0.1918308287858963,0.39081433415412903,0.15205079317092896,0.2569524645805359,0.24591213464736938
too,0.44862106442451477,0.357003390789032,0.26985910534858704,0.21402448415756226,0.29884615540504456,0.26985910534858704,0.1972627192735672,0.22150669991970062,0.1472969949245453,0.22331127524375916,0.33757779002189636
cold,0.1674410104751587,0.2265065759420395,0.2897129952907562,0.39298146963119507,0.17322681844234467,0.2897129952907562,0.0892811268568039,0.22852186858654022,0.21354864537715912,0.29170578718185425,0.12272877991199493
in,0.23227278888225555,0.26443570852279663,0.6662389636039734,0.269207626581192,0.31448644399642944,0.6662389636039734,0.16955126821994781,0.5696388483047485,0.2488756626844406,0.2809927463531494,0.20430970191955566
northern,0.1550562083721161,0.17819486558437347,0.3422943353652954,0.19095240533351898,0.1465413123369217,0.3422943353652954,0.022394368425011635,0.32586339116096497,0.17610512673854828,0.1580389440059662,0.13149388134479523
europe,0.15987814962863922,0.17974784970283508,0.34463706612586975,0.1417398303747177,0.18826480209827423,0.34463706612586975,0.19908833503723145,0.29299741983413696,0.26059749722480774,0.30283159017562866,0.18278923630714417
for,0.3869043290615082,0.3858846127986908,0.4739971458911896,0.1894524246454239,0.311452180147171,0.4739971458911896,0.20500218868255615,0.4185989499092102,0.1471073478460312,0.24025823175907135,0.264628142118454
the,0.30742117762565613,0.32504433393478394,1.0,0.27585095167160034,0.314972460269928,1.0,0.2277156263589859,0.733189046382904,0.2537761330604553,0.3464648723602295,0.22068053483963013
survival,0.21962280571460724,0.2759326100349426,0.2485254555940628,0.23503898084163666,0.23764948546886444,0.2485254555940628,0.2956089675426483,0.25278621912002563,0.2133294939994812,0.28535225987434387,0.21398140490055084
of,0.28464117646217346,0.2900311052799225,0.733189046382904,0.21649840474128723,0.3070525825023651,0.733189046382904,0.23506702482700348,1.0,0.27455615997314453,0.3028612434864044,0.1826142966747284
fleas,0.2620515525341034,0.3446674942970276,0.25670117139816284,0.2501890957355499,0.2890929877758026,0.25670117139816284,0.17509545385837555,0.19070258736610413,0.4240718483924866,0.404300332069397,0.25398749113082886
;,0.031007718294858932,0.01390612032264471,0.09152708947658539,0.05269727483391762,0.08882243186235428,0.09152708947658539,-0.03969723731279373,0.054534342139959335,-0.06239024177193642,0.020430827513337135,0.10349778085947037
that,0.5601457357406616,0.5377011895179749,0.5473989248275757,0.26260992884635925,0.3903253972530365,0.5473989248275757,0.36183905601501465,0.41498205065727234,0.23825600743293762,0.3587521016597748,0.32716336846351624
