,what,do,those,in,the,field,do,to,ensure,a,positive,outcome,?
for,0.3017193675041199,0.29510271549224854,0.3446582555770874,0.4322226941585541,0.4739971458911896,0.24342265725135803,0.29510271549224854,0.4451248347759247,0.3660449683666229,0.44038116931915283,0.20385105907917023,0.2989020049571991,0.264628142118454
this,0.5489566326141357,0.34963881969451904,0.4362025260925293,0.45205554366111755,0.6274310946464539,0.23614506423473358,0.34963881969451904,0.5759071707725525,0.34122106432914734,0.5422310829162598,0.3701447546482086,0.37635537981987,0.3155723512172699
reason,0.3762516975402832,0.3240116238594055,0.31126052141189575,0.21220409870147705,0.29647648334503174,0.14106300473213196,0.3240116238594055,0.3437597155570984,0.25573134422302246,0.29122111201286316,0.2400464415550232,0.379986047744751,0.3403966724872589
",",0.3087472915649414,0.3283645510673523,0.39574649930000305,0.5201468467712402,0.4933079481124878,0.27645614743232727,0.3283645510673523,0.44245919585227966,0.144033744931221,0.427140474319458,0.2373124659061432,0.20479145646095276,0.31091248989105225
those,0.44466671347618103,0.43052518367767334,0.9999998807907104,0.3419301211833954,0.42861196398735046,0.1488822102546692,0.43052518367767334,0.47350940108299255,0.33557379245758057,0.24251152575016022,0.2289440780878067,0.28616955876350403,0.3328189253807068
with,0.2464839518070221,0.23744353652000427,0.3564215302467346,0.4080928862094879,0.4223487675189972,0.15400348603725433,0.23744353652000427,0.4239959120750427,0.3181380033493042,0.3783375024795532,0.2363528460264206,0.20475590229034424,0.2433311939239502
experience,0.3894727826118469,0.2845655083656311,0.3341418206691742,0.19806437194347382,0.21682339906692505,0.2528829276561737,0.2845655083656311,0.25535836815834045,0.2950432598590851,0.2513456344604492,0.2814004123210907,0.3291899859905243,0.25203612446784973
in,0.30808621644973755,0.23402775824069977,0.3419301211833954,1.0,0.6662389636039734,0.20553018152713776,0.23402775824069977,0.45010748505592346,0.15814054012298584,0.539380669593811,0.1836131066083908,0.20638000965118408,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,0.42861196398735046,0.6662389636039734,1.0,0.2105809599161148,0.30239659547805786,0.535392165184021,0.2955571711063385,0.5829201340675354,0.20502062141895294,0.23770277202129364,0.22068053483963013
field,0.1825202852487564,0.1733429878950119,0.1488822102546692,0.20553018152713776,0.2105809599161148,1.0,0.1733429878950119,0.2647967040538788,0.13518047332763672,0.2030690312385559,0.22235643863677979,0.2783755958080292,0.11279727518558502
make,0.3792211413383484,0.41790449619293213,0.40981656312942505,0.268858402967453,0.3146495521068573,0.1433849185705185,0.41790449619293213,0.497876912355423,0.381472110748291,0.34303420782089233,0.2079952210187912,0.2531610429286957,0.28314751386642456
detailed,0.34171777963638306,0.24428096413612366,0.3298645615577698,0.23479875922203064,0.287728875875473,0.2201223224401474,0.24428096413612366,0.2411242574453354,0.29564371705055237,0.2346991002559662,0.17322798073291779,0.21597404778003693,0.22426927089691162
plans,0.2364979386329651,0.2040959596633911,0.1921713650226593,0.24845264852046967,0.30240729451179504,0.17015138268470764,0.2040959596633911,0.367337167263031,0.26985251903533936,0.24623830616474152,0.1271565556526184,0.26762813329696655,0.13513131439685822
and,0.31309178471565247,0.276123583316803,0.43169310688972473,0.4954058527946472,0.5171257257461548,0.26487240195274353,0.276123583316803,0.48971283435821533,0.2938583791255951,0.3739250600337982,0.22341404855251312,0.17887553572654724,0.20544172823429108
maintain,0.2619679272174835,0.2804717719554901,0.38139086961746216,0.18554846942424774,0.2896709144115448,0.1466517448425293,0.2804717719554901,0.34628623723983765,0.446948766708374,0.23409044742584229,0.1681012064218521,0.27087876200675964,0.20568779110908508
careful,0.41704538464546204,0.4223237931728363,0.27367568016052246,0.11981435865163803,0.2064020037651062,0.21510063111782074,0.4223237931728363,0.3086678087711334,0.41126930713653564,0.27205052971839905,0.29806843400001526,0.3438887298107147,0.2595275044441223
oversight,0.41012099385261536,0.4196232259273529,0.3526536524295807,0.16427932679653168,0.184760183095932,0.1693585366010666,0.4196232259273529,0.3117622435092926,0.35300424695014954,0.25088632106781006,0.27276691794395447,0.4045098125934601,0.45554885268211365
during,0.24137552082538605,0.1831897497177124,0.2764072120189667,0.4627237319946289,0.4838213622570038,0.10801912844181061,0.1831897497177124,0.2828781306743622,0.19799740612506866,0.30341604351997375,0.09260066598653793,0.1937979906797409,0.1325719803571701
the,0.42745697498321533,0.30239659547805786,0.42861196398735046,0.6662389636039734,1.0,0.2105809599161148,0.30239659547805786,0.535392165184021,0.2955571711063385,0.5829201340675354,0.20502062141895294,0.23770277202129364,0.22068053483963013
project,0.27033838629722595,0.17133867740631104,0.213985413312912,0.16277937591075897,0.2027820199728012,0.17785461246967316,0.17133867740631104,0.28750085830688477,0.2913808524608612,0.2328382134437561,0.22869615256786346,0.2293584793806076,0.30569031834602356
to,0.455847829580307,0.38876664638519287,0.47350940108299255,0.45010748505592346,0.535392165184021,0.2647967040538788,0.38876664638519287,1.0,0.3696618974208832,0.45503583550453186,0.24421703815460205,0.2888931632041931,0.29463258385658264
ensure,0.328641802072525,0.3229200541973114,0.33557379245758057,0.15814054012298584,0.2955571711063385,0.13518047332763672,0.3229200541973114,0.3696618974208832,1.0,0.19042222201824188,0.15204967558383942,0.3434635400772095,0.24192948639392853
a,0.3320399522781372,0.26237669587135315,0.24251152575016022,0.539380669593811,0.5829201340675354,0.2030690312385559,0.26237669587135315,0.45503583550453186,0.19042222201824188,1.0,0.2522195875644684,0.22244083881378174,0.23916715383529663
positive,0.2491111010313034,0.23904547095298767,0.2289440780878067,0.1836131066083908,0.20502062141895294,0.22235643863677979,0.23904547095298767,0.24421703815460205,0.15204967558383942,0.2522195875644684,0.9999999403953552,0.32047316431999207,0.16532565653324127
outcome,0.3721276521682739,0.2547948658466339,0.28616955876350403,0.20638000965118408,0.23770277202129364,0.2783755958080292,0.2547948658466339,0.2888931632041931,0.3434635400772095,0.22244083881378174,0.32047316431999207,1.0,0.2687326669692993
.,0.3567904531955719,0.3613996207714081,0.33163318037986755,0.5591574311256409,0.5934505462646484,0.23224417865276337,0.3613996207714081,0.4645031690597534,0.19039876759052277,0.50484299659729,0.26679879426956177,0.22835712134838104,0.4130953550338745
