,which,theorem,states,that,all,large,odd,integers,can,be,expressed,as,a,sum,of,three,primes,?
weaker,0.2874661087989807,0.18044541776180267,0.19482240080833435,0.3156604468822479,0.1675211638212204,0.20617321133613586,0.15019133687019348,0.18773053586483002,0.274270623922348,0.2881472110748291,0.15607576072216034,0.28376826643943787,0.24074357748031616,0.15340493619441986,0.20405320823192596,0.14650307595729828,0.20396077632904053,0.05926477909088135
statements,0.3373260200023651,0.3319508731365204,0.26251769065856934,0.44073790311813354,0.32010701298713684,0.11876285821199417,0.18284940719604492,0.353454053401947,0.29823175072669983,0.36939796805381775,0.32992446422576904,0.233680859208107,0.24844814836978912,0.30242982506752014,0.19305990636348724,0.16335608065128326,0.3231073319911957,0.28064221143722534
than,0.3974681496620178,0.15925689041614532,0.24014748632907867,0.4891277849674225,0.30176207423210144,0.28131288290023804,0.2521035075187683,0.2941502630710602,0.3532506823539734,0.46516597270965576,0.22526338696479797,0.40532299876213074,0.3126874566078186,0.2449851632118225,0.33036211133003235,0.3105981945991516,0.28400641679763794,0.24917294085025787
this,0.6719430088996887,0.2033214271068573,0.2684851288795471,0.6909449696540833,0.4746263027191162,0.3440819978713989,0.2535378634929657,0.27334100008010864,0.4006461203098297,0.566177248954773,0.29467105865478516,0.43993282318115234,0.5422310829162598,0.31428536772727966,0.45148900151252747,0.29207751154899597,0.26863330602645874,0.3155723512172699
have,0.49652695655822754,0.1824989914894104,0.20162390172481537,0.6182622313499451,0.5559456944465637,0.33964231610298157,0.329365074634552,0.3129357695579529,0.5489245653152466,0.5760743618011475,0.2434452623128891,0.37788212299346924,0.338716596364975,0.28723520040512085,0.3802283704280853,0.3712083399295807,0.23869918286800385,0.32991164922714233
been,0.36993977427482605,0.09375408291816711,0.20674076676368713,0.4152003228664398,0.38339102268218994,0.31522268056869507,0.22258912026882172,0.16625335812568665,0.3498430848121643,0.5304332375526428,0.22911609709262848,0.3975982367992401,0.3315402865409851,0.1408274620771408,0.31685134768486023,0.32707178592681885,0.17375190556049347,0.24354910850524902
proven,0.2582547068595886,0.441742479801178,0.144431009888649,0.41694560647010803,0.25818124413490295,0.18213504552841187,0.22146396338939667,0.3310582935810089,0.34507638216018677,0.3652443289756775,0.264792799949646,0.2509443759918213,0.22892846167087555,0.2855624854564667,0.20935744047164917,0.17945942282676697,0.36045530438423157,0.23916150629520416
",",0.3658004403114319,0.16003508865833282,0.3315127193927765,0.4137537479400635,0.425624817609787,0.2263888567686081,0.20622281730175018,0.24003417789936066,0.3139454126358032,0.39254459738731384,0.24414940178394318,0.48816442489624023,0.427140474319458,0.2446640431880951,0.4946078956127167,0.3347506821155548,0.29003697633743286,0.31091248989105225
for,0.44095608592033386,0.1530822366476059,0.2496437132358551,0.4137635827064514,0.41144001483917236,0.22967137396335602,0.22195900976657867,0.1802103966474533,0.35690054297447205,0.3801851272583008,0.29098325967788696,0.44774648547172546,0.44038116931915283,0.2368583381175995,0.4185989499092102,0.3032672107219696,0.23085950314998627,0.264628142118454
example,0.45943138003349304,0.2462260127067566,0.20861361920833588,0.429897665977478,0.3405359387397766,0.30934280157089233,0.24013587832450867,0.3695056736469269,0.5023694038391113,0.4382762610912323,0.2865111231803894,0.35903409123420715,0.40234753489494324,0.1827458143234253,0.3570667505264282,0.2446315735578537,0.2566288113594055,0.30374911427497864
