,revolutionary,civil,disobedience,towards,culture,is,highlighted,by,example,of,who,?
``,0.12605902552604675,0.06784805655479431,0.06214885041117668,0.010755262337625027,0.01757078990340233,0.058766357600688934,0.024317942559719086,-0.030704375356435776,0.17130611836910248,0.06780257821083069,0.02397952415049076,0.0685480609536171
cultural,0.287972092628479,0.22340162098407745,0.23987561464309692,0.15257522463798523,0.6551339030265808,0.1658732146024704,0.21773849427700043,0.15795396268367767,0.16282473504543304,0.29898300766944885,0.14877724647521973,0.09798457473516464
revolution,0.8334789872169495,0.3380163013935089,0.3442854583263397,0.13235875964164734,0.2774661183357239,0.16210032999515533,0.10135059058666229,0.2466987818479538,0.17545926570892334,0.27144062519073486,0.2163151353597641,0.1727980077266693
'',-0.04317694157361984,-0.062313709408044815,0.003403886454179883,-0.055717963725328445,-0.02524700202047825,0.0793738141655922,0.10487175732851028,-0.010275691747665405,-0.021546287462115288,0.13035868108272552,0.024401003494858742,0.018684765323996544
",",0.26820501685142517,0.24795588850975037,0.2878543734550476,0.2550581693649292,0.23807421326637268,0.4691906273365021,0.2374861091375351,0.3680937886238098,0.3094974756240845,0.4946078956127167,0.3365725874900818,0.31091248989105225
it,0.17951145768165588,0.17707513272762299,0.2648297846317291,0.27592888474464417,0.2641284763813019,0.6328473687171936,0.17542308568954468,0.40926623344421387,0.33693674206733704,0.38761502504348755,0.2868398427963257,0.25732165575027466
simply,0.09789387881755829,0.120736263692379,0.195425882935524,0.29359596967697144,0.12492125481367111,0.39395248889923096,0.22325019538402557,0.2540944516658783,0.3508874177932739,0.2891358435153961,0.2672058939933777,0.2984147369861603
implies,0.16735462844371796,0.1548483967781067,0.31109100580215454,0.25270089507102966,0.20605486631393433,0.33371198177337646,0.18048466742038727,0.1967759132385254,0.4074476957321167,0.2750009000301361,0.16690225899219513,0.24269460141658783
sweeping,0.15951623022556305,0.157615527510643,0.25222235918045044,0.2430964857339859,0.13068848848342896,0.15658344328403473,0.1440858691930771,0.17477643489837646,0.2178177684545517,0.23100370168685913,0.1397082805633545,0.16708126664161682
and,0.20761948823928833,0.25259146094322205,0.3041999638080597,0.32443711161613464,0.2617773115634918,0.3859752118587494,0.24579724669456482,0.4289871156215668,0.35305824875831604,0.5116966962814331,0.41279885172843933,0.20544172823429108
widespread,0.1467808485031128,0.19120395183563232,0.27042531967163086,0.25861865282058716,0.21517063677310944,0.22621749341487885,0.1518901139497757,0.10976933687925339,0.3013281226158142,0.2750900983810425,0.16174288094043732,0.16958627104759216
change,0.24111802875995636,0.18202711641788483,0.26300865411758423,0.213731050491333,0.167538583278656,0.33028605580329895,0.16108660399913788,0.2329561412334442,0.3699328601360321,0.2569013833999634,0.2305750846862793,0.24115969240665436
to,0.18605543673038483,0.2019355595111847,0.30665844678878784,0.3675195574760437,0.1957503855228424,0.42745086550712585,0.21830452978610992,0.33534231781959534,0.3451666533946991,0.41548454761505127,0.42656609416007996,0.29463258385658264
a,0.2602968215942383,0.21693918108940125,0.25352153182029724,0.2078181505203247,0.23602306842803955,0.658733606338501,0.17612463235855103,0.32094135880470276,0.40234753489494324,0.5052502155303955,0.36608949303627014,0.23916715383529663
section,0.13693246245384216,0.20814035832881927,0.16898629069328308,0.17420664429664612,0.23771601915359497,0.22237545251846313,0.1917627900838852,0.13469186425209045,0.28721392154693604,0.21215301752090454,0.1261826455593109,0.2733710706233978
of,0.29118266701698303,0.24698495864868164,0.31932318210601807,0.26409703493118286,0.27266472578048706,0.4854315221309662,0.2558400630950928,0.3646814823150635,0.3570667505264282,1.0,0.2827862501144409,0.1826142966747284
the,0.24521014094352722,0.2477465271949768,0.30963727831840515,0.31815874576568604,0.27157285809516907,0.5823672413825989,0.23636004328727722,0.4408751428127289,0.3755223751068115,0.733189046382904,0.3733934462070465,0.22068053483963013
social,0.3215523660182953,0.2795228660106659,0.323582261800766,0.22188682854175568,0.379751056432724,0.15944984555244446,0.11279164254665375,0.17605063319206238,0.22240042686462402,0.2605111300945282,0.26409217715263367,0.1615191102027893
fabric,0.2085011601448059,0.1338081657886505,0.18669210374355316,0.14754660427570343,0.13063360750675201,0.21182088553905487,0.10030627250671387,0.16331002116203308,0.16381953656673431,0.21194949746131897,0.23234041035175323,0.19376210868358612
),0.24638572335243225,0.168956458568573,0.1570320576429367,0.16881638765335083,0.1364012360572815,0.37732169032096863,0.2086613029241562,0.2151763141155243,0.26101627945899963,0.3680361211299896,0.2457384318113327,0.42300865054130554
.,0.2612297534942627,0.2541380822658539,0.2603943943977356,0.24058549106121063,0.24176450073719025,0.4569662809371948,0.22583380341529846,0.3936232924461365,0.41217929124832153,0.5352458953857422,0.3541337847709656,0.4130953550338745
