,when,did,the,warsaw,uprising,begin,?
thus,0.40111956000328064,0.23622971773147583,0.4036877751350403,0.13980239629745483,0.17492032051086426,0.22270174324512482,0.18769288063049316
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.25300899147987366,0.2470635622739792,0.27304404973983765,0.31091248989105225
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.19170401990413666,0.17202121019363403,0.2630721628665924,0.2714994251728058
1,-0.2683585286140442,-0.2815930247306824,-0.1554475575685501,-0.06615209579467773,-0.07367532700300217,-0.1776544749736786,-0.249979168176651
august,0.2603156566619873,0.26378265023231506,0.22689028084278107,0.22139722108840942,0.2863302230834961,0.1337261199951172,0.3006744682788849
1944,0.09802473336458206,0.09948921203613281,0.12787654995918274,0.16826167702674866,0.1294088363647461,0.03748070076107979,0.21799609065055847
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.25300899147987366,0.2470635622739792,0.27304404973983765,0.31091248989105225
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.14492812752723694,0.20968224108219147,0.20308734476566315,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,1.0,0.23137180507183075,0.2853594124317169,0.34293439984321594,0.22068053483963013
red,0.2535014748573303,0.11931999027729034,0.2817947566509247,0.1887570470571518,0.15914316475391388,0.13207383453845978,0.1495664119720459
army,0.2435331642627716,0.21148359775543213,0.31011611223220825,0.2348434329032898,0.4113124907016754,0.20949417352676392,0.180583193898201
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.2614976763725281,0.29597118496894836,0.17294162511825562,0.18412111699581146
nearing,0.4180446267127991,0.2835897207260132,0.32039591670036316,0.21032629907131195,0.2453717440366745,0.2900964021682739,0.1842811405658722
the,0.5091903209686279,0.34736719727516174,1.0,0.23137180507183075,0.2853594124317169,0.34293439984321594,0.22068053483963013
city,0.19592350721359253,0.12266099452972412,0.35769423842430115,0.25006377696990967,0.2471199333667755,0.1905907243490219,0.13423943519592285
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.25300899147987366,0.2470635622739792,0.27304404973983765,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.23137180507183075,0.2853594124317169,0.34293439984321594,0.22068053483963013
warsaw,0.1615014374256134,0.1939365565776825,0.23137180507183075,1.0,0.4463900625705719,0.1616249829530716,0.09769917279481888
uprising,0.1701411008834839,0.175702303647995,0.2853594124317169,0.4463900625705719,0.9999999403953552,0.2039828598499298,0.13645027577877045
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,0.18660323321819305,0.23544161021709442,0.49711355566978455,0.1370266228914261
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.26825499534606934,0.17839539051055908,0.24827922880649567,0.4130953550338745
