,what,plateau,has,groups,of,clay,pits,?
the,0.42745697498321533,0.29697924852371216,0.4177538752555847,0.27790749073028564,0.733189046382904,0.2241785228252411,0.2675149440765381,0.22068053483963013
plain,0.2494364231824875,0.3913636803627014,0.17955753207206726,0.09204711765050888,0.2280387431383133,0.23107799887657166,0.2297220230102539,0.17552430927753448
moraine,0.18571998178958893,0.4210492670536041,0.16354122757911682,0.11582785099744797,0.3049020767211914,0.33399373292922974,0.37279555201530457,0.15512530505657196
plateau,0.15103165805339813,1.0000001192092896,0.16609396040439606,0.1686963140964508,0.2899112105369568,0.2524805963039398,0.22443300485610962,0.10432148724794388
has,0.20338068902492523,0.16609396040439606,1.0,0.21874025464057922,0.3909035325050354,0.1558551788330078,0.1521073877811432,0.15994466841220856
only,0.41415658593177795,0.15392987430095673,0.4251205623149872,0.21954716742038727,0.49632513523101807,0.19420956075191498,0.18877846002578735,0.2767370045185089
a,0.3320399522781372,0.1821843534708023,0.4670248031616211,0.2068004310131073,0.5052502155303955,0.22460445761680603,0.2681460976600647,0.23916715383529663
few,0.2780759632587433,0.16956168413162231,0.30964958667755127,0.24838179349899292,0.2682102620601654,0.18676166236400604,0.19304461777210236,0.2334265559911728
natural,0.15666867792606354,0.22271642088890076,0.17507778108119965,0.13997222483158112,0.2963479459285736,0.24755370616912842,0.2279442697763443,0.16155436635017395
and,0.31309178471565247,0.25292128324508667,0.43716782331466675,0.29783302545547485,0.5116966962814331,0.26748067140579224,0.28034400939941406,0.20544172823429108
artificial,0.17255447804927826,0.1464405059814453,0.17566746473312378,0.09099475294351578,0.2457905411720276,0.1726122796535492,0.1869279146194458,0.12468411028385162
ponds,0.14459900557994843,0.34788405895233154,0.22109714150428772,0.23798313736915588,0.256669819355011,0.2095150351524353,0.313401460647583,0.1247154176235199
and,0.31309178471565247,0.25292128324508667,0.43716782331466675,0.29783302545547485,0.5116966962814331,0.26748067140579224,0.28034400939941406,0.20544172823429108
also,0.42747777700424194,0.2047947645187378,0.505894660949707,0.26234152913093567,0.4924938678741455,0.21843074262142181,0.22055502235889435,0.21848613023757935
groups,0.23137421905994415,0.1686963140964508,0.21874025464057922,1.0,0.24723079800605774,0.08227413147687912,0.1494554728269577,0.14349548518657684
of,0.33290785551071167,0.2899112105369568,0.3909035325050354,0.24723079800605774,1.0,0.27187809348106384,0.200468510389328,0.1826142966747284
clay,0.14776110649108887,0.2524805963039398,0.1558551788330078,0.08227413147687912,0.27187809348106384,1.0000001192092896,0.3161005973815918,0.1815129667520523
pits,0.14546936750411987,0.22443300485610962,0.1521073877811432,0.1494554728269577,0.200468510389328,0.3161005973815918,1.0,0.07225832343101501
.,0.3567904531955719,0.22974298894405365,0.4105546176433563,0.2408272922039032,0.5352458953857422,0.2767618000507355,0.17182768881320953,0.4130953550338745
