,what,percentage,of,primary,schools,used,welsh,primarily,or,exclusively,?
for,0.3017193675041199,0.2764090597629547,0.4185989499092102,0.2533470094203949,0.2320515662431717,0.4236139953136444,0.17400199174880981,0.3610299527645111,0.4111599624156952,0.2894061207771301,0.264628142118454
example,0.3456268310546875,0.3092258870601654,0.3570667505264282,0.16501830518245697,0.166231170296669,0.48354339599609375,0.1458393633365631,0.2572688162326813,0.5192843675613403,0.19369721412658691,0.30374911427497864
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.2565748989582062,0.2760516405105591,0.3120402991771698,0.24310162663459778,0.3134990632534027,0.3769497275352478,0.2359321564435959,0.31091248989105225
a,0.3320399522781372,0.25336048007011414,0.5052502155303955,0.23038449883460999,0.2118925303220749,0.3864384889602661,0.1651086062192917,0.25209537148475647,0.48853766918182373,0.22076930105686188,0.23916715383529663
significant,0.24268144369125366,0.32028546929359436,0.318554162979126,0.26855161786079407,0.2187889814376831,0.23579798638820648,0.11590645462274551,0.3427094519138336,0.2925649881362915,0.3141486346721649,0.18679562211036682
number,0.23046229779720306,0.42293837666511536,0.2778518795967102,0.1423071175813675,0.1390722692012787,0.23600076138973236,0.15520977973937988,0.19197624921798706,0.28384777903556824,0.2595592141151428,0.19256845116615295
of,0.33290785551071167,0.24724560976028442,1.0,0.23414276540279388,0.265506386756897,0.3075267970561981,0.11676425486803055,0.2761906683444977,0.3792596757411957,0.21564675867557526,0.1826142966747284
students,0.2380729615688324,0.22155962884426117,0.25513339042663574,0.26349249482154846,0.6169943809509277,0.16429178416728973,0.1318848431110382,0.16427063941955566,0.21765491366386414,0.10157174617052078,0.18017297983169556
all,0.41981086134910583,0.37048232555389404,0.42798417806625366,0.20207180082798004,0.31516021490097046,0.2536942958831787,0.10177350789308548,0.33719608187675476,0.3321593105792999,0.3467310070991516,0.29575422406196594
over,0.28007611632347107,0.22550354897975922,0.36136594414711,0.1362004280090332,0.1698845475912094,0.21628807485103607,0.1532515436410904,0.21271571516990662,0.30238664150238037,0.24721622467041016,0.25742942094802856
wales,0.1505342721939087,0.13723161816596985,0.23133093118667603,0.18647560477256775,0.22797182202339172,0.20430804789066315,0.5323479771614075,0.06345055997371674,0.19093115627765656,0.1074649840593338,0.15627945959568024
are,0.29724663496017456,0.31028249859809875,0.39081433415412903,0.24237659573554993,0.30816179513931274,0.3322218656539917,0.15960480272769928,0.29938802123069763,0.5374364256858826,0.323965460062027,0.24591213464736938
educated,0.22306500375270844,0.12706783413887024,0.2250576615333557,0.28147271275520325,0.4708879292011261,0.15254773199558258,0.24007084965705872,0.2122224122285843,0.05418934300541878,0.08925662934780121,0.1427479386329651
either,0.3851809501647949,0.2535247206687927,0.24225673079490662,0.25947245955467224,0.16752998530864716,0.362758606672287,0.14441397786140442,0.2742801010608673,0.6381545066833496,0.3734786808490753,0.31498292088508606
wholly,0.3131820261478424,0.2431591898202896,0.25164273381233215,0.1450442522764206,0.16156969964504242,0.16530151665210724,0.15678200125694275,0.211835578083992,0.26826635003089905,0.36050859093666077,0.2409968376159668
or,0.33867141604423523,0.29796382784843445,0.3792596757411957,0.24037444591522217,0.23524631559848785,0.4951852560043335,0.2167864441871643,0.27948999404907227,1.0000001192092896,0.2708505392074585,0.32389625906944275
largely,0.25660550594329834,0.25069645047187805,0.3087159991264343,0.2913851737976074,0.19322611391544342,0.24137377738952637,0.08776320517063141,0.4695485234260559,0.25473925471305847,0.4027509391307831,0.08185246586799622
through,0.23167094588279724,0.17666268348693848,0.3647414743900299,0.21674200892448425,0.19748453795909882,0.20277023315429688,0.09025454521179199,0.22702647745609283,0.26928719878196716,0.21305997669696808,0.16913433372974396
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.25688621401786804,0.22905772924423218,0.3718377649784088,0.181475430727005,0.34785038232803345,0.4174870550632477,0.3155750334262848,0.22068053483963013
medium,0.09298098087310791,0.2518869936466217,0.17851373553276062,0.18874704837799072,0.19195465743541718,0.28818070888519287,0.17377980053424835,0.25062862038612366,0.2899248003959656,0.1814899891614914,0.09342553466558456
of,0.33290785551071167,0.24724560976028442,1.0,0.23414276540279388,0.265506386756897,0.3075267970561981,0.11676425486803055,0.2761906683444977,0.3792596757411957,0.21564675867557526,0.1826142966747284
welsh,0.11973178386688232,0.11588603258132935,0.11676425486803055,0.1282118558883667,0.12493382394313812,0.22143852710723877,1.0,0.12376915663480759,0.2167864441871643,0.0903862863779068,0.0826316848397255
:,-0.12022944539785385,-0.00017522115376777947,-0.08807745575904846,-0.09289935976266861,-0.052466921508312225,-0.13810665905475616,-0.0998019129037857,-0.07671289891004562,-0.09801474958658218,-0.012716669589281082,-0.07156077772378922
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.21150650084018707,0.2632134258747101,0.3090210556983948,0.1399436891078949,0.32119396328926086,0.3586423695087433,0.23381662368774414,0.20430970191955566
2008/09,-0.2027910202741623,-0.1078447699546814,-0.19002947211265564,-0.06362547725439072,-0.18457522988319397,-0.20821429789066315,0.054721180349588394,-0.1191721186041832,-0.21823269128799438,-0.08099595457315445,-0.16919255256652832
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.2565748989582062,0.2760516405105591,0.3120402991771698,0.24310162663459778,0.3134990632534027,0.3769497275352478,0.2359321564435959,0.31091248989105225
22,0.02076123282313347,-0.05602153763175011,-0.029035527259111404,-0.012027095071971416,-0.07815037667751312,-0.008687375113368034,-0.024649551138281822,-0.08366431295871735,0.09361296892166138,-0.004843244329094887,0.06663474440574646
per,0.21384303271770477,0.33415210247039795,0.17468707263469696,0.16676273941993713,0.13300858438014984,0.12158285081386566,0.049712974578142166,0.10754520446062088,0.2710694968700409,0.1702481061220169,0.22323818504810333
cent,0.17630065977573395,0.3120506703853607,0.17454902827739716,0.18670418858528137,0.18740835785865784,0.17399781942367554,0.1783176064491272,0.11098866909742355,0.2013285905122757,0.18663443624973297,0.21050448715686798
of,0.33290785551071167,0.24724560976028442,1.0,0.23414276540279388,0.265506386756897,0.3075267970561981,0.11676425486803055,0.2761906683444977,0.3792596757411957,0.21564675867557526,0.1826142966747284
classes,0.20746955275535583,0.2253221571445465,0.19099700450897217,0.1628704071044922,0.40551111102104187,0.26141780614852905,0.20897185802459717,0.2615216076374054,0.29647108912467957,0.2427264153957367,0.14397528767585754
