,on,what,theorem,is,the,formula,that,frequently,generates,the,number,2,and,all,other,primes,precisely,once,based,on,?
another,0.2988088130950928,0.4190070629119873,0.2271350622177124,0.41278526186943054,0.5019711852073669,0.23307842016220093,0.5273378491401672,0.2933860123157501,0.31154364347457886,0.5019711852073669,0.27583494782447815,-0.07180590182542801,0.3214244842529297,0.2899569571018219,0.4440920054912567,0.2227129191160202,0.2719259560108185,0.41397157311439514,0.23041412234306335,0.2988088130950928,0.295511931180954
formula,0.10048726946115494,0.1849268674850464,0.3171968162059784,0.24021393060684204,0.19533312320709229,1.0,0.21913127601146698,0.17927558720111847,0.2014589160680771,0.19533312320709229,0.24893635511398315,-0.0025225391145795584,0.18467900156974792,0.17335465550422668,0.14690928161144257,0.24355360865592957,0.2359597235918045,0.08369607478380203,0.14396625757217407,0.10048726946115494,0.16194304823875427
is,0.3635730445384979,0.28837618231773376,0.23679251968860626,1.0,0.5823672413825989,0.24021393060684204,0.3995479643344879,0.24406132102012634,0.31729310750961304,0.5823672413825989,0.22390379011631012,-0.07940074801445007,0.3859752118587494,0.2553904056549072,0.25895947217941284,0.2382466346025467,0.2900363504886627,0.3481405973434448,0.3248139023780823,0.3635730445384979,0.22961433231830597
based,0.36055147647857666,0.274813175201416,0.14133666455745697,0.3248139023780823,0.29860720038414,0.14396625757217407,0.31403544545173645,0.13027037680149078,0.24515986442565918,0.29860720038414,0.19376133382320404,0.017230883240699768,0.2660958170890808,0.2313152402639389,0.2762986719608307,0.11321622878313065,0.22135916352272034,0.2101258933544159,1.0000001192092896,0.36055147647857666,0.134929820895195
on,0.9999999403953552,0.34226128458976746,0.09592781960964203,0.3635730445384979,0.5107308030128479,0.10048726946115494,0.42569106817245483,0.22005623579025269,0.21848823130130768,0.5107308030128479,0.2978411018848419,-0.0046874904073774815,0.4077630043029785,0.3832052946090698,0.3410046398639679,0.16345685720443726,0.20484861731529236,0.3051988482475281,0.36055147647857666,0.9999999403953552,0.2714994251728058
wilson,0.11500713229179382,0.1282895803451538,0.17189554870128632,0.09424737840890884,0.20745839178562164,0.12969176471233368,0.13637486100196838,0.19900256395339966,0.11275997757911682,0.20745839178562164,0.13372857868671417,-0.03475409373641014,0.26030388474464417,0.10242605954408646,0.0843585804104805,0.2633703052997589,0.16250665485858917,0.1750059276819229,0.11835921555757523,0.11500713229179382,0.1055358424782753
's,0.0026888418942689896,0.02692362666130066,0.006648248061537743,0.02396530658006668,-0.01540423184633255,0.07357185333967209,0.04397977516055107,-0.027457235381007195,-0.0739104226231575,-0.01540423184633255,0.033178191632032394,0.10492397099733353,0.06895173341035843,0.03181743621826172,0.04445967823266983,0.011744771152734756,-0.020467674359679222,0.019827215000987053,0.06600074470043182,0.0026888418942689896,-0.023395681753754616
theorem,0.09592781960964203,0.27076783776283264,1.0,0.23679251968860626,0.18430666625499725,0.3171968162059784,0.28924983739852905,0.1388828605413437,0.22479259967803955,0.18430666625499725,0.2737624943256378,-0.008989349938929081,0.10136619955301285,0.13777028024196625,0.08003514260053635,0.5341587662696838,0.26842406392097473,0.12211030721664429,0.14133666455745697,0.09592781960964203,0.18729111552238464
and,0.4077630043029785,0.31309178471565247,0.10136619955301285,0.3859752118587494,0.5171257257461548,0.18467900156974792,0.4731321930885315,0.3251250684261322,0.23343290388584137,0.5171257257461548,0.28545793890953064,-0.0926629975438118,1.0,0.4542157053947449,0.5504306554794312,0.24551862478256226,0.25873884558677673,0.31971874833106995,0.2660958170890808,0.4077630043029785,0.20544172823429108
generates,0.21848823130130768,0.24534831941127777,0.22479259967803955,0.31729310750961304,0.302420973777771,0.2014589160680771,0.3351447582244873,0.21460646390914917,1.0,0.302420973777771,0.27113887667655945,-0.13058097660541534,0.23343290388584137,0.25873488187789917,0.28225091099739075,0.24138472974300385,0.2652996778488159,0.19207368791103363,0.24515986442565918,0.21848823130130768,0.27188700437545776
