,what,limits,the,rankine,cycle,'s,efficiency,?
the,0.42745697498321533,0.3678794801235199,1.0,0.22060109674930573,0.2701641917228699,-0.01540423184633255,0.18687312304973602,0.22068053483963013
efficiency,0.1758391559123993,0.3190547823905945,0.18687312304973602,0.3506242334842682,0.24971653521060944,0.018245456740260124,1.0000001192092896,0.14680004119873047
of,0.33290785551071167,0.37432539463043213,0.733189046382904,0.22334030270576477,0.255176842212677,-0.03817026689648628,0.22438649833202362,0.1826142966747284
a,0.3320399522781372,0.2771044373512268,0.5829201340675354,0.18306823074817657,0.21741491556167603,0.04866964742541313,0.17706015706062317,0.23916715383529663
rankine,0.14446263015270233,0.13287946581840515,0.22060109674930573,1.0000001192092896,0.2285865843296051,0.10705062001943588,0.3506242334842682,0.15256094932556152
cycle,0.17920038104057312,0.1898866593837738,0.2701641917228699,0.2285865843296051,1.0000001192092896,-0.005367895122617483,0.24971653521060944,0.07156776636838913
is,0.28837618231773376,0.3030383288860321,0.5823672413825989,0.19099628925323486,0.20626789331436157,0.02396530658006668,0.19588415324687958,0.22961433231830597
usually,0.32521089911460876,0.27142950892448425,0.36782920360565186,0.21553924679756165,0.24298425018787384,0.08620650321245193,0.24894891679286957,0.19435347616672516
limited,0.23110276460647583,0.5528213381767273,0.2757521867752075,0.11356143653392792,0.10412824153900146,0.009881002828478813,0.3137778639793396,0.09444807469844818
by,0.2455483376979828,0.23097051680088043,0.4408751428127289,0.2038370817899704,0.15267513692378998,-0.010884488001465797,0.17054374516010284,0.17966607213020325
the,0.42745697498321533,0.3678794801235199,1.0,0.22060109674930573,0.2701641917228699,-0.01540423184633255,0.18687312304973602,0.22068053483963013
working,0.2846863269805908,0.12355417758226395,0.25857484340667725,0.14615657925605774,0.1813115030527115,-0.0629357099533081,0.2734948694705963,0.17154020071029663
fluid,0.20682886242866516,0.22474955022335052,0.23256433010101318,0.2930317521095276,0.22116050124168396,-0.04277532920241356,0.33311960101127625,0.18212400376796722
.,0.3567904531955719,0.27380135655403137,0.5934505462646484,0.24286073446273804,0.19143328070640564,-0.003708066651597619,0.220932275056839,0.4130953550338745
