,what,makes,the,tentilla,of,euplokamis,different,from,other,cysippids,?
the,0.42745697498321533,0.3029823303222656,1.0,0.3119664192199707,0.733189046382904,0.33727511763572693,0.36412742733955383,0.40150508284568787,0.44152235984802246,0.3352452218532562,0.22068053483963013
tentilla,0.27320170402526855,0.17436879873275757,0.3119664192199707,0.9999999403953552,0.2974798381328583,0.3076454997062683,0.23583994805812836,0.22945429384708405,0.2393449991941452,0.3643008768558502,0.18873277306556702
of,0.33290785551071167,0.2927091419696808,0.733189046382904,0.2974798381328583,1.0,0.28817805647850037,0.3747533857822418,0.4249346852302551,0.38583824038505554,0.30672526359558105,0.1826142966747284
euplokamis,0.2533586323261261,0.15557846426963806,0.33727511763572693,0.3076454997062683,0.28817805647850037,1.0000001192092896,0.22027741372585297,0.23813439905643463,0.2569127678871155,0.4313068389892578,0.29607975482940674
differ,0.35208603739738464,0.180032879114151,0.274601012468338,0.19951456785202026,0.3024460971355438,0.14109164476394653,0.6484425067901611,0.22186864912509918,0.40137016773223877,0.2919180691242218,0.18697237968444824
significantly,0.2746123671531677,0.20078954100608826,0.3313288986682892,0.2500855028629303,0.2703875005245209,0.1459229737520218,0.28595787286758423,0.22142019867897034,0.37818607687950134,0.24586252868175507,0.1823679804801941
from,0.2737620174884796,0.1793784350156784,0.40150508284568787,0.22945429384708405,0.4249346852302551,0.23813439905643463,0.29131123423576355,1.0,0.30141791701316833,0.2573302388191223,0.19969791173934937
those,0.44466671347618103,0.2743385136127472,0.42861196398735046,0.2672050893306732,0.37935635447502136,0.25968867540359497,0.4699140191078186,0.24692396819591522,0.5963296890258789,0.3768048882484436,0.3328189253807068
of,0.33290785551071167,0.2927091419696808,0.733189046382904,0.2974798381328583,1.0,0.28817805647850037,0.3747533857822418,0.4249346852302551,0.38583824038505554,0.30672526359558105,0.1826142966747284
other,0.341873437166214,0.25012078881263733,0.44152235984802246,0.2393449991941452,0.38583824038505554,0.2569127678871155,0.5510044097900391,0.30141791701316833,0.9999999403953552,0.342818945646286,0.24682199954986572
cydippids,0.22088393568992615,0.21555601060390472,0.3210736811161041,0.3443603813648224,0.2979815900325775,0.44472914934158325,0.31288284063339233,0.21317033469676971,0.3313353359699249,0.900870680809021,0.217335045337677
:,-0.12022944539785385,-0.11135680228471756,-0.03403344005346298,-0.0327269583940506,-0.08807745575904846,-0.10334358364343643,-0.11576474457979202,-0.056502215564250946,-0.0941355749964714,-0.18510207533836365,-0.07156077772378922
they,0.4431931674480438,0.281455397605896,0.49925389885902405,0.29527443647384644,0.3426007330417633,0.2960568368434906,0.4649348556995392,0.3321932256221771,0.5182796120643616,0.4420476257801056,0.2753053903579712
