,teaching,christians,how,they,should,live,is,what,use,of,the,law,?
this,0.23248428106307983,0.24632097780704498,0.45272302627563477,0.4273154139518738,0.5047021508216858,0.20579808950424194,0.480927973985672,0.5489566326141357,0.4395635426044464,0.45148900151252747,0.6274310946464539,0.1943822205066681,0.3155723512172699
has,0.17087559401988983,0.15006181597709656,0.26820555329322815,0.3512192368507385,0.30622398853302,0.21881970763206482,0.5668748617172241,0.20338068902492523,0.2701425552368164,0.3909035325050354,0.4177538752555847,0.15925909578800201,0.15994466841220856
traditionally,0.2403542548418045,0.3540840148925781,0.18782658874988556,0.3248710632324219,0.22064746916294098,0.16684986650943756,0.33712470531463623,0.22366398572921753,0.30547216534614563,0.31117507815361023,0.32626137137413025,0.23317472636699677,0.10789176821708679
been,0.1825830191373825,0.19483917951583862,0.26456597447395325,0.410590261220932,0.36230576038360596,0.1619804948568344,0.39566612243652344,0.2567804455757141,0.27338850498199463,0.31685134768486023,0.3563927710056305,0.1556238830089569,0.24354910850524902
called,0.15605761110782623,0.16078542172908783,0.2869613468647003,0.45046308636665344,0.18528342247009277,0.24379020929336548,0.430266410112381,0.3235960602760315,0.30098897218704224,0.4222904443740845,0.489897221326828,0.20824196934700012,0.18963319063186646
the,0.2182690054178238,0.24734680354595184,0.33890387415885925,0.49925389885902405,0.32399165630340576,0.2995128035545349,0.5823672413825989,0.42745697498321533,0.34342584013938904,0.733189046382904,1.0,0.24548950791358948,0.22068053483963013
``,0.07803160697221756,0.1157805472612381,-0.01591024175286293,0.0819322019815445,0.14615385234355927,-0.03351626545190811,0.058766357600688934,0.008517155423760414,0.098173126578331,0.06780257821083069,0.029072100296616554,0.005725041963160038,0.0685480609536171
third,0.13087715208530426,0.20070339739322662,0.14508451521396637,0.27100688219070435,0.151302307844162,0.20723196864128113,0.31551501154899597,0.2033906877040863,0.14575320482254028,0.30602210760116577,0.4229298532009125,0.1839587539434433,0.15394791960716248
use,0.2541958689689636,0.1898217797279358,0.39296725392341614,0.39895978569984436,0.3882125914096832,0.17711880803108215,0.3357410430908203,0.3453877568244934,1.0,0.2750902473926544,0.34342584013938904,0.23739519715309143,0.32795652747154236
of,0.2911611497402191,0.25621283054351807,0.2480744868516922,0.3426007330417633,0.23792634904384613,0.27734068036079407,0.4854315221309662,0.33290785551071167,0.2750902473926544,1.0,0.733189046382904,0.2816956341266632,0.1826142966747284
the,0.2182690054178238,0.24734680354595184,0.33890387415885925,0.49925389885902405,0.32399165630340576,0.2995128035545349,0.5823672413825989,0.42745697498321533,0.34342584013938904,0.733189046382904,1.0,0.24548950791358948,0.22068053483963013
law,0.2503478527069092,0.253726989030838,0.18813064694404602,0.21479126811027527,0.2088879495859146,0.13447867333889008,0.18597714602947235,0.2145031988620758,0.23739519715309143,0.2816956341266632,0.24548950791358948,1.0000001192092896,0.1528988480567932
.,0.26479530334472656,0.2501663267612457,0.3287222981452942,0.4510921239852905,0.3516756594181061,0.32964062690734863,0.4569662809371948,0.3567904531955719,0.3711656630039215,0.5352458953857422,0.5934505462646484,0.24482665956020355,0.4130953550338745
'',-0.03742646425962448,-0.0017542942659929395,-0.0029843549709767103,-0.006317874416708946,0.09159162640571594,0.005379496142268181,0.0793738141655922,0.08143015950918198,0.09741680324077606,0.13035868108272552,0.041273195296525955,0.02283594384789467,0.018684765323996544
