,when,did,the,rhine,straightening,program,begin,?
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.28836721181869507,0.22986935079097748,0.34293439984321594,0.22068053483963013
upper,0.18254698812961578,0.14103727042675018,0.35289278626441956,0.27324220538139343,0.21288077533245087,0.08186337351799011,0.1501816213130951,0.051342256367206573
rhine,0.13750529289245605,0.15695837140083313,0.30735138058662415,1.0,0.11898552626371384,0.08297404646873474,0.16868017613887787,0.13754533231258392
region,0.21040433645248413,0.06474873423576355,0.35020557045936584,0.25959649682044983,0.14352387189865112,0.05798066407442093,0.11138752847909927,0.13441751897335052
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.18681856989860535,0.1475522369146347,0.1849333792924881,0.17294162511825562,0.18412111699581146
changed,0.3033768832683563,0.30653589963912964,0.351829469203949,0.15414851903915405,0.21290050446987152,0.16796177625656128,0.16318410634994507,0.21123318374156952
significantly,0.3075088560581207,0.2269294559955597,0.3313288986682892,0.12487909197807312,0.2646843492984772,0.14455682039260864,0.2490605115890503,0.1823679804801941
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.18456800282001495,0.19827598333358765,0.19954828917980194,0.16351081430912018,0.17966607213020325
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.1823403388261795,0.29697516560554504,0.2779408395290375,0.22845244407653809,0.23916715383529663
rhine,0.13750529289245605,0.15695837140083313,0.30735138058662415,1.0,0.11898552626371384,0.08297404646873474,0.16868017613887787,0.13754533231258392
straightening,0.31873294711112976,0.16482499241828918,0.28836721181869507,0.11898552626371384,1.0,0.1287701427936554,0.22092711925506592,0.17868033051490784
program,0.2301054745912552,0.18915289640426636,0.22986935079097748,0.08297404646873474,0.1287701427936554,1.0,0.15393386781215668,0.1440187245607376
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.24648422002792358,0.18307538330554962,0.1994907110929489,0.2903634011745453,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.28836721181869507,0.22986935079097748,0.34293439984321594,0.22068053483963013
19th,0.20566971600055695,0.11936882883310318,0.24964287877082825,0.14088697731494904,0.26601606607437134,0.1875244826078415,0.138271763920784,0.004712673369795084
century,0.22992412745952606,0.2333737462759018,0.3617299497127533,0.21836237609386444,0.22886262834072113,0.15256467461585999,0.17297205328941345,0.1026201918721199
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2089352011680603,0.25162386894226074,0.18964338302612305,0.24827922880649567,0.4130953550338745
