,when,did,the,syrian,civil,war,begin,?
originating,0.2270207703113556,0.16153547167778015,0.3686871826648712,0.19942528009414673,0.16815924644470215,0.20584885776042938,0.2523316740989685,0.1133110523223877
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.260647714138031,0.18100082874298096,0.24018222093582153,0.20308734476566315,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,1.0,0.24834218621253967,0.2477465271949768,0.366199791431427,0.34293439984321594,0.22068053483963013
jama'at,0.21321235597133636,0.22050119936466217,0.2916717827320099,0.34098169207572937,0.2692818343639374,0.1839187741279602,0.19407130777835846,0.2109089344739914
al-tawhid,0.25102755427360535,0.3178669810295105,0.33518680930137634,0.3101048469543457,0.31765466928482056,0.3069569170475006,0.20134896039962769,0.39677947759628296
wal-jihad,0.1782623529434204,0.22958853840827942,0.2847258746623993,0.4357980787754059,0.2592315673828125,0.3067070245742798,0.23281165957450867,0.22138552367687225
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.21776847541332245,0.26466667652130127,0.29904094338417053,0.2903634011745453,0.20430970191955566
1999,0.012987824156880379,0.08004042506217957,0.06755080074071884,0.14777064323425293,0.07646694779396057,0.17280198633670807,0.03133828565478325,0.05416720360517502
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.20895400643348694,0.24795588850975037,0.2671184241771698,0.27304404973983765,0.31091248989105225
it,0.4775012135505676,0.2993364930152893,0.6251175999641418,0.16552601754665375,0.17707513272762299,0.28139346837997437,0.18427979946136475,0.25732165575027466
pledged,0.23220564424991608,0.29594528675079346,0.2573625147342682,0.2784111797809601,0.18111775815486908,0.24251501262187958,0.22562558948993683,0.18698956072330475
allegiance,0.2298869490623474,0.23339742422103882,0.26782822608947754,0.2197272628545761,0.23338554799556732,0.34902575612068176,0.20742912590503693,0.10591092705726624
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.143992617726326,0.2019355595111847,0.2610234022140503,0.33302420377731323,0.29463258385658264
al-qaeda,0.16748076677322388,0.18361106514930725,0.24044957756996155,0.3175733685493469,0.1956653743982315,0.26992109417915344,0.13661527633666992,0.1877317875623703
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.21776847541332245,0.26466667652130127,0.29904094338417053,0.2903634011745453,0.20430970191955566
2004,-0.2735671103000641,-0.11159943789243698,-0.2467794269323349,-0.11897058039903641,-0.0567830465734005,-0.033519793301820755,-0.15381431579589844,-0.15923042595386505
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.20895400643348694,0.24795588850975037,0.2671184241771698,0.27304404973983765,0.31091248989105225
participated,0.16636551916599274,0.2765139937400818,0.2627280354499817,0.13360098004341125,0.20127655565738678,0.2149169147014618,0.2923137843608856,0.11681767553091049
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.21776847541332245,0.26466667652130127,0.29904094338417053,0.2903634011745453,0.20430970191955566
