,who,did,the,han,chinese,want,to,help,the,mongols,fight,?
many,0.4149286150932312,0.375588983297348,0.4335206151008606,0.24089652299880981,0.27965980768203735,0.3229956328868866,0.40243685245513916,0.2875923216342926,0.4335206151008606,0.24787884950637817,0.29671403765678406,0.2124512493610382
han,0.24822920560836792,0.15681569278240204,0.253618985414505,0.9999998807907104,0.5880447626113892,0.15139444172382355,0.14111210405826569,0.0694170668721199,0.253618985414505,0.42487093806266785,0.14458125829696655,0.17129439115524292
chinese,0.2538459002971649,0.19065357744693756,0.2785343527793884,0.5880447626113892,1.0000001192092896,0.20584997534751892,0.17416036128997803,0.1480889767408371,0.2785343527793884,0.37191540002822876,0.1380017101764679,0.20843194425106049
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.21331742405891418,0.25892454385757446,0.34348347783088684,0.48971283435821533,0.34926167130470276,0.5171257257461548,0.2535054385662079,0.3312135934829712,0.20544172823429108
khitan,0.2690381407737732,0.19472306966781616,0.28280338644981384,0.4974193871021271,0.4207753837108612,0.13997773826122284,0.18420425057411194,0.16844438016414642,0.28280338644981384,0.5673909783363342,0.22068201005458832,0.22136270999908447
defected,0.3239649832248688,0.2517690062522888,0.3002898693084717,0.1679246723651886,0.19770239293575287,0.17463722825050354,0.2255745679140091,0.18478795886039734,0.3002898693084717,0.27877113223075867,0.23919418454170227,0.09351088106632233
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.14111210405826569,0.17416036128997803,0.4966742694377899,1.0,0.46191298961639404,0.535392165184021,0.230276957154274,0.3154832720756531,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,1.0,0.253618985414505,0.2785343527793884,0.3003826439380646,0.535392165184021,0.30064165592193604,1.0,0.310281366109848,0.28874441981315613,0.22068053483963013
mongols,0.2709572911262512,0.21908389031887054,0.310281366109848,0.42487093806266785,0.37191540002822876,0.18431444466114044,0.230276957154274,0.1777101457118988,0.310281366109848,0.9999999403953552,0.30669963359832764,0.11517509818077087
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.14111210405826569,0.17416036128997803,0.4966742694377899,1.0,0.46191298961639404,0.535392165184021,0.230276957154274,0.3154832720756531,0.29463258385658264
fight,0.3589325249195099,0.32103484869003296,0.28874441981315613,0.14458125829696655,0.1380017101764679,0.3541739881038666,0.3154832720756531,0.44553518295288086,0.28874441981315613,0.30669963359832764,1.0000001192092896,0.16463038325309753
against,0.2942115366458893,0.22514554858207703,0.3090755045413971,0.1376863270998001,0.10578002780675888,0.2127319574356079,0.310872346162796,0.29214030504226685,0.3090755045413971,0.2584691643714905,0.46907472610473633,0.18095137178897858
the,0.3733934462070465,0.34736719727516174,1.0,0.253618985414505,0.2785343527793884,0.3003826439380646,0.535392165184021,0.30064165592193604,1.0,0.310281366109848,0.28874441981315613,0.22068053483963013
jin,0.22250813245773315,0.12242958694696426,0.23336409032344818,0.5655823349952698,0.5054189562797546,0.18991711735725403,0.16679616272449493,0.11982637643814087,0.23336409032344818,0.43868622183799744,0.19332300126552582,0.12195159494876862
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.22765392065048218,0.25441038608551025,0.31944841146469116,0.4645031690597534,0.32205137610435486,0.5934505462646484,0.1921418309211731,0.263308584690094,0.4130953550338745
