,what,does,civil,disobedience,protest,against,?
civil,0.15091551840305328,0.09171415865421295,1.0,0.5442691445350647,0.29364001750946045,0.22722691297531128,0.1494513899087906
disobedience,0.3298627436161041,0.2508189380168915,0.5442691445350647,1.0,0.5334797501564026,0.3858777582645416,0.19890835881233215
is,0.28837618231773376,0.4403602182865143,0.16941262781620026,0.21453623473644257,0.16113008558750153,0.1754940152168274,0.22961433231830597
one,0.376489520072937,0.2924913763999939,0.15266822278499603,0.20541732013225555,0.22410526871681213,0.2450990378856659,0.2673267424106598
of,0.33290785551071167,0.3119818866252899,0.24698495864868164,0.31932318210601807,0.24564224481582642,0.2669808566570282,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.2477465271949768,0.30963727831840515,0.25126034021377563,0.3090755045413971,0.22068053483963013
many,0.36131182312965393,0.30303922295570374,0.2212105095386505,0.2810143232345581,0.24246296286582947,0.23851439356803894,0.2124512493610382
ways,0.394069641828537,0.3294845521450043,0.13581056892871857,0.28342676162719727,0.15549500286579132,0.19386808574199677,0.2710120975971222
people,0.32444337010383606,0.2198464572429657,0.24625034630298615,0.2943185269832611,0.29243555665016174,0.20144562423229218,0.23739641904830933
have,0.39808809757232666,0.3709583580493927,0.16153892874717712,0.22560594975948334,0.1995134800672531,0.2534869611263275,0.32991164922714233
rebelled,0.24506084620952606,0.1788099855184555,0.3283209502696991,0.4009906053543091,0.2979181408882141,0.39117521047592163,0.1209515780210495
against,0.24561616778373718,0.15442250669002533,0.22722691297531128,0.3858777582645416,0.41560912132263184,1.0,0.18095137178897858
what,0.9999998807907104,0.38564667105674744,0.15091551840305328,0.3298627436161041,0.20248152315616608,0.24561616778373718,0.5051238536834717
they,0.4431931674480438,0.34390902519226074,0.14507707953453064,0.3148254156112671,0.23475071787834167,0.26509472727775574,0.2753053903579712
deem,0.3466281592845917,0.3448697328567505,0.19901473820209503,0.35977885127067566,0.24992240965366364,0.19761520624160767,0.3993493318557739
to,0.455847829580307,0.4391997456550598,0.2019355595111847,0.30665844678878784,0.22359536588191986,0.310872346162796,0.29463258385658264
be,0.3929833769798279,0.28696945309638977,0.18061059713363647,0.2944406270980835,0.1804484724998474,0.18640132248401642,0.3324260413646698
unfair,0.38959306478500366,0.28550130128860474,0.2615568935871124,0.46226534247398376,0.4515019655227661,0.40664321184158325,0.2510303556919098
laws,0.29636016488075256,0.2312685251235962,0.2589532434940338,0.4583999514579773,0.34785160422325134,0.3110208213329315,0.17911791801452637
.,0.3567904531955719,0.3022993505001068,0.2541380822658539,0.2603943943977356,0.2598128020763397,0.28705209493637085,0.4130953550338745
