,how,many,passing,yards,did,cam,newton,get,for,his,4,of,4,passes,?
newton,0.2514588236808777,0.1828424632549286,0.23282510042190552,0.29241275787353516,0.23863376677036285,0.32548287510871887,1.0000001192092896,0.11107507348060608,0.18168501555919647,0.2519145607948303,-0.012494400143623352,0.18479612469673157,-0.012494400143623352,0.24855424463748932,0.09645649790763855
completed,0.2009071707725525,0.13555161654949188,0.28495508432388306,0.3045698404312134,0.2574852406978607,0.07332330197095871,0.17692528665065765,0.15606318414211273,0.252206027507782,0.26574116945266724,0.14057916402816772,0.2491239756345749,0.14057916402816772,0.2495463490486145,0.08272653818130493
4,-0.09503452479839325,-0.054631516337394714,0.06451979279518127,0.07878641039133072,0.0646207332611084,0.030511727556586266,-0.012494400143623352,-0.026626143604516983,0.03985929489135742,0.18466266989707947,1.0000001192092896,0.17227263748645782,1.0000001192092896,0.07460107654333115,0.010515431873500347
of,0.2480744868516922,0.37253960967063904,0.24086934328079224,0.14466260373592377,0.2513895630836487,0.18242581188678741,0.18479612469673157,0.26628199219703674,0.4185989499092102,0.38364991545677185,0.17227263748645782,1.0,0.17227263748645782,0.31505411863327026,0.1826142966747284
4,-0.09503452479839325,-0.054631516337394714,0.06451979279518127,0.07878641039133072,0.0646207332611084,0.030511727556586266,-0.012494400143623352,-0.026626143604516983,0.03985929489135742,0.18466266989707947,1.0000001192092896,0.17227263748645782,1.0000001192092896,0.07460107654333115,0.010515431873500347
passes,0.2305745780467987,0.09871689230203629,0.6374642848968506,0.3818858563899994,0.11102328449487686,0.18790455162525177,0.24855424463748932,0.3093223571777344,0.2133815735578537,0.19256499409675598,0.07460107654333115,0.31505411863327026,0.07460107654333115,0.9999998807907104,0.09716983139514923
for,0.3308170735836029,0.40972793102264404,0.2578018009662628,0.21746347844600677,0.318512886762619,0.22685806453227997,0.18168501555919647,0.342695415019989,0.9999999403953552,0.39312878251075745,0.03985929489135742,0.4185989499092102,0.03985929489135742,0.2133815735578537,0.264628142118454
51,-0.0459023080766201,0.007035704795271158,0.04032137989997864,0.08735772222280502,0.06295913457870483,0.08797278255224228,0.05099472030997276,-0.02798074297606945,-0.05329293757677078,0.07478213310241699,0.22848574817180634,0.08240476995706558,0.22848574817180634,0.018445882946252823,-0.06252402067184448
yards,0.1345205456018448,0.13134367763996124,0.43056851625442505,1.0,0.11230118572711945,0.18628010153770447,0.29241275787353516,0.13370735943317413,0.21746347844600677,0.2510942220687866,0.07878641039133072,0.14466260373592377,0.07878641039133072,0.3818858563899994,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.26553454995155334,0.22108176350593567,0.34479495882987976,0.18925651907920837,0.22255054116249084,0.37609121203422546,0.5064792633056641,0.4234102666378021,0.11143114417791367,0.5116966962814331,0.11143114417791367,0.2739555835723877,0.20544172823429108
rushed,0.16906850039958954,0.20464296638965607,0.28148385882377625,0.41454800963401794,0.24934585392475128,0.14092527329921722,0.1797591894865036,0.2546140253543854,0.22967296838760376,0.34734582901000977,0.1470881849527359,0.2327975481748581,0.1470881849527359,0.2705087661743164,0.10077773034572601
twice,0.21883222460746765,0.24584728479385376,0.19061005115509033,0.2703695297241211,0.2345123291015625,0.12933336198329926,0.164151132106781,0.28324058651924133,0.3137311041355133,0.26710185408592224,0.08734267204999924,0.27436208724975586,0.08734267204999924,0.18952254951000214,0.16248004138469696
for,0.3308170735836029,0.40972793102264404,0.2578018009662628,0.21746347844600677,0.318512886762619,0.22685806453227997,0.18168501555919647,0.342695415019989,0.9999999403953552,0.39312878251075745,0.03985929489135742,0.4185989499092102,0.03985929489135742,0.2133815735578537,0.264628142118454
25,0.07429084926843643,0.11531345546245575,0.15115194022655487,0.19954921305179596,0.19968153536319733,-0.013725757598876953,0.036094680428504944,0.17354293167591095,0.16109365224838257,0.1562328189611435,0.22978809475898743,0.13541533052921295,0.22978809475898743,0.06396503001451492,0.09614268690347672
yards,0.1345205456018448,0.13134367763996124,0.43056851625442505,1.0,0.11230118572711945,0.18628010153770447,0.29241275787353516,0.13370735943317413,0.21746347844600677,0.2510942220687866,0.07878641039133072,0.14466260373592377,0.07878641039133072,0.3818858563899994,0.12453813850879669
