,who,took,command,of,french,in,spring,of,1753,?
in,0.2792111933231354,0.2818296551704407,0.18293465673923492,0.5696388483047485,0.22093388438224792,1.0,0.3244975805282593,0.5696388483047485,0.07270919531583786,0.20430970191955566
the,0.3733934462070465,0.31657639145851135,0.27488255500793457,0.733189046382904,0.2555147111415863,0.6662389636039734,0.316989928483963,0.733189046382904,0.04642711579799652,0.22068053483963013
spring,0.12822824716567993,0.19205208122730255,0.155879944562912,0.2455621361732483,0.09879735112190247,0.3244975805282593,1.0,0.2455621361732483,-0.01678440347313881,0.06767474114894867
of,0.2827862501144409,0.2766268849372864,0.23060646653175354,1.0,0.19450366497039795,0.5696388483047485,0.2455621361732483,1.0,0.08124155551195145,0.1826142966747284
1753,-0.05532875284552574,0.005175136495381594,0.0824521854519844,0.08124155551195145,0.24629488587379456,0.07270919531583786,-0.01678440347313881,0.08124155551195145,0.9999998807907104,0.08492055535316467
",",0.3365725874900818,0.27655306458473206,0.25408896803855896,0.4946078956127167,0.28806620836257935,0.5201468467712402,0.30197975039482117,0.4946078956127167,0.09817314147949219,0.31091248989105225
paul,0.2292756587266922,0.1388622522354126,0.05678824335336685,0.14511796832084656,0.2441975474357605,0.21331322193145752,0.1315191388130188,0.14511796832084656,0.17851322889328003,0.16611461341381073
marin,0.15557821094989777,0.12752693891525269,0.09361232817173004,0.19723881781101227,0.24317607283592224,0.23817463219165802,0.1077960804104805,0.19723881781101227,0.24028725922107697,0.06336981058120728
de,0.18189555406570435,0.13915500044822693,0.21234256029129028,0.26292696595191956,0.3256419897079468,0.24818959832191467,0.10864002257585526,0.26292696595191956,0.2580242156982422,0.11064168810844421
la,0.08889032155275345,0.12518848478794098,0.1258549690246582,0.2191537618637085,0.2886110246181488,0.25750628113746643,0.17514926195144653,0.2191537618637085,0.20717301964759827,0.16701938211917877
malgue,0.31046971678733826,0.2315922975540161,0.16165122389793396,0.2439088374376297,0.4313923418521881,0.2763061821460724,0.1461913287639618,0.2439088374376297,0.14860494434833527,0.2379857450723648
was,0.3318818509578705,0.48213186860084534,0.22477014362812042,0.4069072902202606,0.2523815333843231,0.45514053106307983,0.19448593258857727,0.4069072902202606,0.03317563235759735,0.18412111699581146
given,0.3104628920555115,0.2733401358127594,0.19834323227405548,0.39388060569763184,0.1698962152004242,0.2528568208217621,0.15091638267040253,0.39388060569763184,0.028457818552851677,0.2570464313030243
command,0.23636431992053986,0.2476261407136917,1.0,0.23060646653175354,0.1701071560382843,0.18293465673923492,0.155879944562912,0.23060646653175354,0.0824521854519844,0.13402260839939117
of,0.2827862501144409,0.2766268849372864,0.23060646653175354,1.0,0.19450366497039795,0.5696388483047485,0.2455621361732483,1.0,0.08124155551195145,0.1826142966747284
a,0.36608949303627014,0.18697012960910797,0.1801539957523346,0.5052502155303955,0.24285779893398285,0.539380669593811,0.23113512992858887,0.5052502155303955,-0.05155669152736664,0.23916715383529663
"2,000-man",0.37932097911834717,0.241092249751091,0.2784174680709839,0.22836503386497498,0.17245881259441376,0.2636224031448364,0.21156057715415955,0.22836503386497498,-0.04774880036711693,0.2539944648742676
force,0.19492056965827942,0.12374699860811234,0.42008453607559204,0.27094775438308716,0.19081366062164307,0.21744468808174133,0.17592529952526093,0.27094775438308716,0.0010868085082620382,0.1650998443365097
of,0.2827862501144409,0.2766268849372864,0.23060646653175354,1.0,0.19450366497039795,0.5696388483047485,0.2455621361732483,1.0,0.08124155551195145,0.1826142966747284
troupes,0.2672475278377533,0.1911807805299759,0.24866656959056854,0.30252933502197266,0.41376960277557373,0.3123888671398163,0.30918508768081665,0.30252933502197266,0.30484044551849365,0.14822158217430115
de,0.18189555406570435,0.13915500044822693,0.21234256029129028,0.26292696595191956,0.3256419897079468,0.24818959832191467,0.10864002257585526,0.26292696595191956,0.2580242156982422,0.11064168810844421
la,0.08889032155275345,0.12518848478794098,0.1258549690246582,0.2191537618637085,0.2886110246181488,0.25750628113746643,0.17514926195144653,0.2191537618637085,0.20717301964759827,0.16701938211917877
marine,0.19449232518672943,0.10675830394029617,0.2284088432788849,0.24999871850013733,0.20660245418548584,0.24858763813972473,0.18032050132751465,0.24999871850013733,0.1355435848236084,0.1407923698425293
and,0.41279885172843933,0.25750628113746643,0.2525673806667328,0.5116966962814331,0.32751965522766113,0.4954058527946472,0.2709653973579407,0.5116966962814331,0.0024776647333055735,0.20544172823429108
indians,0.3267531394958496,0.2598044276237488,0.27400052547454834,0.2406514436006546,0.2352062463760376,0.23019428551197052,0.1474231630563736,0.2406514436006546,0.15858271718025208,0.13372346758842468
.,0.3541337847709656,0.2481018751859665,0.22706228494644165,0.5352458953857422,0.2480926215648651,0.5591574311256409,0.2571665942668915,0.5352458953857422,0.09151885658502579,0.4130953550338745
