,in,what,year,did,the,apollo,1,cabin,fire,occur,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.2169172167778015,-0.1554475575685501,0.23489025235176086,0.2911929488182068,0.26611819863319397,0.22068053483963013
apollo,0.1461767554283142,0.13561789691448212,0.18754246830940247,0.1976410299539566,0.2169172167778015,0.9999999403953552,-0.17533797025680542,0.363837867975235,0.24718856811523438,0.06707432121038437,0.191528782248497
program,0.1994907110929489,0.25047802925109863,0.17092710733413696,0.18915289640426636,0.22986935079097748,0.3344622850418091,-0.20595213770866394,0.1376197636127472,0.1144246980547905,0.10121086984872818,0.1440187245607376
succeeded,0.1560104489326477,0.12981964647769928,0.19751526415348053,0.22779136896133423,0.2137616127729416,0.16727223992347717,-0.22845664620399475,0.10885700583457947,0.14733539521694183,0.0708676278591156,0.12414717674255371
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.1461767554283142,-0.10660158097743988,0.19721314311027527,0.2514701783657074,0.26916563510894775,0.20430970191955566
achieving,0.2591905891895294,0.24755272269248962,0.21820880472660065,0.24739080667495728,0.35560527443885803,0.16084708273410797,-0.27611929178237915,0.09196415543556213,0.14551395177841187,0.2612181603908539,0.16495080292224884
its,0.3793783485889435,0.30393704771995544,0.15338382124900818,0.19922670722007751,0.559237003326416,0.13061507046222687,-0.10031591355800629,0.14706923067569733,0.1677691787481308,0.18547481298446655,0.15103481709957123
goal,0.2241991013288498,0.2571476101875305,0.1297859102487564,0.23877869546413422,0.2443244755268097,0.08029068261384964,-0.1662067025899887,0.07721412181854248,0.11998537927865982,0.004482690244913101,0.1964566856622696
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.1786269098520279,-0.09473495930433273,0.2067061811685562,0.20259131491184235,0.24223870038986206,0.1826142966747284
manned,0.1528020054101944,0.16094419360160828,0.19970928132534027,0.21665696799755096,0.2392944097518921,0.5195745825767517,-0.11803578585386276,0.21954403817653656,0.3165762722492218,0.18634888529777527,0.17514055967330933
lunar,0.17049738764762878,0.18274477124214172,0.3010452687740326,0.14120660722255707,0.23309995234012604,0.48109763860702515,-0.0829208716750145,0.2611824572086334,0.23420827090740204,0.150360107421875,0.1628302037715912
landing,0.2088729292154312,0.17083740234375,0.12390837073326111,0.16402073204517365,0.24055521190166473,0.3499414920806885,0.023449115455150604,0.26542890071868896,0.31540149450302124,0.16272668540477753,0.11133739352226257
