,for,a,field,f,containing,0,and,1,",",what,would,be,the,prime,field,?
for,0.9999999403953552,0.44038116931915283,0.24342265725135803,0.20350509881973267,0.30464085936546326,0.0355537012219429,0.5064792633056641,-0.31088897585868835,0.4464869201183319,0.3017193675041199,0.39877474308013916,0.3801851272583008,0.4739971458911896,0.17833133041858673,0.24342265725135803,0.264628142118454
example,0.45665353536605835,0.40234753489494324,0.22442582249641418,0.21422642469406128,0.35726091265678406,0.06366800516843796,0.35305824875831604,-0.21089939773082733,0.3094974756240845,0.3456268310546875,0.3423042595386505,0.4382762610912323,0.3755223751068115,0.16545042395591736,0.22442582249641418,0.30374911427497864
",",0.4464869201183319,0.427140474319458,0.27645614743232727,0.2089088261127472,0.24371451139450073,0.06669995188713074,0.6633074283599854,-0.15742997825145721,1.0000001192092896,0.3087472915649414,0.32586824893951416,0.39254459738731384,0.4933079481124878,0.2565026581287384,0.27645614743232727,0.31091248989105225
the,0.4739971458911896,0.5829201340675354,0.2105809599161148,0.20223011076450348,0.268460214138031,0.06647186726331711,0.5171257257461548,-0.1554475575685501,0.4933079481124878,0.42745697498321533,0.4133751392364502,0.4248143136501312,1.0,0.19960100948810577,0.2105809599161148,0.22068053483963013
prime,0.17833133041858673,0.17998681962490082,0.08071085810661316,0.17866604030132294,0.11684849858283997,0.05590185150504112,0.21528048813343048,-0.17159132659435272,0.2565026581287384,0.15586113929748535,0.16885465383529663,0.14576895534992218,0.19960100948810577,1.0,0.08071085810661316,0.11276303976774216
field,0.24342265725135803,0.2030690312385559,1.0,0.1549261063337326,0.11974441260099411,0.08253461867570877,0.26487240195274353,-0.09937694668769836,0.27645614743232727,0.1825202852487564,0.18384042382240295,0.21388062834739685,0.2105809599161148,0.08071085810661316,1.0,0.11279727518558502
is,0.43268078565597534,0.658733606338501,0.17269009351730347,0.20386354625225067,0.31318455934524536,-0.013776509091258049,0.3859752118587494,-0.12491171807050705,0.4691906273365021,0.28837618231773376,0.33626067638397217,0.4819129705429077,0.5823672413825989,0.16680827736854553,0.17269009351730347,0.22961433231830597
the,0.4739971458911896,0.5829201340675354,0.2105809599161148,0.20223011076450348,0.268460214138031,0.06647186726331711,0.5171257257461548,-0.1554475575685501,0.4933079481124878,0.42745697498321533,0.4133751392364502,0.4248143136501312,1.0,0.19960100948810577,0.2105809599161148,0.22068053483963013
smallest,0.13316071033477783,0.2917410135269165,0.07283036410808563,0.16397041082382202,0.23743775486946106,0.046067748218774796,0.21763697266578674,-0.05211850255727768,0.24800097942352295,0.2000153660774231,0.1810639649629593,0.24015752971172333,0.37486547231674194,0.21579988300800323,0.07283036410808563,0.11955065280199051
subfield,0.2355063408613205,0.2820615768432617,0.5793331861495972,0.21221189200878143,0.2625638246536255,-0.008943730965256691,0.29895591735839844,-0.1547425240278244,0.31324848532676697,0.2836425304412842,0.16150522232055664,0.25498953461647034,0.20235660672187805,0.0847804844379425,0.5793331861495972,0.18536336719989777
of,0.4185989499092102,0.5052502155303955,0.20410659909248352,0.20653444528579712,0.3227089047431946,0.0813891589641571,0.5116966962814331,-0.09473495930433273,0.4946078956127167,0.33290785551071167,0.3353942930698395,0.33904364705085754,0.733189046382904,0.23935265839099884,0.20410659909248352,0.1826142966747284
a,0.44038116931915283,1.0,0.2030690312385559,0.2362123429775238,0.2822553813457489,-0.01516808569431305,0.3739250600337982,-0.20817746222019196,0.427140474319458,0.3320399522781372,0.398599237203598,0.39883795380592346,0.5829201340675354,0.17998681962490082,0.2030690312385559,0.23916715383529663
field,0.24342265725135803,0.2030690312385559,1.0,0.1549261063337326,0.11974441260099411,0.08253461867570877,0.26487240195274353,-0.09937694668769836,0.27645614743232727,0.1825202852487564,0.18384042382240295,0.21388062834739685,0.2105809599161148,0.08071085810661316,1.0,0.11279727518558502
