,what,is,the,most,common,xanthophyll,?
β-carotene,0.15884004533290863,0.3056502938270569,0.2819751799106598,0.2075192928314209,0.2575177550315857,0.5763881802558899,0.10875461250543594
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.2952355444431305,0.2276282012462616,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3508910834789276,0.29638534784317017,0.2552777826786041,0.23916715383529663
bright,0.22715561091899872,0.2728571891784668,0.2233448326587677,0.28340473771095276,0.23313623666763306,0.3262823522090912,0.18864305317401886
red-orange,0.2910417914390564,0.2997189462184906,0.3188176155090332,0.20025871694087982,0.2231922745704651,0.4477240741252899,0.1827872097492218
carotenoid,0.2417978197336197,0.298306405544281,0.30923742055892944,0.25989192724227905,0.28771188855171204,0.5968060493469238,0.19019073247909546
found,0.1796332150697708,0.3526395261287689,0.3452354073524475,0.2697452902793884,0.2702949643135071,0.29954612255096436,0.16790300607681274
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.23149342834949493,0.19573386013507843,0.20430970191955566
nearly,0.21304303407669067,0.268917441368103,0.3409946858882904,0.41269901394844055,0.20358429849147797,0.18226493895053864,0.11670064926147461
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.5116150975227356,0.246805801987648,0.20672215521335602,0.29575422406196594
chloroplasts,0.2524593770503998,0.22550933063030243,0.23062430322170258,0.254451721906662,0.23036974668502808,0.6542595624923706,0.13049766421318054
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.23060984909534454,0.31091248989105225
like,0.4320242702960968,0.29710376262664795,0.32912567257881165,0.4050426185131073,0.34735411405563354,0.222304567694664,0.3268813192844391
chlorophyll,0.23408083617687225,0.2015603631734848,0.20174691081047058,0.17914937436580658,0.18477186560630798,0.7887566089630127,0.1099696233868599
a.,-0.06772881746292114,-0.0016085113165900111,-0.06011331453919411,0.012690198607742786,-0.0030749060679227114,0.07314158231019974,0.04165230318903923
xanthophylls,0.1613224297761917,0.22056254744529724,0.21179623901844025,0.24200370907783508,0.30859673023223877,0.9830045104026794,0.17882108688354492
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.23060984909534454,0.31091248989105225
especially,0.3590192496776581,0.32683345675468445,0.39420849084854126,0.6010488867759705,0.40245702862739563,0.19836486876010895,0.19751401245594025
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.2705984115600586,0.2142665833234787,0.22068053483963013
orange-red,0.21580719947814941,0.21403878927230835,0.2464202642440796,0.19515438377857208,0.20808783173561096,0.4380982518196106,0.19598974287509918
zeaxanthin,0.2029126137495041,0.2933884263038635,0.28565332293510437,0.2881999611854553,0.285554975271225,0.7074472308158875,0.24184954166412354
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.23060984909534454,0.31091248989105225
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.48698675632476807,0.3463647663593292,0.30036625266075134,0.24591213464736938
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.5312551259994507,0.3071964681148529,0.2682796120643616,0.21848613023757935
common,0.19989867508411407,0.2952355444431305,0.2705984115600586,0.42714235186576843,0.9999998807907104,0.2907447814941406,0.20434872806072235
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.21817955374717712,0.2724054157733917,0.4130953550338745
