,in,which,century,were,the,four,devonshire,hunting,tapestries,woven,?
a,0.539380669593811,0.56894451379776,0.19417014718055725,0.17203083634376526,0.5829201340675354,0.28236961364746094,0.12952390313148499,0.2730202376842499,0.27172237634658813,0.2436521053314209,0.23916715383529663
highlight,0.2666685879230499,0.26084786653518677,0.11649637669324875,0.14378181099891663,0.26126983761787415,0.17534182965755463,0.09715456515550613,0.10730956494808197,0.17237745225429535,0.1837405413389206,0.19680358469486237
of,0.5696388483047485,0.5011631846427917,0.2826060354709625,0.34038281440734863,0.733189046382904,0.36293646693229675,0.18575336039066315,0.23968064785003662,0.2834693491458893,0.19261863827705383,0.1826142966747284
the,0.6662389636039734,0.6521818041801453,0.3617299497127533,0.3906462490558624,1.0,0.40344667434692383,0.16706396639347076,0.2975936233997345,0.2850809097290039,0.2016974836587906,0.22068053483963013
collection,0.23004686832427979,0.30199134349823,0.2717791497707367,0.22638525068759918,0.25281965732574463,0.21670788526535034,0.11060739308595657,0.17496898770332336,0.3590417802333832,0.253160297870636,0.20069393515586853
is,0.5394441485404968,0.4457404911518097,0.20648397505283356,0.29386836290359497,0.5823672413825989,0.22331103682518005,0.1243281438946724,0.21004845201969147,0.1843765527009964,0.17853513360023499,0.22961433231830597
the,0.6662389636039734,0.6521818041801453,0.3617299497127533,0.3906462490558624,1.0,0.40344667434692383,0.16706396639347076,0.2975936233997345,0.2850809097290039,0.2016974836587906,0.22068053483963013
four,0.3085027039051056,0.37497180700302124,0.15694880485534668,0.3769223988056183,0.40344667434692383,1.0,0.14176997542381287,0.19234883785247803,0.22991926968097687,0.1879141628742218,0.14532537758350372
devonshire,0.20138908922672272,0.1480938047170639,0.21721245348453522,0.19658209383487701,0.16706396639347076,0.14176997542381287,1.0,0.20835080742835999,0.1812037080526352,0.16926410794258118,0.07247522473335266
hunting,0.21091331541538239,0.28163474798202515,0.25404542684555054,0.24256548285484314,0.2975936233997345,0.19234883785247803,0.20835080742835999,0.9999998807907104,0.3281814754009247,0.29593074321746826,0.1138605922460556
tapestries,0.23872441053390503,0.3411729335784912,0.3046545088291168,0.31190451979637146,0.2850809097290039,0.22991926968097687,0.1812037080526352,0.3281814754009247,0.9999999403953552,0.5171258449554443,0.1611575335264206
",",0.5201468467712402,0.3658004403114319,0.24487493932247162,0.36755475401878357,0.4933079481124878,0.31238991022109985,0.22726620733737946,0.2791766822338104,0.2338220626115799,0.13045038282871246,0.31091248989105225
very,0.3209688663482666,0.46625974774360657,0.22414574027061462,0.3175065517425537,0.34171217679977417,0.2504189610481262,0.1391448974609375,0.2551844120025635,0.2674739956855774,0.2933766841888428,0.20864155888557434
rare,0.20041552186012268,0.299827516078949,0.2263384461402893,0.18973805010318756,0.23127084970474243,0.13662976026535034,0.08565322309732437,0.2677357494831085,0.26310813426971436,0.1648644655942917,0.14820347726345062
15th-century,0.31107988953590393,0.19784416258335114,0.9291477203369141,0.32634392380714417,0.31860220432281494,0.13259820640087128,0.2554054856300354,0.262052983045578,0.3186954855918884,0.2729471027851105,0.09978894144296646
tapestries,0.23872441053390503,0.3411729335784912,0.3046545088291168,0.31190451979637146,0.2850809097290039,0.22991926968097687,0.1812037080526352,0.3281814754009247,0.9999999403953552,0.5171258449554443,0.1611575335264206
",",0.5201468467712402,0.3658004403114319,0.24487493932247162,0.36755475401878357,0.4933079481124878,0.31238991022109985,0.22726620733737946,0.2791766822338104,0.2338220626115799,0.13045038282871246,0.31091248989105225
woven,0.15328189730644226,0.3077365458011627,0.24926701188087463,0.2039099633693695,0.2016974836587906,0.1879141628742218,0.16926410794258118,0.29593074321746826,0.5171258449554443,1.0000001192092896,0.14438338577747345
in,1.0,0.4840516746044159,0.3174034655094147,0.3815755248069763,0.6662389636039734,0.3085027039051056,0.20138908922672272,0.21091331541538239,0.23872441053390503,0.15328189730644226,0.20430970191955566
the,0.6662389636039734,0.6521818041801453,0.3617299497127533,0.3906462490558624,1.0,0.40344667434692383,0.16706396639347076,0.2975936233997345,0.2850809097290039,0.2016974836587906,0.22068053483963013
netherlands,0.28237903118133545,0.20309802889823914,0.18411196768283844,0.18124517798423767,0.2279868870973587,0.13114510476589203,0.22792205214500427,0.1704232394695282,0.2415500283241272,0.1988568902015686,0.09310898929834366
",",0.5201468467712402,0.3658004403114319,0.24487493932247162,0.36755475401878357,0.4933079481124878,0.31238991022109985,0.22726620733737946,0.2791766822338104,0.2338220626115799,0.13045038282871246,0.31091248989105225
depicting,0.18864300847053528,0.2644858658313751,0.31158700585365295,0.21506856381893158,0.29021337628364563,0.1711713969707489,0.18015141785144806,0.27423208951950073,0.42935696244239807,0.2845672070980072,0.09648919850587845
the,0.6662389636039734,0.6521818041801453,0.3617299497127533,0.3906462490558624,1.0,0.40344667434692383,0.16706396639347076,0.2975936233997345,0.2850809097290039,0.2016974836587906,0.22068053483963013
hunting,0.21091331541538239,0.28163474798202515,0.25404542684555054,0.24256548285484314,0.2975936233997345,0.19234883785247803,0.20835080742835999,0.9999998807907104,0.3281814754009247,0.29593074321746826,0.1138605922460556
of,0.5696388483047485,0.5011631846427917,0.2826060354709625,0.34038281440734863,0.733189046382904,0.36293646693229675,0.18575336039066315,0.23968064785003662,0.2834693491458893,0.19261863827705383,0.1826142966747284
various,0.266343355178833,0.42230772972106934,0.22588442265987396,0.34943774342536926,0.3235042691230774,0.3319087624549866,0.17262370884418488,0.26843687891960144,0.2906154692173004,0.30219584703445435,0.12823495268821716
animals,0.26300355792045593,0.34123191237449646,0.1640952080488205,0.2710593342781067,0.2939487397670746,0.1834379881620407,0.19099117815494537,0.44804510474205017,0.3350594639778137,0.29216814041137695,0.16430135071277618
;,0.092739537358284,-0.01244901679456234,0.05666763335466385,0.14040996134281158,0.09152708947658539,0.02512105368077755,0.08790859580039978,0.02452435903251171,0.02955389767885208,0.04944387823343277,0.10349778085947037
not,0.3403114080429077,0.46766895055770874,0.17249023914337158,0.33318549394607544,0.4310511648654938,0.20821955800056458,0.1313306987285614,0.2406625747680664,0.26449793577194214,0.24634800851345062,0.41942933201789856
