,what,is,the,guidebook,for,local,churches,and,pastors,?
the,0.42745697498321533,0.5823672413825989,1.0,0.20335353910923004,0.4739971458911896,0.2130540907382965,0.2626241147518158,0.5171257257461548,0.1971966028213501,0.22068053483963013
book,0.2872225046157837,0.21808475255966187,0.2652374505996704,0.5007315278053284,0.22091296315193176,0.06605985760688782,0.17369626462459564,0.28024056553840637,0.21348610520362854,0.20572158694267273
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.20849184691905975,0.4185989499092102,0.20668989419937134,0.29080384969711304,0.5116966962814331,0.22573843598365784,0.1826142966747284
discipline,0.2522185742855072,0.13422119617462158,0.1981438249349594,0.2290201634168625,0.23497483134269714,0.1252892017364502,0.23464344441890717,0.22925299406051636,0.21768149733543396,0.06836310029029846
is,0.28837618231773376,1.0,0.5823672413825989,0.1349163055419922,0.43268078565597534,0.13173899054527283,0.20715926587581635,0.3859752118587494,0.1068577691912651,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.20335353910923004,0.4739971458911896,0.2130540907382965,0.2626241147518158,0.5171257257461548,0.1971966028213501,0.22068053483963013
guidebook,0.29977965354919434,0.1349163055419922,0.20335353910923004,1.0,0.23381207883358002,0.21548542380332947,0.1615312546491623,0.1823791265487671,0.16278725862503052,0.2505612075328827
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.23381207883358002,0.9999999403953552,0.23619583249092102,0.18980154395103455,0.5064792633056641,0.21625728905200958,0.264628142118454
local,0.18981902301311493,0.13173899054527283,0.2130540907382965,0.21548542380332947,0.23619583249092102,1.0,0.2413250207901001,0.2468787580728531,0.1923130750656128,0.15022775530815125
churches,0.17877253890037537,0.20715926587581635,0.2626241147518158,0.1615312546491623,0.18980154395103455,0.2413250207901001,1.0000001192092896,0.27674582600593567,0.48149728775024414,0.19824735820293427
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.1823791265487671,0.5064792633056641,0.2468787580728531,0.27674582600593567,1.0,0.22662010788917542,0.20544172823429108
pastors,0.2295304387807846,0.1068577691912651,0.1971966028213501,0.16278725862503052,0.21625728905200958,0.1923130750656128,0.48149728775024414,0.22662010788917542,1.0000001192092896,0.17702129483222961
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.1823791265487671,0.5064792633056641,0.2468787580728531,0.27674582600593567,1.0,0.22662010788917542,0.20544172823429108
describes,0.28796884417533875,0.33745625615119934,0.30593109130859375,0.2683669924736023,0.27102306485176086,0.10413552075624466,0.19827966392040253,0.24532921612262726,0.14827004075050354,0.13134142756462097
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.154184490442276,0.4322226941585541,0.2223825752735138,0.2825169265270233,0.4954058527946472,0.20203432440757751,0.20430970191955566
considerable,0.23370833694934845,0.23809988796710968,0.34121429920196533,0.1464797407388687,0.30319225788116455,0.13315880298614502,0.1739462912082672,0.3776419460773468,0.2069033682346344,0.13223446905612946
detail,0.3660587966442108,0.17317143082618713,0.25956255197525024,0.28943300247192383,0.20328432321548462,0.08791045099496841,0.16430918872356415,0.23516035079956055,0.11272166669368744,0.25387880206108093
the,0.42745697498321533,0.5823672413825989,1.0,0.20335353910923004,0.4739971458911896,0.2130540907382965,0.2626241147518158,0.5171257257461548,0.1971966028213501,0.22068053483963013
organizational,0.22883515059947968,0.20280693471431732,0.277529239654541,0.24258364737033844,0.34990793466567993,0.20882169902324677,0.2713373303413391,0.27115875482559204,0.2152225822210312,0.21536388993263245
structure,0.27351704239845276,0.26677995920181274,0.2933249771595001,0.15233029425144196,0.17053212225437164,0.16180454194545746,0.2077137678861618,0.24419280886650085,0.03830251097679138,0.1770772784948349
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.20849184691905975,0.4185989499092102,0.20668989419937134,0.29080384969711304,0.5116966962814331,0.22573843598365784,0.1826142966747284
local,0.18981902301311493,0.13173899054527283,0.2130540907382965,0.21548542380332947,0.23619583249092102,1.0,0.2413250207901001,0.2468787580728531,0.1923130750656128,0.15022775530815125
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.15091831982135773,0.30487096309661865,0.13152821362018585,0.24439866840839386,0.28213179111480713,0.20296211540699005,0.17266890406608582
methodist,0.17637217044830322,0.14683330059051514,0.21922016143798828,0.13860368728637695,0.1716444343328476,0.1888398975133896,0.5514780282974243,0.2376793771982193,0.44685056805610657,0.1436992734670639
churches,0.17877253890037537,0.20715926587581635,0.2626241147518158,0.1615312546491623,0.18980154395103455,0.2413250207901001,1.0000001192092896,0.27674582600593567,0.48149728775024414,0.19824735820293427
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22829166054725647,0.4726039469242096,0.26217252016067505,0.28599661588668823,0.588965117931366,0.19854140281677246,0.4130953550338745
