,what,country,did,the,rhine,continue,to,rise,during,the,holocene,?
as,0.31749409437179565,0.2241005152463913,0.3596470057964325,0.48381632566452026,0.18380387127399445,0.3060818910598755,0.42092081904411316,0.19899694621562958,0.29671990871429443,0.48381632566452026,0.16652816534042358,0.27043893933296204
sea-level,0.23725837469100952,0.19633625447750092,0.1535646915435791,0.30006691813468933,0.22782282531261444,0.15858198702335358,0.2907949388027191,0.21058112382888794,0.13820327818393707,0.30006691813468933,0.22159256041049957,0.2430570423603058
continued,0.17878234386444092,0.23943403363227844,0.4863187372684479,0.29953038692474365,0.18186819553375244,0.6475976705551147,0.33327484130859375,0.17943504452705383,0.3915182054042816,0.29953038692474365,0.17496229708194733,0.10404038429260254
to,0.455847829580307,0.31281599402427673,0.4452643394470215,0.535392165184021,0.1736302673816681,0.4441169500350952,1.0,0.23256368935108185,0.2828781306743622,0.535392165184021,0.17239795625209808,0.29463258385658264
rise,0.23887591063976288,0.1554761379957199,0.16756875813007355,0.3404741883277893,0.14898693561553955,0.2809232175350189,0.23256368935108185,1.0,0.1958993524312973,0.3404741883277893,0.24440743029117584,0.10799103230237961
in,0.30808621644973755,0.3040012717247009,0.2593238651752472,0.6662389636039734,0.24648422002792358,0.249076247215271,0.45010748505592346,0.1934409737586975,0.4627237319946289,0.6662389636039734,0.21227410435676575,0.20430970191955566
the,0.42745697498321533,0.30432501435279846,0.34736719727516174,1.0,0.30735138058662415,0.28966447710990906,0.535392165184021,0.3404741883277893,0.4838213622570038,1.0,0.26600971817970276,0.22068053483963013
netherlands,0.14059674739837646,0.30645281076431274,0.14505378901958466,0.2279868870973587,0.3712500035762787,0.08763158321380615,0.18099384009838104,0.10130801796913147,0.18983927369117737,0.2279868870973587,0.17165058851242065,0.09310898929834366
",",0.3087472915649414,0.27878350019454956,0.3015086054801941,0.4933079481124878,0.167837992310524,0.3163892924785614,0.44245919585227966,0.2350703477859497,0.3225448727607727,0.4933079481124878,0.21509388089179993,0.31091248989105225
the,0.42745697498321533,0.30432501435279846,0.34736719727516174,1.0,0.30735138058662415,0.28966447710990906,0.535392165184021,0.3404741883277893,0.4838213622570038,1.0,0.26600971817970276,0.22068053483963013
formation,0.16291823983192444,0.08668095618486404,0.1121787428855896,0.33687281608581543,0.13757474720478058,0.15861698985099792,0.21429739892482758,0.24645046889781952,0.24706533551216125,0.33687281608581543,0.38591644167900085,0.09831923991441727
of,0.33290785551071167,0.28866857290267944,0.2513895630836487,0.733189046382904,0.2548927664756775,0.19578875601291656,0.41548454761505127,0.2733727991580963,0.3869180977344513,0.733189046382904,0.2029341608285904,0.1826142966747284
the,0.42745697498321533,0.30432501435279846,0.34736719727516174,1.0,0.30735138058662415,0.28966447710990906,0.535392165184021,0.3404741883277893,0.4838213622570038,1.0,0.26600971817970276,0.22068053483963013
holocene,0.23407290875911713,0.07664138823747635,0.1815931648015976,0.26600971817970276,0.13635079562664032,0.1568329781293869,0.17239795625209808,0.24440743029117584,0.3252393901348114,0.26600971817970276,0.9999999403953552,0.179432213306427
rhine-meuse,0.20504072308540344,0.26357361674308777,0.17756794393062592,0.3420952260494232,0.8548094034194946,0.1869669258594513,0.22549989819526672,0.15013964474201202,0.20069558918476105,0.3420952260494232,0.21640822291374207,0.23498749732971191
delta,0.11423289775848389,0.22839273512363434,0.15312695503234863,0.22022446990013123,0.21930839121341705,0.16297629475593567,0.16459326446056366,0.09681081771850586,0.17221574485301971,0.22022446990013123,0.18011483550071716,0.14208948612213135
began,0.1665823757648468,0.17302623391151428,0.4415510594844818,0.3059147596359253,0.14638063311576843,0.41910991072654724,0.2731419503688812,0.19378511607646942,0.44479745626449585,0.3059147596359253,0.19777977466583252,0.1370266228914261
(,0.2411840260028839,0.1820623129606247,0.18979617953300476,0.33289089798927307,0.12381801009178162,0.15426604449748993,0.30882009863853455,0.1435801088809967,0.2139192670583725,0.33289089798927307,0.2268684357404709,0.40561532974243164
"~8,000",0.12009554356336594,0.053464554250240326,0.10726077109575272,0.13470330834388733,0.1926029920578003,0.08276510238647461,0.10329294204711914,0.015003505162894726,-0.006396824028342962,0.13470330834388733,0.0580381341278553,0.18587525188922882
years,0.1981470286846161,0.20189806818962097,0.2695724070072174,0.2912273406982422,0.18521612882614136,0.2622365951538086,0.23891852796077728,0.13294683396816254,0.39110565185546875,0.2912273406982422,0.34953978657722473,0.1914375126361847
ago,0.30667418241500854,0.10124807804822922,0.19972491264343262,0.23063679039478302,0.1324431449174881,0.2159120887517929,0.2610180675983429,0.18333159387111664,0.2538875341415405,0.23063679039478302,0.5287450551986694,0.2202194780111313
),0.26259949803352356,0.18773311376571655,0.18584993481636047,0.3456730246543884,0.12686386704444885,0.16849669814109802,0.31236231327056885,0.15284043550491333,0.23182427883148193,0.3456730246543884,0.2090638428926468,0.42300865054130554
.,0.3567904531955719,0.26130348443984985,0.35288307070732117,0.5934505462646484,0.2089352011680603,0.2855175733566284,0.4645031690597534,0.1888146847486496,0.3485563397407532,0.5934505462646484,0.22718346118927002,0.4130953550338745
