,what,other,invention,of,tesla,'s,did,westinghouse,license,?
his,0.26976513862609863,0.23453344404697418,0.2445983588695526,0.38364991545677185,0.1580733060836792,0.047556519508361816,0.3546801507472992,0.2343376725912094,0.1586305797100067,0.18075084686279297
patented,0.1101711094379425,0.16068391501903534,0.5432865619659424,0.140389084815979,0.35220110416412354,-0.001778545556589961,0.17659124732017517,0.36653703451156616,0.27114564180374146,0.08803384751081467
ac,0.12080251425504684,0.08161826431751251,0.1446538269519806,0.09591341018676758,0.31766265630722046,0.040544040501117706,0.08334841579198837,0.2760004699230194,0.1475817710161209,0.19071458280086517
induction,0.21248550713062286,0.15301048755645752,0.38935232162475586,0.273759663105011,0.3487966060638428,-0.0047057378105819225,0.09851984679698944,0.3256383240222931,0.2045593112707138,0.1510571390390396
motor,0.18952611088752747,0.17381270229816437,0.2738558351993561,0.20839329063892365,0.3617369830608368,0.061700910329818726,0.13840025663375854,0.3054238557815552,0.1932903230190277,0.0637441948056221
and,0.31309178471565247,0.5504306554794312,0.1476679891347885,0.5116966962814331,0.19560420513153076,0.06895173341035843,0.34479495882987976,0.2865493595600128,0.17496050894260406,0.20544172823429108
transformer,0.16914811730384827,0.1551191806793213,0.2708115875720978,0.2702288031578064,0.2919376790523529,0.007934041321277618,0.05910522863268852,0.3070892095565796,0.14150086045265198,0.10542736202478409
were,0.22298263013362885,0.4041554927825928,0.18454810976982117,0.34038281440734863,0.1222306564450264,0.007088581565767527,0.4162326455116272,0.22928190231323242,0.1352533996105194,0.17890112102031708
licensed,0.17758744955062866,0.26453080773353577,0.2065160870552063,0.14828701317310333,0.18274587392807007,0.008437035605311394,0.24876350164413452,0.3417242169380188,0.8737305402755737,0.16613826155662537
by,0.2455483376979828,0.3321913778781891,0.17679738998413086,0.3646814823150635,0.16513796150684357,-0.010884488001465797,0.18574509024620056,0.2823614776134491,0.1615428477525711,0.17966607213020325
george,0.22000353038311005,0.168721541762352,0.16683591902256012,0.22097964584827423,0.1784614771604538,-0.019076833501458168,0.238631471991539,0.3706516921520233,0.1392139047384262,0.1479024887084961
westinghouse,0.16126319766044617,0.22306272387504578,0.3182734251022339,0.28119996190071106,0.35764777660369873,-0.008012998849153519,0.1608617752790451,0.9999999403953552,0.24235700070858002,0.17307911813259125
",",0.3087472915649414,0.4446498453617096,0.20097169280052185,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3015086054801941,0.277236670255661,0.1872958391904831,0.31091248989105225
who,0.40942975878715515,0.3612329661846161,0.2386685460805893,0.2827862501144409,0.1520961970090866,0.05599616840481758,0.34038686752319336,0.23585543036460876,0.21833060681819916,0.26220351457595825
also,0.42747777700424194,0.5326101183891296,0.2273571938276291,0.4924938678741455,0.16213464736938477,-0.0014726108638569713,0.39334940910339355,0.2848412096500397,0.22863291203975677,0.21848613023757935
hired,0.12430620938539505,0.16829811036586761,0.17056283354759216,0.10122424364089966,0.15152283012866974,-0.030750012025237083,0.368927001953125,0.3047245144844055,0.2002471387386322,0.1434362679719925
tesla,0.23221199214458466,0.11896419525146484,0.31912633776664734,0.18837453424930573,0.9999999403953552,0.06449045985937119,0.09757418930530548,0.35764777660369873,0.16465908288955688,0.10250775516033173
for,0.3017193675041199,0.3273986279964447,0.25983884930610657,0.4185989499092102,0.13983871042728424,-0.07241261005401611,0.318512886762619,0.25690075755119324,0.19358643889427185,0.264628142118454
a,0.3320399522781372,0.2806335389614105,0.2853478789329529,0.5052502155303955,0.2211925983428955,0.04866964742541313,0.2552328109741211,0.25513118505477905,0.16238512098789215,0.23916715383529663
short,0.19211500883102417,0.2120179533958435,0.13886219263076782,0.2761780321598053,0.1497827023267746,0.08013956993818283,0.2026156783103943,0.1495543122291565,0.15111981332302094,0.16194626688957214
time,0.36319252848625183,0.32153698801994324,0.20143386721611023,0.35127586126327515,0.14928559958934784,0.01301188487559557,0.3567926585674286,0.18129684031009674,0.15704740583896637,0.27391523122787476
as,0.31749409437179565,0.42805421352386475,0.23102346062660217,0.3886612355709076,0.10285310447216034,-0.05775856226682663,0.3596470057964325,0.2717971205711365,0.2172205001115799,0.27043893933296204
a,0.3320399522781372,0.2806335389614105,0.2853478789329529,0.5052502155303955,0.2211925983428955,0.04866964742541313,0.2552328109741211,0.25513118505477905,0.16238512098789215,0.23916715383529663
consultant,0.18970462679862976,0.19661979377269745,0.2761343717575073,0.22485356032848358,0.2050866335630417,0.04430541768670082,0.19887076318264008,0.3461652100086212,0.24388782680034637,0.1217312291264534
.,0.3567904531955719,0.41511186957359314,0.21128083765506744,0.5352458953857422,0.17949827015399933,-0.003708066651597619,0.35288307070732117,0.3097001910209656,0.19337931275367737,0.4130953550338745
