,how,many,square,kilometers,of,rainforest,is,covered,in,the,basin,?
this,0.45272302627563477,0.43532639741897583,0.14187133312225342,0.17272572219371796,0.45148900151252747,0.23467609286308289,0.480927973985672,0.3048153519630432,0.45205554366111755,0.6274310946464539,0.16637787222862244,0.3155723512172699
basin,0.08796394616365433,0.14774000644683838,0.25228849053382874,0.3542220890522003,0.2557278275489807,0.4187982678413391,0.2273138016462326,0.2504090368747711,0.22316701710224152,0.24553915858268738,1.0,0.14685653150081635
encompasses,0.25015243887901306,0.2706817090511322,0.15507641434669495,0.24422010779380798,0.4035385251045227,0.2520952820777893,0.3127783238887787,0.2539253830909729,0.29080134630203247,0.31387796998023987,0.25705036520957947,0.16302801668643951
"7,000,000",0.08249156922101974,0.048968877643346786,0.07524755597114563,-0.022698046639561653,0.2094060778617859,-0.051481131464242935,0.16649794578552246,0.06610161066055298,0.1777539998292923,0.21333098411560059,-0.0990370437502861,0.03604179993271828
square,0.0836852416396141,0.2124457061290741,1.0,0.46190181374549866,0.2585134208202362,0.23421312868595123,0.2405121773481369,0.22104860842227936,0.2193731665611267,0.2809545397758484,0.25228849053382874,0.1201515942811966
kilometres,0.09419187903404236,0.1809600293636322,0.4683553874492645,0.8820817470550537,0.2594377398490906,0.3478793501853943,0.2581603229045868,0.22731752693653107,0.2448771744966507,0.26219841837882996,0.3554359972476959,0.09185487031936646
(,0.1676948219537735,0.1455259770154953,0.16847030818462372,0.1371249556541443,0.35032153129577637,0.16459959745407104,0.35393038392066956,0.1960790902376175,0.3087427020072937,0.33289089798927307,0.19185028970241547,0.40561532974243164
"2,700,000",0.23054200410842896,0.08436423540115356,0.05272853001952171,-0.0046857623383402824,0.24863706529140472,-0.024474939331412315,0.2034149318933487,-0.00018913098028860986,0.17962923645973206,0.2952874004840851,-0.04041814059019089,0.10398692637681961
sq,0.10252654552459717,0.09845415502786636,0.4999557435512543,0.46831628680229187,0.21430401504039764,0.26692429184913635,0.23199144005775452,0.28279417753219604,0.12230025231838226,0.18837253749370575,0.3309789001941681,0.18786261975765228
mi,0.0639447420835495,0.09143856912851334,0.3216154873371124,0.41710782051086426,0.13784633576869965,0.21727389097213745,0.17681920528411865,0.12585775554180145,0.09127891063690186,0.12998802959918976,0.2656989097595215,0.10264865309000015
),0.17939934134483337,0.16602720320224762,0.1760134994983673,0.16562522947788239,0.3680361211299896,0.16588199138641357,0.37732169032096863,0.17703554034233093,0.3326910734176636,0.3456730246543884,0.20293669402599335,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.2723195254802704,0.24683520197868347,0.4946078956127167,0.2737860679626465,0.4691906273365021,0.30773067474365234,0.5201468467712402,0.4933079481124878,0.25865232944488525,0.31091248989105225
of,0.2480744868516922,0.37253960967063904,0.2585134208202362,0.26878124475479126,1.0,0.22522282600402832,0.4854315221309662,0.28798651695251465,0.5696388483047485,0.733189046382904,0.2557278275489807,0.1826142966747284
which,0.4852597713470459,0.5168171525001526,0.20585282146930695,0.27728748321533203,0.5011631846427917,0.2796969711780548,0.4457404911518097,0.3525405526161194,0.4840516746044159,0.6521818041801453,0.24229559302330017,0.25814583897590637
"5,500,000",0.16298940777778625,0.10569936782121658,0.15816359221935272,0.12765127420425415,0.28301095962524414,0.03810662403702736,0.18376189470291138,0.057766761630773544,0.22613520920276642,0.2551804482936859,0.09336855262517929,0.05729814991354942
square,0.0836852416396141,0.2124457061290741,1.0,0.46190181374549866,0.2585134208202362,0.23421312868595123,0.2405121773481369,0.22104860842227936,0.2193731665611267,0.2809545397758484,0.25228849053382874,0.1201515942811966
kilometres,0.09419187903404236,0.1809600293636322,0.4683553874492645,0.8820817470550537,0.2594377398490906,0.3478793501853943,0.2581603229045868,0.22731752693653107,0.2448771744966507,0.26219841837882996,0.3554359972476959,0.09185487031936646
(,0.1676948219537735,0.1455259770154953,0.16847030818462372,0.1371249556541443,0.35032153129577637,0.16459959745407104,0.35393038392066956,0.1960790902376175,0.3087427020072937,0.33289089798927307,0.19185028970241547,0.40561532974243164
"2,100,000",0.06217952072620392,-0.015705429017543793,0.0960652157664299,0.03501276299357414,0.2276293933391571,0.014175173826515675,0.20539604127407074,-0.005284399259835482,0.13858424127101898,0.20104843378067017,0.0626952275633812,0.05887901782989502
sq,0.10252654552459717,0.09845415502786636,0.4999557435512543,0.46831628680229187,0.21430401504039764,0.26692429184913635,0.23199144005775452,0.28279417753219604,0.12230025231838226,0.18837253749370575,0.3309789001941681,0.18786261975765228
mi,0.0639447420835495,0.09143856912851334,0.3216154873371124,0.41710782051086426,0.13784633576869965,0.21727389097213745,0.17681920528411865,0.12585775554180145,0.09127891063690186,0.12998802959918976,0.2656989097595215,0.10264865309000015
),0.17939934134483337,0.16602720320224762,0.1760134994983673,0.16562522947788239,0.3680361211299896,0.16588199138641357,0.37732169032096863,0.17703554034233093,0.3326910734176636,0.3456730246543884,0.20293669402599335,0.42300865054130554
are,0.311818927526474,0.5655534863471985,0.18786215782165527,0.22391699254512787,0.39081433415412903,0.2730858027935028,0.5330929756164551,0.2738212049007416,0.3841303884983063,0.40399202704429626,0.13584861159324646,0.24591213464736938
covered,0.15735739469528198,0.3388194143772125,0.22104860842227936,0.2464185357093811,0.28798651695251465,0.31550243496894836,0.2292746752500534,1.0,0.27591216564178467,0.3132939636707306,0.2504090368747711,0.139833465218544
by,0.34370526671409607,0.3409687578678131,0.20503279566764832,0.14866861701011658,0.3646814823150635,0.16387821733951569,0.3899846076965332,0.2547268867492676,0.370934396982193,0.4408751428127289,0.19840280711650848,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.3189322352409363,0.733189046382904,0.2571161389350891,0.5823672413825989,0.3132939636707306,0.6662389636039734,1.0,0.24553915858268738,0.22068053483963013
