,what,company,owned,nbc,in,the,1930s,?
the,0.42745697498321533,0.26591673493385315,0.1999378502368927,0.20618264377117157,0.6662389636039734,1.0,0.07268565893173218,0.22068053483963013
last,0.23175878822803497,0.09456851333379745,0.191806823015213,0.20552395284175873,0.30714505910873413,0.3698786795139313,0.011010720394551754,0.22371746599674225
was,0.22111038863658905,0.2293137013912201,0.28269392251968384,0.251334547996521,0.45514053106307983,0.48711544275283813,0.04754025116562843,0.18412111699581146
owned,0.12432919442653656,0.48909151554107666,1.0000001192092896,0.23787564039230347,0.22438469529151917,0.1999378502368927,0.0034094236325472593,0.1288648396730423
by,0.2455483376979828,0.22328482568264008,0.321108877658844,0.16605262458324432,0.370934396982193,0.4408751428127289,0.1306881606578827,0.17966607213020325
electronics,0.21648293733596802,0.37229564785957336,0.2889271080493927,0.11925250291824341,0.19149616360664368,0.21422520279884338,-0.054985832422971725,0.10713831335306168
manufacturer,0.13465645909309387,0.5423061847686768,0.34119537472724915,0.1063813641667366,0.15855246782302856,0.18454907834529877,-0.09307731688022614,0.11731472611427307
radio,0.16863368451595306,0.13528293371200562,0.14438405632972717,0.40396854281425476,0.22625693678855896,0.23511973023414612,0.04409324377775192,0.08763375133275986
corporation,0.1715448498725891,0.6250214576721191,0.5000171661376953,0.27782195806503296,0.16382643580436707,0.26837587356567383,-0.03073926270008087,0.13731837272644043
of,0.33290785551071167,0.20467796921730042,0.17190153896808624,0.12012486904859543,0.5696388483047485,0.733189046382904,0.13420629501342773,0.1826142966747284
america,0.2517423629760742,0.18648169934749603,0.1745758056640625,0.283139169216156,0.3098583221435547,0.37090015411376953,-0.016431136056780815,0.19333907961845398
(,0.2411840260028839,0.13179703056812286,0.12338872253894806,0.19500088691711426,0.3087427020072937,0.33289089798927307,0.04118366912007332,0.40561532974243164
rca,0.14200295507907867,0.262195885181427,0.21219730377197266,0.28461092710494995,0.1138772964477539,0.12673714756965637,0.024338221177458763,0.07305777072906494
),0.26259949803352356,0.14284300804138184,0.11753567308187485,0.17523308098316193,0.3326910734176636,0.3456730246543884,0.033104464411735535,0.42300865054130554
",",0.3087472915649414,0.2697763442993164,0.21168820559978485,0.17508727312088013,0.5201468467712402,0.4933079481124878,0.0720721036195755,0.31091248989105225
which,0.5261979103088379,0.25990763306617737,0.23229040205478668,0.17917364835739136,0.4840516746044159,0.6521818041801453,0.024638867005705833,0.25814583897590637
owned,0.12432919442653656,0.48909151554107666,1.0000001192092896,0.23787564039230347,0.22438469529151917,0.1999378502368927,0.0034094236325472593,0.1288648396730423
two,0.23363454639911652,0.15919356048107147,0.17071114480495453,0.1470489203929901,0.36463531851768494,0.43858039379119873,0.06233823299407959,0.19645625352859497
radio,0.16863368451595306,0.13528293371200562,0.14438405632972717,0.40396854281425476,0.22625693678855896,0.23511973023414612,0.04409324377775192,0.08763375133275986
networks,0.18279550969600677,0.34266772866249084,0.3114136755466461,0.4329241216182709,0.17525765299797058,0.24705806374549866,-0.017028307542204857,0.17815114557743073
that,0.6297725439071655,0.22723333537578583,0.26197874546051025,0.20609372854232788,0.435920387506485,0.5473989248275757,0.05721525102853775,0.32716336846351624
each,0.3353266417980194,0.1041504442691803,0.12576349079608917,0.17141060531139374,0.30816060304641724,0.470844566822052,0.05331604182720184,0.21173812448978424
ran,0.12850850820541382,0.23771275579929352,0.30061936378479004,0.24365730583667755,0.2376149296760559,0.28357353806495667,0.007286271546036005,0.11304427683353424
different,0.39262300729751587,0.16784438490867615,0.15142574906349182,0.15517009794712067,0.29409363865852356,0.36412742733955383,0.06221341714262962,0.24476227164268494
varieties,0.12239013612270355,0.1311347335577011,0.08405105769634247,0.09935714304447174,0.17078916728496552,0.16112394630908966,0.03945563733577728,0.20348937809467316
of,0.33290785551071167,0.20467796921730042,0.17190153896808624,0.12012486904859543,0.5696388483047485,0.733189046382904,0.13420629501342773,0.1826142966747284
programming,0.22725710272789001,0.16915138065814972,0.17527711391448975,0.3621339499950409,0.17145347595214844,0.17869283258914948,-0.12156994640827179,0.22249025106430054
",",0.3087472915649414,0.2697763442993164,0.21168820559978485,0.17508727312088013,0.5201468467712402,0.4933079481124878,0.0720721036195755,0.31091248989105225
nbc,0.1638578325510025,0.20344661176204681,0.23787564039230347,0.9999999403953552,0.19303210079669952,0.20618264377117157,0.002229324309155345,0.1680917739868164
blue,0.17981211841106415,0.12700426578521729,0.14303545653820038,0.16533015668392181,0.22384510934352875,0.2734997570514679,0.05412836745381355,0.15668673813343048
and,0.31309178471565247,0.23788511753082275,0.2205965667963028,0.1969573199748993,0.4954058527946472,0.5171257257461548,0.11849932372570038,0.20544172823429108
nbc,0.1638578325510025,0.20344661176204681,0.23787564039230347,0.9999999403953552,0.19303210079669952,0.20618264377117157,0.002229324309155345,0.1680917739868164
red,0.16784515976905823,0.13940373063087463,0.12909501791000366,0.06410543620586395,0.18753071129322052,0.2817947566509247,0.00779956066980958,0.1495664119720459
.,0.3567904531955719,0.266353577375412,0.23474757373332977,0.23586274683475494,0.5591574311256409,0.5934505462646484,0.0490267239511013,0.4130953550338745
