,what,can,result,from,disorders,of,the,immune,system,?
disorders,0.272768497467041,0.26714643836021423,0.1940784454345703,0.17579755187034607,1.0000001192092896,0.2104933112859726,0.23239798843860626,0.3924263119697571,0.2879990339279175,0.2264077365398407
of,0.33290785551071167,0.2603091299533844,0.231380432844162,0.4249346852302551,0.2104933112859726,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.1826142966747284
the,0.42745697498321533,0.312528520822525,0.27778977155685425,0.40150508284568787,0.23239798843860626,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.22068053483963013
immune,0.2410416603088379,0.2696937620639801,0.20555342733860016,0.13325795531272888,0.3924263119697571,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.16080476343631744
system,0.23557309806346893,0.25937724113464355,0.21501560509204865,0.22092437744140625,0.2879990339279175,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.15556083619594574
can,0.34502777457237244,1.0,0.2741678059101105,0.2516351342201233,0.26714643836021423,0.2603091299533844,0.312528520822525,0.2696937620639801,0.25937724113464355,0.3226337134838104
result,0.19945499300956726,0.2741678059101105,1.0000001192092896,0.2199978530406952,0.1940784454345703,0.231380432844162,0.27778977155685425,0.20555342733860016,0.21501560509204865,0.17218433320522308
in,0.30808621644973755,0.26527702808380127,0.25670310854911804,0.4274188280105591,0.24260658025741577,0.5696388483047485,0.6662389636039734,0.14682820439338684,0.21978288888931274,0.20430970191955566
autoimmune,0.24827490746974945,0.3498877286911011,0.28946229815483093,0.2110559046268463,0.5776692032814026,0.24011005461215973,0.23308201134204865,0.796642005443573,0.3583897352218628,0.21146810054779053
diseases,0.276649534702301,0.32909324765205383,0.24830655753612518,0.2562292814254761,0.5859153866767883,0.25425323843955994,0.2655201852321625,0.5229466557502747,0.30523961782455444,0.1916700154542923
",",0.3087472915649414,0.3139454126358032,0.23341737687587738,0.39760664105415344,0.2126695066690445,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.31091248989105225
inflammatory,0.23803332448005676,0.35302409529685974,0.27646493911743164,0.1638215035200119,0.537562906742096,0.22032828629016876,0.1926732063293457,0.5238324403762817,0.2662343680858612,0.22783194482326508
diseases,0.276649534702301,0.32909324765205383,0.24830655753612518,0.2562292814254761,0.5859153866767883,0.25425323843955994,0.2655201852321625,0.5229466557502747,0.30523961782455444,0.1916700154542923
and,0.31309178471565247,0.3675691485404968,0.27436327934265137,0.3601827025413513,0.23304784297943115,0.5116966962814331,0.5171257257461548,0.14400269091129303,0.231138214468956,0.20544172823429108
cancer,0.18563735485076904,0.19152073562145233,0.1016911193728447,0.26628193259239197,0.31869763135910034,0.2646093964576721,0.22979216277599335,0.24658890068531036,0.11798395961523056,0.1681862771511078
.,0.3567904531955719,0.35783761739730835,0.31092435121536255,0.41536515951156616,0.22621037065982819,0.5352458953857422,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4130953550338745
