,how,was,scarcity,managed,in,many,countries,?
scarcity,0.316549152135849,0.18162459135055542,1.0,0.18421246111392975,0.29278096556663513,0.32614943385124207,0.29308831691741943,0.23812508583068848
was,0.16678167879581451,1.0000001192092896,0.18162459135055542,0.2671484351158142,0.45514053106307983,0.260356068611145,0.24139733612537384,0.18412111699581146
addressed,0.23961420357227325,0.2112405002117157,0.23052985966205597,0.21655955910682678,0.18254108726978302,0.26981836557388306,0.1773305982351303,0.29576945304870605
by,0.34370526671409607,0.4752357602119446,0.17753024399280548,0.2944294512271881,0.370934396982193,0.3409687578678131,0.2241220921278,0.17966607213020325
rationing,0.31541070342063904,0.22276104986667633,0.40168821811676025,0.07886078208684921,0.20502029359340668,0.2396569401025772,0.19492369890213013,0.27005723118782043
(,0.1676948219537735,0.2980341613292694,0.17518940567970276,0.12697163224220276,0.3087427020072937,0.1455259770154953,0.15407808125019073,0.40561532974243164
as,0.33782753348350525,0.3677520453929901,0.3090474307537079,0.17638055980205536,0.3887844979763031,0.4070141911506653,0.2406298965215683,0.27043893933296204
in,0.2601168751716614,0.45514053106307983,0.29278096556663513,0.28584665060043335,1.0,0.41474202275276184,0.3027990758419037,0.20430970191955566
many,0.4425291419029236,0.260356068611145,0.32614943385124207,0.2075265645980835,0.41474202275276184,0.9999999403953552,0.4298940598964691,0.2124512493610382
countries,0.22695748507976532,0.24139733612537384,0.29308831691741943,0.14617404341697693,0.3027990758419037,0.4298940598964691,0.9999999403953552,0.15128466486930847
),0.17939934134483337,0.3267642855644226,0.17432597279548645,0.1296754777431488,0.3326910734176636,0.16602720320224762,0.15248970687389374,0.42300865054130554
.,0.3287222981452942,0.40146201848983765,0.2681090831756592,0.2603258192539215,0.5591574311256409,0.3974229395389557,0.27938392758369446,0.4130953550338745
