,what,is,partially,responsible,for,weakened,immune,response,in,older,individuals,?
it,0.45803478360176086,0.6328473687171936,0.3310256898403168,0.185812309384346,0.32171204686164856,0.24442844092845917,0.2599244713783264,0.2551266849040985,0.5130809545516968,0.1975802779197693,0.21724200248718262,0.25732165575027466
is,0.28837618231773376,1.0,0.2664160132408142,0.24123810231685638,0.43268078565597534,0.13553640246391296,0.2092347890138626,0.21022158861160278,0.5394441485404968,0.19513072073459625,0.23137153685092926,0.22961433231830597
conjectured,0.24757727980613708,0.24741001427173615,0.20181894302368164,0.13519512116909027,0.15489447116851807,0.1153622418642044,0.20256058871746063,0.1513490527868271,0.2124476134777069,0.17753560841083527,0.21920140087604523,0.2194962203502655
that,0.6297725439071655,0.3995479643344879,0.34490785002708435,0.3398503065109253,0.4137635827064514,0.21406804025173187,0.30237793922424316,0.3606419265270233,0.435920387506485,0.30689194798469543,0.3555488586425781,0.32716336846351624
a,0.3320399522781372,0.658733606338501,0.2519787549972534,0.22119273245334625,0.44038116931915283,0.17274503409862518,0.20466765761375427,0.25924429297447205,0.539380669593811,0.19492490589618683,0.2836177945137024,0.23916715383529663
progressive,0.20924389362335205,0.19127468764781952,0.16652780771255493,0.20043371617794037,0.28119468688964844,0.19700028002262115,0.15292955935001373,0.2916161119937897,0.21065156161785126,0.20129136741161346,0.28043240308761597,0.12022990733385086
decline,0.2257683128118515,0.12723320722579956,0.1423339545726776,0.1551782637834549,0.253497838973999,0.31585562229156494,0.18060025572776794,0.3036775290966034,0.2551143169403076,0.1551397740840912,0.2361520528793335,0.131937175989151
in,0.30808621644973755,0.5394441485404968,0.2404835969209671,0.24309778213500977,0.4322226941585541,0.2205275148153305,0.14682820439338684,0.20744606852531433,1.0,0.21181264519691467,0.22240658104419708,0.20430970191955566
hormone,0.21333132684230804,0.22903338074684143,0.06387607753276825,0.2710284888744354,0.19473476707935333,0.22901244461536407,0.456246018409729,0.34394100308418274,0.19431516528129578,0.14665719866752625,0.26177334785461426,0.1590825915336609
levels,0.21641245484352112,0.2141042947769165,0.20291155576705933,0.2211761623620987,0.24535854160785675,0.21359173953533173,0.21041831374168396,0.19690148532390594,0.2418597936630249,0.11813967674970627,0.35072851181030273,0.1541307419538498
with,0.2464839518070221,0.3250955045223236,0.26516634225845337,0.1930297166109085,0.39140474796295166,0.18854902684688568,0.20084229111671448,0.19723214209079742,0.4080928862094879,0.2654585838317871,0.309203177690506,0.2433311939239502
age,0.1895245760679245,0.17962174117565155,0.1810959130525589,0.06385743618011475,0.23129768669605255,0.1471480280160904,0.10684692114591599,0.045022185891866684,0.30576348304748535,0.38801634311676025,0.21443426609039307,0.16859300434589386
is,0.28837618231773376,1.0,0.2664160132408142,0.24123810231685638,0.43268078565597534,0.13553640246391296,0.2092347890138626,0.21022158861160278,0.5394441485404968,0.19513072073459625,0.23137153685092926,0.22961433231830597
partially,0.24273231625556946,0.2664160132408142,1.0000001192092896,0.17424093186855316,0.18771256506443024,0.23039205372333527,0.15038327872753143,0.13431212306022644,0.2404835969209671,0.21570293605327606,0.3440418839454651,0.10232327878475189
responsible,0.26869386434555054,0.24123810231685638,0.17424093186855316,1.0,0.35061514377593994,0.20910072326660156,0.28016096353530884,0.4319944977760315,0.24309778213500977,0.10239487886428833,0.30807873606681824,0.11367333680391312
for,0.3017193675041199,0.43268078565597534,0.18771256506443024,0.35061514377593994,0.9999999403953552,0.1627531796693802,0.1448224037885666,0.2802165448665619,0.4322226941585541,0.24448262155056,0.2869735360145569,0.264628142118454
weakened,0.17190328240394592,0.13553640246391296,0.23039205372333527,0.20910072326660156,0.1627531796693802,1.0000001192092896,0.3472788333892822,0.30222469568252563,0.2205275148153305,0.18646124005317688,0.13520456850528717,0.10974195599555969
immune,0.2410416603088379,0.2092347890138626,0.15038327872753143,0.28016096353530884,0.1448224037885666,0.3472788333892822,1.0,0.43541768193244934,0.14682820439338684,0.2005833238363266,0.33736175298690796,0.16080476343631744
responses,0.3741379678249359,0.20693311095237732,0.14455752074718475,0.45996177196502686,0.303940087556839,0.27966904640197754,0.4776917099952698,0.8744115233421326,0.1903737336397171,0.14497467875480652,0.3423212468624115,0.23588258028030396
in,0.30808621644973755,0.5394441485404968,0.2404835969209671,0.24309778213500977,0.4322226941585541,0.2205275148153305,0.14682820439338684,0.20744606852531433,1.0,0.21181264519691467,0.22240658104419708,0.20430970191955566
aging,0.14108335971832275,0.18768274784088135,0.1928359568119049,0.3277302086353302,0.31032565236091614,0.22238649427890778,0.34075629711151123,0.2647125720977783,0.22220510244369507,0.2952856123447418,0.3255281448364258,0.048743151128292084
individuals,0.25709760189056396,0.23137153685092926,0.3440418839454651,0.30807873606681824,0.2869735360145569,0.13520456850528717,0.33736175298690796,0.2660185992717743,0.22240658104419708,0.18467600643634796,1.0,0.20243582129478455
.,0.3567904531955719,0.4569662809371948,0.21602149307727814,0.2309054434299469,0.4726039469242096,0.20797550678253174,0.18267881870269775,0.2878446877002716,0.5591574311256409,0.27821221947669983,0.2722686529159546,0.4130953550338745
