,what,was,the,national,viewership,reach,of,abc,in,1958,?
despite,0.1825345903635025,0.3650621473789215,0.3172689974308014,0.17738159000873566,0.31391873955726624,0.25250187516212463,0.33505672216415405,0.12051708251237869,0.27473363280296326,0.029278753325343132,0.14350546896457672
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.1631900668144226,0.1838802993297577,0.14843446016311646,0.32280945777893066,0.16561369597911835,0.2605783939361572,0.06997165828943253,0.19793890416622162
almost,0.2467888444662094,0.2474903166294098,0.3341992199420929,0.13141919672489166,0.21119394898414612,0.19266150891780853,0.3144364058971405,0.13141143321990967,0.3422279357910156,0.026154890656471252,0.1372147500514984
500,-0.08255331963300705,-0.08772836625576019,-0.031206801533699036,-0.0066193933598697186,-0.16703486442565918,0.020107094198465347,-0.027781937271356583,-0.04337446019053459,-0.01686781458556652,-0.10005713254213333,0.05473969131708145
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.16850584745407104,0.2878183126449585,0.18271619081497192,0.19953428208827972,0.061222776770591736,0.19465309381484985,-0.06129305809736252,0.21441808342933655
increase,0.21153631806373596,0.13373249769210815,0.32049667835235596,0.12919001281261444,0.28467854857444763,0.3468989431858063,0.3156060576438904,0.08817001432180405,0.25893163681030273,0.07828143239021301,0.11119163036346436
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.28915393352508545,0.23857662081718445,0.20601192116737366,0.5696388483047485,0.1697147786617279,1.0,0.03953266516327858,0.20430970191955566
advertising,0.2192491590976715,0.23598504066467285,0.2048189342021942,0.18202166259288788,0.31050071120262146,0.11208836734294891,0.1315132975578308,0.1800631880760193,0.1743171364068985,-0.0036088854540139437,0.23602379858493805
revenues,0.16277557611465454,0.20816996693611145,0.2934822142124176,0.17874710261821747,0.4187778830528259,0.1444929987192154,0.3011206090450287,0.20170192420482635,0.23148535192012787,-0.01038912869989872,0.17646004259586334
between,0.2462156116962433,0.24048170447349548,0.39067012071609497,0.17219378054141998,0.18056322634220123,0.24736733734607697,0.3737983703613281,0.07610002905130386,0.41100412607192993,0.022778889164328575,0.12887074053287506
1953,-0.022929862141609192,0.09139815717935562,0.10330186039209366,0.026065176352858543,0.12473970651626587,0.033571042120456696,0.01972707360982895,0.027935892343521118,0.06370333582162857,0.1707249879837036,-0.048926934599876404
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2608908712863922,0.24312646687030792,0.25625354051589966,0.5116966962814331,0.16453155875205994,0.4954058527946472,0.08034233748912811,0.20544172823429108
1958,0.05193012207746506,0.01881168596446514,0.1250157356262207,-0.04491719231009483,-0.03218141198158264,0.09025108814239502,0.11629214137792587,-0.041616421192884445,0.03953266516327858,1.0000001192092896,0.009362862445414066
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23933029174804688,0.2360859364271164,0.2441277652978897,0.4946078956127167,0.2097204476594925,0.5201468467712402,0.04944115877151489,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.32739606499671936,0.30921506881713867,0.31808504462242126,0.733189046382904,0.2068762183189392,0.6662389636039734,0.1250157356262207,0.22068053483963013
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.20803247392177582,0.35839420557022095,0.16611191630363464,0.21800683438777924,0.4295894205570221,0.19496823847293854,-0.010311247780919075,0.17853789031505585
only,0.41415658593177795,0.36249664425849915,0.5497692227363586,0.22544065117835999,0.30055326223373413,0.32708439230918884,0.49632513523101807,0.1885126382112503,0.42992329597473145,0.08407031744718552,0.2767370045185089
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.15170930325984955,0.2675802409648895,0.21661508083343506,0.37755560874938965,0.18355661630630493,0.385026752948761,0.07541956007480621,0.20728366076946259
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.27889734506607056,0.2613753080368042,0.19834883511066437,0.5052502155303955,0.21331243216991425,0.539380669593811,0.2913905084133148,0.23916715383529663
national,0.16882304847240448,0.2433898150920868,0.32739606499671936,1.0000001192092896,0.24282006919384003,0.11598901450634003,0.3314673602581024,0.17058564722537994,0.28915393352508545,-0.04491719231009483,0.15643028914928436
reach,0.23399507999420166,0.15866006910800934,0.31808504462242126,0.11598901450634003,0.2590238153934479,1.0,0.20552729070186615,0.05181146413087845,0.20601192116737366,0.09025108814239502,0.13152138888835907
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3314673602581024,0.20606210827827454,0.20552729070186615,1.0,0.14607268571853638,0.5696388483047485,0.11629214137792587,0.1826142966747284
between,0.2462156116962433,0.24048170447349548,0.39067012071609497,0.17219378054141998,0.18056322634220123,0.24736733734607697,0.3737983703613281,0.07610002905130386,0.41100412607192993,0.022778889164328575,0.12887074053287506
10,0.11840458959341049,0.16597506403923035,0.2880653440952301,0.10528154671192169,0.030756723135709763,0.1020406186580658,0.2777891755104065,-0.010600714944303036,0.22690178453922272,-0.11602447181940079,0.022911956533789635
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.16850584745407104,0.2878183126449585,0.18271619081497192,0.19953428208827972,0.061222776770591736,0.19465309381484985,-0.06129305809736252,0.21441808342933655
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2608908712863922,0.24312646687030792,0.25625354051589966,0.5116966962814331,0.16453155875205994,0.4954058527946472,0.08034233748912811,0.20544172823429108
18,-0.09284763038158417,-0.1265212595462799,-0.07796193659305573,0.002030002884566784,-0.09665130823850632,-0.07671768963336945,-0.09725122153759003,-0.021510234102606773,-0.061147160828113556,-0.01868174411356449,-0.04919438064098358
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.16850584745407104,0.2878183126449585,0.18271619081497192,0.19953428208827972,0.061222776770591736,0.19465309381484985,-0.06129305809736252,0.21441808342933655
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3314673602581024,0.20606210827827454,0.20552729070186615,1.0,0.14607268571853638,0.5696388483047485,0.11629214137792587,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.32739606499671936,0.30921506881713867,0.31808504462242126,0.733189046382904,0.2068762183189392,0.6662389636039734,0.1250157356262207,0.22068053483963013
total,0.19850242137908936,0.14069223403930664,0.27068960666656494,0.22882992029190063,0.3310811519622803,0.15939483046531677,0.29045331478118896,0.15866148471832275,0.27667245268821716,-0.05699881911277771,0.14396025240421295
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,-0.037679579108953476,0.09226991981267929,0.022532908245921135,0.011562774889171124,0.042879559099674225,-0.003064807504415512,0.017620837315917015,0.07886100560426712
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,0.20504723489284515,0.3359838128089905,0.16239209473133087,0.3060894012451172,0.1183922067284584,0.3268454372882843,-0.09876693785190582,0.14449454843997955
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23933029174804688,0.2360859364271164,0.2441277652978897,0.4946078956127167,0.2097204476594925,0.5201468467712402,0.04944115877151489,0.31091248989105225
