,when,was,temüjin,elected,khan,of,the,mongols,?
in,0.4431333839893341,0.45514053106307983,0.3433155417442322,0.21190309524536133,0.1527150720357895,0.5696388483047485,0.6662389636039734,0.22694018483161926,0.20430970191955566
1186,0.03626929223537445,0.14480309188365936,0.1622280329465866,0.024183711037039757,0.07474654912948608,0.06941431760787964,0.05545338615775108,0.15979701280593872,0.007748000789433718
",",0.36674630641937256,0.45456063747406006,0.3484273850917816,0.2476319521665573,0.19700400531291962,0.4946078956127167,0.4933079481124878,0.26664721965789795,0.31091248989105225
temüjin,0.38259974122047424,0.38774195313453674,1.0,0.21523359417915344,0.5100751519203186,0.378805011510849,0.43713900446891785,0.6022577881813049,0.21090233325958252
was,0.37326499819755554,1.0000001192092896,0.38774195313453674,0.2710091769695282,0.23483267426490784,0.4069072902202606,0.48711544275283813,0.19519121944904327,0.18412111699581146
elected,0.2156970202922821,0.2710091769695282,0.21523359417915344,0.9999999403953552,0.1635548621416092,0.2767166793346405,0.23167964816093445,0.0816262885928154,0.1966295689344406
khan,0.16355718672275543,0.23483267426490784,0.5100751519203186,0.1635548621416092,1.0,0.17124508321285248,0.21067845821380615,0.5210641026496887,0.12862591445446014
of,0.3757161796092987,0.4069072902202606,0.378805011510849,0.2767166793346405,0.17124508321285248,1.0,0.733189046382904,0.23517343401908875,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.43713900446891785,0.23167964816093445,0.21067845821380615,0.733189046382904,1.0,0.310281366109848,0.22068053483963013
mongols,0.20358523726463318,0.19519121944904327,0.6022577881813049,0.0816262885928154,0.5210641026496887,0.23517343401908875,0.310281366109848,0.9999999403953552,0.11517509818077087
.,0.475719153881073,0.40146201848983765,0.31788840889930725,0.2512674033641815,0.19819748401641846,0.5352458953857422,0.5934505462646484,0.1921418309211731,0.4130953550338745
