,what,was,robert,watson,'s,role,in,the,ipcc,?
former,0.13598288595676422,0.2544213533401489,0.15997916460037231,0.06587288528680801,0.032462362200021744,0.2059355229139328,0.2668642997741699,0.2251449078321457,0.10576511919498444,0.10570605844259262
ipcc,0.33176189661026,0.16744299232959747,0.1547134816646576,0.2717357277870178,0.010160183534026146,0.14771991968154907,0.1257958561182022,0.24925659596920013,1.0000001192092896,0.22295254468917847
chairman,0.07858958840370178,0.2656080424785614,0.14825128018856049,0.1285451203584671,-0.09313603490591049,0.2631986141204834,0.19268719851970673,0.2121211588382721,0.3112654387950897,0.08324678242206573
robert,0.1948658525943756,0.24186499416828156,0.9999999403953552,0.2533748149871826,0.028171386569738388,0.1671748161315918,0.22155319154262543,0.2257954627275467,0.1547134816646576,0.11293095350265503
watson,0.21841923892498016,0.19964107871055603,0.2533748149871826,1.0000001192092896,0.09631109237670898,0.17286069691181183,0.17975008487701416,0.18680743873119354,0.2717357277870178,0.20794717967510223
has,0.20338068902492523,0.40313825011253357,0.13334539532661438,0.21868731081485748,-0.040683966130018234,0.17958451807498932,0.4173259735107422,0.4177538752555847,0.2192763090133667,0.15994466841220856
said,0.3951668441295624,0.43711766600608826,0.15972569584846497,0.2417825311422348,0.02159760519862175,0.24036327004432678,0.23461468517780304,0.3024602234363556,0.308810830116272,0.28991883993148804
``,0.008517155423760414,-0.012679691426455975,-0.011241299100220203,-0.04385596513748169,-0.03416389226913452,0.02487841621041298,0.04765888676047325,0.029072100296616554,-0.017391569912433624,0.0685480609536171
the,0.42745697498321533,0.48711544275283813,0.2257954627275467,0.18680743873119354,-0.01540423184633255,0.26607486605644226,0.6662389636039734,1.0,0.24925659596920013,0.22068053483963013
mistakes,0.3901787996292114,0.18380305171012878,0.07572521269321442,0.24713200330734253,-0.0017865976551547647,0.22874343395233154,0.19027116894721985,0.2581973075866699,0.2545437216758728,0.3399010896682739
all,0.41981086134910583,0.23179835081100464,0.1262793093919754,0.1620648056268692,0.03181743621826172,0.1259048581123352,0.3335905969142914,0.4860881567001343,0.23405908048152924,0.29575422406196594
