,where,might,a,teacher,teach,that,is,not,inside,a,building,?
in,0.5344807505607605,0.26443570852279663,0.539380669593811,0.22632350027561188,0.23312166333198547,0.435920387506485,0.5394441485404968,0.3403114080429077,0.3260733187198639,0.539380669593811,0.3256937265396118,0.20430970191955566
education,0.19163627922534943,0.17907509207725525,0.21779850125312805,0.4505820572376251,0.45552507042884827,0.1599552482366562,0.18778188526630402,0.22298960387706757,0.0497688390314579,0.21779850125312805,0.19986248016357422,0.18067774176597595
",",0.3149496018886566,0.2533247768878937,0.427140474319458,0.2884024977684021,0.22192275524139404,0.4137537479400635,0.4691906273365021,0.3769696354866028,0.2100258767604828,0.427140474319458,0.2374238669872284,0.31091248989105225
teachers,0.21712590754032135,0.24122771620750427,0.2509842813014984,0.7334206104278564,0.672313392162323,0.24071024358272552,0.15701442956924438,0.22176165878772736,0.06237741932272911,0.2509842813014984,0.2180333137512207,0.19522249698638916
facilitate,0.24122697114944458,0.3067611753940582,0.23787109553813934,0.08816186338663101,0.2193293273448944,0.2721606194972992,0.17318834364414215,0.2884771227836609,0.2538049519062042,0.23787109553813934,0.2275005429983139,0.255449503660202
student,0.2537801265716553,0.20252788066864014,0.3207114636898041,0.5754092335700989,0.41430819034576416,0.24464628100395203,0.18911804258823395,0.14400255680084229,0.13326628506183624,0.3207114636898041,0.24316002428531647,0.13282090425491333
learning,0.24860568344593048,0.3036825954914093,0.23662391304969788,0.4099653959274292,0.567774772644043,0.2574402689933777,0.19600103795528412,0.2633654773235321,0.13122114539146423,0.23662391304969788,0.20663617551326752,0.25810256600379944
",",0.3149496018886566,0.2533247768878937,0.427140474319458,0.2884024977684021,0.22192275524139404,0.4137537479400635,0.4691906273365021,0.3769696354866028,0.2100258767604828,0.427140474319458,0.2374238669872284,0.31091248989105225
often,0.4629369378089905,0.46990349888801575,0.3930865228176117,0.14898185431957245,0.2608795166015625,0.43873903155326843,0.3856629431247711,0.42630264163017273,0.3496338129043579,0.3930865228176117,0.18662893772125244,0.23748154938220978
in,0.5344807505607605,0.26443570852279663,0.539380669593811,0.22632350027561188,0.23312166333198547,0.435920387506485,0.5394441485404968,0.3403114080429077,0.3260733187198639,0.539380669593811,0.3256937265396118,0.20430970191955566
a,0.40997210144996643,0.4210625886917114,1.0,0.31202319264411926,0.18608243763446808,0.47537946701049805,0.658733606338501,0.3791346549987793,0.35481444001197815,1.0,0.2576078176498413,0.23916715383529663
school,0.23611775040626526,0.19290851056575775,0.2245093584060669,0.5442529320716858,0.4499453604221344,0.2190830111503601,0.19488026201725006,0.17474853992462158,0.0829005092382431,0.2245093584060669,0.1832478940486908,0.15091250836849213
or,0.3651050925254822,0.534751296043396,0.48853766918182373,0.16473013162612915,0.19306370615959167,0.4729836881160736,0.41870999336242676,0.5119067430496216,0.3619554340839386,0.48853766918182373,0.21519747376441956,0.32389625906944275
academy,0.14799536764621735,0.15976864099502563,0.1969248354434967,0.2952437400817871,0.23776362836360931,0.16088135540485382,0.20938169956207275,0.1306290477514267,0.0841882973909378,0.1969248354434967,0.1571073979139328,0.1340850442647934
or,0.3651050925254822,0.534751296043396,0.48853766918182373,0.16473013162612915,0.19306370615959167,0.4729836881160736,0.41870999336242676,0.5119067430496216,0.3619554340839386,0.48853766918182373,0.21519747376441956,0.32389625906944275
perhaps,0.2762546241283417,0.5022071003913879,0.39144209027290344,0.22807413339614868,0.1688009351491928,0.45720168948173523,0.3232467472553253,0.39503514766693115,0.23002889752388,0.39144209027290344,0.22106032073497772,0.4211712181568146
in,0.5344807505607605,0.26443570852279663,0.539380669593811,0.22632350027561188,0.23312166333198547,0.435920387506485,0.5394441485404968,0.3403114080429077,0.3260733187198639,0.539380669593811,0.3256937265396118,0.20430970191955566
another,0.42079871892929077,0.46996185183525085,0.6191956996917725,0.21179868280887604,0.18928764760494232,0.5273378491401672,0.41278526186943054,0.3786204159259796,0.3182242512702942,0.6191956996917725,0.21426650881767273,0.295511931180954
environment,0.2188536524772644,0.31783056259155273,0.25667375326156616,0.15898065268993378,0.19536711275577545,0.28900691866874695,0.2787531912326813,0.2727338373661041,0.28660112619400024,0.25667375326156616,0.26308509707450867,0.19478057324886322
such,0.3198639750480652,0.39831793308258057,0.2706976532936096,0.174470454454422,0.20702366530895233,0.4479874074459076,0.23545363545417786,0.4058493673801422,0.27601292729377747,0.2706976532936096,0.21135058999061584,0.17851735651493073
as,0.35409465432167053,0.3630484640598297,0.39550232887268066,0.27420735359191895,0.2547597289085388,0.4735107421875,0.43216490745544434,0.5105602741241455,0.24748453497886658,0.39550232887268066,0.23924584686756134,0.27043893933296204
outdoors,0.3127327561378479,0.2724705934524536,0.2264430969953537,0.21553091704845428,0.2244531512260437,0.2679259181022644,0.18879647552967072,0.30306926369667053,0.3460251986980438,0.2264430969953537,0.26609086990356445,0.15352579951286316
.,0.41390106081962585,0.27493223547935486,0.50484299659729,0.225234717130661,0.2642667293548584,0.4460422694683075,0.4569662809371948,0.4824007451534271,0.3128161132335663,0.50484299659729,0.275610089302063,0.4130953550338745
