,who,will,be,the,new,executive,producer,of,doctor,who,in,2018,?
in,0.2792111933231354,0.2580665349960327,0.3481820821762085,0.6662389636039734,0.3758552670478821,0.1878502070903778,0.1708001047372818,0.5696388483047485,0.25567495822906494,0.2792111933231354,1.0,0.15414007008075714,0.20430970191955566
january,0.20979668200016022,0.19195622205734253,0.184214249253273,0.2467057853937149,0.28180065751075745,0.2030029445886612,0.26439255475997925,0.19923388957977295,0.18912185728549957,0.20979668200016022,0.28467586636543274,-0.02004661038517952,0.28608936071395874
2016,0.040347352623939514,0.09071425348520279,0.06743061542510986,0.11571308970451355,0.040458112955093384,-0.11091836541891098,-0.23247866332530975,0.1386374831199646,-0.055056627839803696,0.040347352623939514,0.05308714509010315,0.16110818088054657,-0.12147852033376694
",",0.3365725874900818,0.29706671833992004,0.39254459738731384,0.4933079481124878,0.36073189973831177,0.27674952149391174,0.35589754581451416,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.5201468467712402,0.07612879574298859,0.31091248989105225
moffat,0.38597768545150757,0.2286158800125122,0.19412072002887726,0.3156551420688629,0.2503146231174469,0.3373444378376007,0.43257400393486023,0.2073816955089569,0.3490009605884552,0.38597768545150757,0.2693221867084503,0.20251958072185516,0.18844567239284515
announced,0.11685211956501007,0.32643622159957886,0.18421369791030884,0.2277132272720337,0.2897240221500397,0.25266653299331665,0.16110533475875854,0.22339491546154022,0.09418175369501114,0.11685211956501007,0.2528248429298401,-0.051775991916656494,0.17416009306907654
that,0.45444270968437195,0.4857470989227295,0.6036020517349243,0.5473989248275757,0.29177987575531006,0.2356569468975067,0.19700443744659424,0.41498205065727234,0.2390732765197754,0.45444270968437195,0.435920387506485,0.17258088290691376,0.32716336846351624
he,0.5500732064247131,0.17643459141254425,0.3325980603694916,0.4571082592010498,0.2739552855491638,0.24786782264709473,0.24996842443943024,0.38706058263778687,0.3197924494743347,0.5500732064247131,0.41690486669540405,0.22918780148029327,0.2089974731206894
would,0.3632977604866028,0.7075439691543579,0.5202695727348328,0.4133751392364502,0.30488598346710205,0.19968032836914062,0.16221997141838074,0.3353942930698395,0.16451218724250793,0.3632977604866028,0.30461156368255615,0.16564828157424927,0.37178951501846313
step,0.2452450394630432,0.2367950826883316,0.3035435378551483,0.20505109429359436,0.07758431881666183,0.1196821853518486,0.11503330618143082,0.22579428553581238,0.13142840564250946,0.2452450394630432,0.14272142946720123,0.06846372038125992,0.23299238085746765
down,0.23123176395893097,0.2583003044128418,0.24427638947963715,0.3325848877429962,0.17361775040626526,0.12550565600395203,0.1573009043931961,0.23279321193695068,0.058576345443725586,0.23123176395893097,0.2321847528219223,0.034084439277648926,0.13836295902729034
after,0.32549580931663513,0.2841227948665619,0.32360681891441345,0.4565047025680542,0.2620960772037506,0.14744512736797333,0.13900639116764069,0.3867455720901489,0.1885940581560135,0.32549580931663513,0.44050168991088867,0.1785302758216858,0.16608688235282898
the,0.3733934462070465,0.3635469079017639,0.4248143136501312,1.0,0.3845241069793701,0.2402946650981903,0.20962586998939514,0.733189046382904,0.2820442318916321,0.3733934462070465,0.6662389636039734,0.12160612642765045,0.22068053483963013
2017,0.10381494462490082,0.023079628124833107,0.07194740325212479,0.0993577167391777,0.06098724156618118,0.20717595517635345,0.010212444700300694,0.09162861108779907,0.0006792896310798824,0.10381494462490082,0.1082652136683464,-0.009578344412147999,-0.030370086431503296
finale,0.13502134382724762,0.2232518196105957,0.14737558364868164,0.3004409372806549,0.1508006900548935,0.17942343652248383,0.21270471811294556,0.15842722356319427,0.16471166908740997,0.13502134382724762,0.24661722779273987,0.0014616621192544699,0.1582222729921341
",",0.3365725874900818,0.29706671833992004,0.39254459738731384,0.4933079481124878,0.36073189973831177,0.27674952149391174,0.35589754581451416,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.5201468467712402,0.07612879574298859,0.31091248989105225
to,0.42656609416007996,0.5091033577919006,0.4972836375236511,0.535392165184021,0.33159172534942627,0.20976532995700836,0.16422288119792938,0.41548454761505127,0.22950075566768646,0.42656609416007996,0.45010748505592346,0.23416149616241455,0.29463258385658264
be,0.3371641933917999,0.4925616979598999,1.0,0.4248143136501312,0.22046978771686554,0.185048907995224,0.1491793990135193,0.33904364705085754,0.1729569286108017,0.3371641933917999,0.3481820821762085,0.05911071598529816,0.3324260413646698
replaced,0.1576022207736969,0.23137451708316803,0.2890104055404663,0.2645455598831177,0.19021332263946533,0.16726712882518768,0.1596701741218567,0.20067165791988373,0.0837482437491417,0.1576022207736969,0.2068215310573578,-0.08182466775178909,0.14945141971111298
