,what,were,the,three,parts,of,kublai,'s,government,?
this,0.5489566326141357,0.25469228625297546,0.6274310946464539,0.29207751154899597,0.3312264680862427,0.45148900151252747,0.2806724011898041,0.02106832154095173,0.28444379568099976,0.3155723512172699
government,0.28074538707733154,0.27806493639945984,0.31798112392425537,0.2326040118932724,0.1843869984149933,0.3475167155265808,0.3054119348526001,0.00033092309604398906,1.0000001192092896,0.18851417303085327
adopted,0.1504661738872528,0.23609741032123566,0.23462533950805664,0.2278987616300583,0.13688023388385773,0.25312307476997375,0.24448831379413605,-0.03255033865571022,0.19915498793125153,0.14235380291938782
the,0.42745697498321533,0.3906462490558624,1.0,0.43452659249305725,0.4042440354824066,0.733189046382904,0.32886171340942383,-0.01540423184633255,0.31798112392425537,0.22068053483963013
traditional,0.20066824555397034,0.26198744773864746,0.25703898072242737,0.2227073758840561,0.18379563093185425,0.32287317514419556,0.2169031798839569,0.05243854969739914,0.2621394097805023,0.1327509582042694
chinese,0.11643128097057343,0.22925853729248047,0.2785343527793884,0.12633487582206726,0.09690360724925995,0.24275560677051544,0.38022753596305847,0.01673142798244953,0.28498339653015137,0.20843194425106049
tripartite,0.2369886040687561,0.225645050406456,0.3154682517051697,0.22454801201820374,0.24967235326766968,0.312917560338974,0.3522951900959015,0.09536733478307724,0.2987726926803589,0.09623775631189346
division,0.19144181907176971,0.19424934685230255,0.26203617453575134,0.22216397523880005,0.22045345604419708,0.23579144477844238,0.16830623149871826,-0.006703963968902826,0.1793375313282013,0.08900629729032516
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.3844621181488037,0.3379773199558258,1.0,0.231930211186409,-0.03817026689648628,0.3475167155265808,0.1826142966747284
authority,0.23046736419200897,0.17060819268226624,0.2645063102245331,0.17559947073459625,0.14103558659553528,0.28063252568244934,0.166742742061615,0.019309991970658302,0.46816176176071167,0.18404170870780945
among,0.21154822409152985,0.35641026496887207,0.3507058024406433,0.26337674260139465,0.22869783639907837,0.3679063022136688,0.13360291719436646,0.01186611782759428,0.2070615142583847,0.14343059062957764
civil,0.15091551840305328,0.2641898989677429,0.2477465271949768,0.13412731885910034,0.0957026481628418,0.24698495864868164,0.13813167810440063,-0.06354409456253052,0.30626749992370605,0.1494513899087906
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.3347506821155548,0.2964099943637848,0.4946078956127167,0.2569756805896759,-0.0016132977325469255,0.27344048023223877,0.31091248989105225
