,who,sang,the,national,anthem,?
six-time,0.27098122239112854,0.33901870250701904,0.365296334028244,0.2829841673374176,0.2520275115966797,0.24173711240291595
grammy,0.1755371391773224,0.3957460820674896,0.19602857530117035,0.18846407532691956,0.23692619800567627,0.1939576119184494
winner,0.2246360182762146,0.16817595064640045,0.25965070724487305,0.1814597249031067,0.15567472577095032,0.14322948455810547
and,0.41279885172843933,0.24387723207473755,0.5171257257461548,0.2608908712863922,0.20261578261852264,0.20544172823429108
academy,0.18382731080055237,0.20887748897075653,0.2649388611316681,0.3110312521457672,0.17999127507209778,0.1340850442647934
award,0.20553933084011078,0.2319534420967102,0.24073810875415802,0.23192229866981506,0.17386911809444427,0.18240714073181152
nominee,0.2103489637374878,0.1719115525484085,0.22298216819763184,0.17334584891796112,0.18887969851493835,0.21817171573638916
lady,0.18824069201946259,0.2762836217880249,0.21662424504756927,0.11993757635354996,0.32031533122062683,0.14158371090888977
gaga,0.23114711046218872,0.3057321310043335,0.22846719622612,0.11412747204303741,0.3087579011917114,0.20982980728149414
performed,0.2702884376049042,0.522765576839447,0.239950031042099,0.13351796567440033,0.23832270503044128,0.14428307116031647
the,0.3733934462070465,0.21735124289989471,1.0,0.32739606499671936,0.23423314094543457,0.22068053483963013
national,0.18105065822601318,0.16124887764453888,0.32739606499671936,1.0000001192092896,0.4327479600906372,0.15643028914928436
anthem,0.1762285679578781,0.3712921142578125,0.23423314094543457,0.4327479600906372,1.0,0.17449809610843658
",",0.3365725874900818,0.28015077114105225,0.4933079481124878,0.23933029174804688,0.19868861138820648,0.31091248989105225
while,0.4068111777305603,0.20138318836688995,0.39804592728614807,0.1506514847278595,0.07222045958042145,0.21076419949531555
academy,0.18382731080055237,0.20887748897075653,0.2649388611316681,0.3110312521457672,0.17999127507209778,0.1340850442647934
award,0.20553933084011078,0.2319534420967102,0.24073810875415802,0.23192229866981506,0.17386911809444427,0.18240714073181152
winner,0.2246360182762146,0.16817595064640045,0.25965070724487305,0.1814597249031067,0.15567472577095032,0.14322948455810547
marlee,0.2673153877258301,0.32105228304862976,0.20077396929264069,0.16528815031051636,0.13983865082263947,0.24211622774600983
matlin,0.3349847197532654,0.2629788815975189,0.24170111119747162,0.1705358326435089,0.13953346014022827,0.2595809996128082
provided,0.18789203464984894,0.15113592147827148,0.304488867521286,0.18549714982509613,0.13015370070934296,0.16893617808818817
american,0.3093835413455963,0.2177383303642273,0.24562937021255493,0.24127501249313354,0.12083812057971954,0.18877598643302917
sign,0.15820136666297913,0.11101134866476059,0.22875791788101196,0.2094181478023529,0.2477531135082245,0.21454890072345734
language,0.19501209259033203,0.15282557904720306,0.30198320746421814,0.20917373895645142,0.29626932740211487,0.25349316000938416
(,0.2443375140428543,0.21049952507019043,0.33289089798927307,0.24475820362567902,0.19241563975811005,0.40561532974243164
asl,0.19292864203453064,0.08751488476991653,0.2632366418838501,0.23568250238895416,0.1722346842288971,0.2692483067512512
),0.2457384318113327,0.2134929895401001,0.3456730246543884,0.25379422307014465,0.20883572101593018,0.42300865054130554
translation,0.1680198311805725,0.11968767642974854,0.26402729749679565,0.06608978658914566,0.23067684471607208,0.22574150562286377
.,0.3541337847709656,0.21729664504528046,0.5934505462646484,0.29436907172203064,0.2023264318704605,0.4130953550338745
