,in,the,wake,of,the,abc,and,capital,cities,merger,",",who,was,the,president,of,abc,news,and,abc,sports,?
it,0.5130809545516968,0.6251175999641418,0.19777627289295197,0.38761502504348755,0.6251175999641418,0.17324577271938324,0.40957894921302795,0.27145886421203613,0.2412966936826706,0.26304227113723755,0.48329564929008484,0.2868398427963257,0.4577186405658722,0.6251175999641418,0.20577441155910492,0.38761502504348755,0.17324577271938324,0.1608506441116333,0.40957894921302795,0.17324577271938324,0.1934262365102768,0.25732165575027466
also,0.5073733329772949,0.6021018624305725,0.23381879925727844,0.4924938678741455,0.6021018624305725,0.2030053734779358,0.5755972862243652,0.22019171714782715,0.22708983719348907,0.17490112781524658,0.4717654287815094,0.47919341921806335,0.4032125174999237,0.6021018624305725,0.17705458402633667,0.4924938678741455,0.2030053734779358,0.2372024953365326,0.5755972862243652,0.2030053734779358,0.2572351396083832,0.21848613023757935
initiated,0.22239916026592255,0.2882399260997772,0.13335832953453064,0.2752402126789093,0.2882399260997772,0.1347886025905609,0.22654639184474945,0.10326184332370758,0.08963257074356079,0.20109130442142487,0.20428580045700073,0.23622433841228485,0.2528574764728546,0.2882399260997772,0.22463978826999664,0.2752402126789093,0.1347886025905609,0.14718860387802124,0.22654639184474945,0.1347886025905609,0.06768164783716202,0.16644564270973206
several,0.39405709505081177,0.40559855103492737,0.1456800103187561,0.3271615505218506,0.40559855103492737,0.1428346037864685,0.4663935899734497,0.11598861962556839,0.1921219676733017,0.15732057392597198,0.3402247726917267,0.30628830194473267,0.25396689772605896,0.40559855103492737,0.12589912116527557,0.3271615505218506,0.1428346037864685,0.18142594397068024,0.4663935899734497,0.1428346037864685,0.16384446620941162,0.15595775842666626
changes,0.226434126496315,0.3427845537662506,0.13935743272304535,0.25827232003211975,0.3427845537662506,0.1437690109014511,0.27557092905044556,0.1525052785873413,0.17846666276454926,0.2335892617702484,0.23045918345451355,0.20586563646793365,0.17310309410095215,0.3427845537662506,0.13177801668643951,0.25827232003211975,0.1437690109014511,0.1364508867263794,0.27557092905044556,0.1437690109014511,0.14747968316078186,0.21264225244522095
in,1.0,0.6662389636039734,0.1971532553434372,0.5696388483047485,0.6662389636039734,0.1697147786617279,0.4954058527946472,0.3233928978443146,0.32293570041656494,0.22860760986804962,0.5201468467712402,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.18811661005020142,0.5696388483047485,0.1697147786617279,0.19753123819828033,0.4954058527946472,0.1697147786617279,0.27591386437416077,0.20430970191955566
its,0.3793783485889435,0.559237003326416,0.09140628576278687,0.48690423369407654,0.559237003326416,0.19045390188694,0.3841775357723236,0.2783217430114746,0.2535979151725769,0.18644186854362488,0.33157986402511597,0.1326070874929428,0.3518870174884796,0.559237003326416,0.1704227179288864,0.48690423369407654,0.19045390188694,0.1917582005262375,0.3841775357723236,0.19045390188694,0.1510474979877472,0.15103481709957123
management,0.2783967852592468,0.26673808693885803,0.1886967122554779,0.31602242588996887,0.26673808693885803,0.13873222470283508,0.3066174387931824,0.17150503396987915,0.12475582957267761,0.2089078277349472,0.24724458158016205,0.14967867732048035,0.17849083244800568,0.26673808693885803,0.19430743157863617,0.31602242588996887,0.13873222470283508,0.19151121377944946,0.3066174387931824,0.13873222470283508,0.1930438131093979,0.15866325795650482
:,0.020521078258752823,-0.03403344005346298,-0.09801963716745377,-0.08807745575904846,-0.03403344005346298,-0.06154730170965195,-0.04625999182462692,-0.02328784205019474,0.002675239462405443,-0.0057443892583251,-0.004729332868009806,-0.0025186005514115095,0.002802103292196989,-0.03403344005346298,0.06327061355113983,-0.08807745575904846,-0.06154730170965195,-0.06960687041282654,-0.04625999182462692,-0.06154730170965195,0.1316298246383667,-0.07156077772378922
frederick,0.24440830945968628,0.24321560561656952,0.17895157635211945,0.25539323687553406,0.24321560561656952,0.08191824704408646,0.24556243419647217,0.14673857390880585,0.17520581185817719,0.1362198442220688,0.29222559928894043,0.2823238670825958,0.34635642170906067,0.24321560561656952,0.17365403473377228,0.25539323687553406,0.08191824704408646,0.10715562850236893,0.24556243419647217,0.08191824704408646,0.13470566272735596,0.16359178721904755
