,who,appoints,the,board,of,the,european,central,bank,?
it,0.2868398427963257,0.10991595685482025,0.6251175999641418,0.1697750687599182,0.38761502504348755,0.6251175999641418,0.16905969381332397,0.28471311926841736,0.20640473067760468,0.25732165575027466
has,0.2558172643184662,0.05828876048326492,0.4177538752555847,0.11888641119003296,0.3909035325050354,0.4177538752555847,0.1917828619480133,0.16198159754276276,0.19098228216171265,0.15994466841220856
a,0.36608949303627014,0.16389703750610352,0.5829201340675354,0.17163047194480896,0.5052502155303955,0.5829201340675354,0.2254103124141693,0.26925721764564514,0.22206707298755646,0.23916715383529663
six-person,0.4302183985710144,0.27803581953048706,0.35540708899497986,0.2622508108615875,0.31991907954216003,0.35540708899497986,0.22874778509140015,0.15292304754257202,0.24511608481407166,0.3296404182910919
board,0.15408030152320862,0.24408137798309326,0.2871673107147217,1.0000001192092896,0.23488809168338776,0.2871673107147217,0.1727890968322754,0.2011788785457611,0.24960274994373322,0.1261475533246994
appointed,0.3215055465698242,0.8140092492103577,0.2626524269580841,0.2842697203159332,0.3280673027038574,0.2626524269580841,0.19434641301631927,0.13614964485168457,0.1917499303817749,0.13895352184772491
by,0.39727845788002014,0.24505499005317688,0.4408751428127289,0.15669898688793182,0.3646814823150635,0.4408751428127289,0.17922990024089813,0.14742699265480042,0.1555873453617096,0.17966607213020325
the,0.3733934462070465,0.2540651261806488,1.0,0.2871673107147217,0.733189046382904,1.0,0.3423081040382385,0.3417201042175293,0.3216422498226166,0.22068053483963013
european,0.2314588874578476,0.16411258280277252,0.3423081040382385,0.1727890968322754,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.2503783702850342,0.29014986753463745,0.14560863375663757
council,0.19620807468891144,0.3851257562637329,0.2829204201698303,0.2749166786670685,0.2972237169742584,0.2829204201698303,0.2610081732273102,0.20783263444900513,0.24037444591522217,0.1160062924027443
",",0.3365725874900818,0.2823542356491089,0.4933079481124878,0.25734269618988037,0.4946078956127167,0.4933079481124878,0.19684812426567078,0.2587154507637024,0.2756500244140625,0.31091248989105225
on,0.2340552806854248,0.12705160677433014,0.5107308030128479,0.31186380982398987,0.3966929316520691,0.5107308030128479,0.19710737466812134,0.242094486951828,0.21732264757156372,0.2714994251728058
the,0.3733934462070465,0.2540651261806488,1.0,0.2871673107147217,0.733189046382904,1.0,0.3423081040382385,0.3417201042175293,0.3216422498226166,0.22068053483963013
council,0.19620807468891144,0.3851257562637329,0.2829204201698303,0.2749166786670685,0.2972237169742584,0.2829204201698303,0.2610081732273102,0.20783263444900513,0.24037444591522217,0.1160062924027443
's,0.05599616840481758,0.0006586933159269392,-0.01540423184633255,-0.025999367237091064,-0.03817026689648628,-0.01540423184633255,0.08902547508478165,-0.03171226754784584,0.07716244459152222,-0.023395681753754616
recommendation,0.2321365475654602,0.4261487126350403,0.3159444332122803,0.29568254947662354,0.2956145405769348,0.3159444332122803,0.20446984469890594,0.14828108251094818,0.18771645426750183,0.2526119351387024
.,0.3541337847709656,0.21293091773986816,0.5934505462646484,0.2503213584423065,0.5352458953857422,0.5934505462646484,0.2095622420310974,0.3193301260471344,0.24876342713832855,0.4130953550338745
