,who,authored,the,liber,servitoris,?
muhammad,0.2618805468082428,0.2444651871919632,0.18824619054794312,0.2568044066429138,0.25900742411613464,0.20699374377727509
ibn,0.24530945718288422,0.28886881470680237,0.1280137002468109,0.1947435885667801,0.24800297617912292,0.18055106699466705
zakarīya,0.21455951035022736,0.22883816063404083,0.23281486332416534,0.18986430764198303,0.3580690920352936,0.181474506855011
rāzi,0.2230641096830368,0.2033250331878662,0.13572749495506287,0.2614750266075134,0.22245709598064423,0.13929086923599243
(,0.2443375140428543,0.1929924488067627,0.33289089798927307,0.21244361996650696,0.22685368359088898,0.40561532974243164
rhazes,0.2159896343946457,0.21409738063812256,0.3046823740005493,0.1876274198293686,0.3260268270969391,0.24284188449382782
),0.2457384318113327,0.17498233914375305,0.3456730246543884,0.19564488530158997,0.2321075052022934,0.42300865054130554
(,0.2443375140428543,0.1929924488067627,0.33289089798927307,0.21244361996650696,0.22685368359088898,0.40561532974243164
865–915,0.2894153594970703,0.09369765967130661,0.22263193130493164,0.13239209353923798,0.2596132755279541,0.05331196263432503
),0.2457384318113327,0.17498233914375305,0.3456730246543884,0.19564488530158997,0.2321075052022934,0.42300865054130554
",",0.3365725874900818,0.2508998215198517,0.4933079481124878,0.2213209867477417,0.2725001871585846,0.31091248989105225
for,0.37110671401023865,0.2676022946834564,0.4739971458911896,0.16487246751785278,0.3502945005893707,0.264628142118454
instance,0.27420303225517273,0.2107112854719162,0.3539782464504242,0.1879674643278122,0.2507492005825043,0.30205854773521423
",",0.3365725874900818,0.2508998215198517,0.4933079481124878,0.2213209867477417,0.2725001871585846,0.31091248989105225
acted,0.28490695357322693,0.2860027253627777,0.20873373746871948,0.05647772550582886,0.20992152392864227,0.15984973311424255
to,0.42656609416007996,0.17690160870552063,0.535392165184021,0.1255492866039276,0.30560967326164246,0.29463258385658264
promote,0.1860489696264267,0.2692510187625885,0.2408624291419983,0.12179771810770035,0.23375095427036285,0.23677967488765717
the,0.3733934462070465,0.2403874546289444,1.0,0.14982426166534424,0.3324510157108307,0.22068053483963013
medical,0.283721387386322,0.24677324295043945,0.2398311346769333,0.11486255377531052,0.35911887884140015,0.13234087824821472
uses,0.1454557180404663,0.18167884647846222,0.2830192744731903,0.1271287053823471,0.19171585142612457,0.18407079577445984
of,0.2827862501144409,0.2629281282424927,0.733189046382904,0.13540838658809662,0.32332706451416016,0.1826142966747284
chemical,0.18146835267543793,0.1857556849718094,0.18641819059848785,0.16308137774467468,0.16470326483249664,0.2040288895368576
compounds,0.20875456929206848,0.20251524448394775,0.18294313549995422,0.17416886985301971,0.259429931640625,0.2057836651802063
.,0.3541337847709656,0.20007365942001343,0.5934505462646484,0.14362598955631256,0.2779921591281891,0.4130953550338745
