,what,types,of,programs,help,to,redistribute,wealth,?
eventually,0.28470873832702637,0.1318787783384323,0.313495934009552,0.14442749321460724,0.3062034547328949,0.4528551697731018,0.2679988443851471,0.2302783578634262,0.13642115890979767
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.21514803171157837,0.2855570912361145,0.44245919585227966,0.18241654336452484,0.22482609748840332,0.31091248989105225
through,0.23167094588279724,0.14159397780895233,0.3647414743900299,0.20947958528995514,0.2413765788078308,0.4062686562538147,0.24159544706344604,0.16540949046611786,0.16913433372974396
various,0.26045072078704834,0.417499840259552,0.3196488320827484,0.33046868443489075,0.26604750752449036,0.33564820885658264,0.29870787262916565,0.24300700426101685,0.12823495268821716
possible,0.3281886577606201,0.2510615885257721,0.3314395844936371,0.24824818968772888,0.3461916446685791,0.4506641626358032,0.2715931236743927,0.16047154366970062,0.3059970438480377
redistribution,0.26319849491119385,0.18807435035705566,0.2767921984195709,0.3377878963947296,0.17100998759269714,0.25481486320495605,0.8105884790420532,0.2974836230278015,0.1706853210926056
mechanisms,0.23776228725910187,0.3341473340988159,0.22534649074077606,0.25208255648612976,0.2207297831773758,0.2500166893005371,0.2833062708377838,0.1873525232076645,0.20209980010986328
such,0.23989605903625488,0.4367804527282715,0.3209529519081116,0.3323920965194702,0.26905423402786255,0.2871878743171692,0.2547902464866638,0.20769751071929932,0.17851735651493073
as,0.31749409437179565,0.2006441354751587,0.3886612355709076,0.2817786931991577,0.2739662528038025,0.42092081904411316,0.24000835418701172,0.2313503623008728,0.27043893933296204
social,0.22217629849910736,0.1469333916902542,0.2605111300945282,0.284094899892807,0.23372520506381989,0.19684761762619019,0.2670968472957611,0.3313053846359253,0.1615191102027893
welfare,0.24410170316696167,0.10349339246749878,0.31598109006881714,0.23371872305870056,0.3141626715660095,0.2646935284137726,0.2906266152858734,0.45390215516090393,0.17747683823108673
programs,0.23178155720233917,0.28454047441482544,0.18037469685077667,1.0000001192092896,0.23536036908626556,0.23389451205730438,0.34193646907806396,0.15709397196769714,0.16452431678771973
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.21514803171157837,0.2855570912361145,0.44245919585227966,0.18241654336452484,0.22482609748840332,0.31091248989105225
more,0.3484537899494171,0.31706979870796204,0.30478984117507935,0.29666051268577576,0.33843889832496643,0.47084665298461914,0.33402225375175476,0.24429993331432343,0.27894994616508484
developed,0.15555569529533386,0.2967461943626404,0.21960023045539856,0.22910405695438385,0.1565362960100174,0.19491806626319885,0.2690950930118561,0.15622858703136444,0.10763012617826462
countries,0.22319257259368896,0.34418538212776184,0.2800094783306122,0.30459901690483093,0.2572597861289978,0.3111797273159027,0.3089290261268616,0.3400081396102905,0.15128466486930847
move,0.30861297249794006,0.2131578028202057,0.19058799743652344,0.13092069327831268,0.31569239497184753,0.37858664989471436,0.28532299399375916,0.06817292422056198,0.24440962076187134
back,0.2965294420719147,0.1418045312166214,0.23051875829696655,0.08007968217134476,0.28916892409324646,0.4675939381122589,0.17533262073993683,0.15080954134464264,0.2397768795490265
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.23389451205730438,0.46191298961639404,1.0,0.3261471390724182,0.30562296509742737,0.29463258385658264
lower,0.20079238712787628,0.19493217766284943,0.31757521629333496,0.16108070313930511,0.144214928150177,0.233318492770195,0.2377307415008545,0.15602116286754608,0.08471795171499252
levels,0.21641245484352112,0.3460383713245392,0.23668165504932404,0.27789589762687683,0.17394830286502838,0.29053324460983276,0.2841130793094635,0.21977652609348297,0.1541307419538498
of,0.33290785551071167,0.2447618544101715,1.0,0.18037469685077667,0.22745388746261597,0.41548454761505127,0.24341034889221191,0.27235376834869385,0.1826142966747284
inequality,0.30072227120399475,0.22945965826511383,0.27910974621772766,0.24766521155834198,0.21665099263191223,0.24361056089401245,0.32308050990104675,0.41812294721603394,0.23619021475315094
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.21148164570331573,0.32205137610435486,0.4645031690597534,0.26265400648117065,0.1815606653690338,0.4130953550338745
