,what,were,the,first,two,destinations,of,huguenot,emigres,?
the,0.42745697498321533,0.3906462490558624,1.0,0.49448907375335693,0.43858039379119873,0.3131893277168274,0.733189046382904,0.29557526111602783,0.2677074074745178,0.22068053483963013
first,0.28086137771606445,0.3285558819770813,0.49448907375335693,1.0,0.3794230818748474,0.2876099944114685,0.3536086082458496,0.18566305935382843,0.26935482025146484,0.18701928853988647
huguenots,0.22128188610076904,0.2728680968284607,0.30745792388916016,0.17457492649555206,0.22564725577831268,0.25997939705848694,0.27577435970306396,0.9459913372993469,0.35662639141082764,0.16010338068008423
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.3792489171028137,0.3343428373336792,0.27674007415771484,0.41548454761505127,0.24496324360370636,0.2945859730243683,0.29463258385658264
leave,0.3595171868801117,0.23466263711452484,0.32171857357025146,0.22206354141235352,0.20197317004203796,0.23675240576267242,0.22741928696632385,0.26069656014442444,0.2958534359931946,0.23890845477581024
france,0.17793065309524536,0.24330811202526093,0.35517507791519165,0.24946118891239166,0.2037719339132309,0.2073511928319931,0.3265724182128906,0.44110438227653503,0.3519676625728607,0.15069349110126495
sought,0.2695325016975403,0.21022987365722656,0.2821049392223358,0.14261560142040253,0.16804340481758118,0.18651196360588074,0.33104926347732544,0.32855305075645447,0.28978678584098816,0.1753331869840622
freedom,0.21405836939811707,0.14682088792324066,0.24307598173618317,0.14468519389629364,0.13075098395347595,0.21021364629268646,0.26562249660491943,0.33161601424217224,0.20551110804080963,0.1626027375459671
from,0.2737620174884796,0.29991888999938965,0.40150508284568787,0.23348960280418396,0.25732070207595825,0.2574506402015686,0.4249346852302551,0.1858682930469513,0.2535002827644348,0.19969791173934937
persecution,0.2927123010158539,0.34995532035827637,0.26699647307395935,0.15197938680648804,0.17195774614810944,0.21922893822193146,0.2776307165622711,0.45871323347091675,0.3053685128688812,0.16299931704998016
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.4127444326877594,0.36463531851768494,0.28438061475753784,0.5696388483047485,0.26198551058769226,0.3220474123954773,0.20430970191955566
switzerland,0.10552600771188736,0.12555274367332458,0.25689372420310974,0.15695308148860931,0.15265177190303802,0.25797000527381897,0.22564564645290375,0.2888892590999603,0.30451852083206177,0.13347817957401276
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.3167642652988434,0.4671151638031006,0.2507134974002838,0.5116966962814331,0.2762077748775482,0.25899139046669006,0.20544172823429108
the,0.42745697498321533,0.3906462490558624,1.0,0.49448907375335693,0.43858039379119873,0.3131893277168274,0.733189046382904,0.29557526111602783,0.2677074074745178,0.22068053483963013
netherlands,0.14059674739837646,0.18124517798423767,0.2279868870973587,0.1890142560005188,0.11981227993965149,0.2287577986717224,0.24916832149028778,0.3516989052295685,0.26204249262809753,0.09310898929834366
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.4345304071903229,0.3524959683418274,0.2608295679092407,0.5352458953857422,0.2060975730419159,0.31837400794029236,0.4130953550338745
