,who,refused,to,act,until,loudoun,approved,plans,?
when,0.48282691836357117,0.24253329634666443,0.5423505902290344,0.22280360758304596,0.494509756565094,0.2277766466140747,0.23851343989372253,0.26354604959487915,0.22841128706932068
he,0.5500732064247131,0.33662843704223633,0.385390967130661,0.22212758660316467,0.36324307322502136,0.2543097734451294,0.21324801445007324,0.23924052715301514,0.2089974731206894
arrived,0.29454702138900757,0.33667048811912537,0.3039925694465637,0.13491341471672058,0.33611631393432617,0.1584431380033493,0.23258359730243683,0.29242509603500366,0.1681029200553894
in,0.2792111933231354,0.2417421191930771,0.45010748505592346,0.22050046920776367,0.38338494300842285,0.29492443799972534,0.23346227407455444,0.24845264852046967,0.20430970191955566
albany,0.17982615530490875,0.12268074601888657,0.22671322524547577,0.21364858746528625,0.14785990118980408,0.4268525540828705,0.22517262399196625,0.16883644461631775,0.08516642451286316
",",0.3365725874900818,0.2687305510044098,0.44245919585227966,0.1787904053926468,0.2947838604450226,0.3265959918498993,0.28550124168395996,0.227532297372818,0.31091248989105225
abercrombie,0.23313577473163605,0.13185615837574005,0.27117103338241577,0.14862340688705444,0.24498672783374786,0.3629300892353058,0.17885436117649078,0.17566120624542236,0.19258330762386322
refused,0.3154688775539398,1.0,0.41818010807037354,0.16455772519111633,0.3059576749801636,0.19801978766918182,0.3626355230808258,0.354631632566452,0.14580921828746796
to,0.42656609416007996,0.41818010807037354,1.0,0.24833928048610687,0.354556679725647,0.21256138384342194,0.2687867283821106,0.367337167263031,0.29463258385658264
take,0.2940447926521301,0.25093647837638855,0.4075521230697632,0.24733424186706543,0.14862164855003357,0.16352467238903046,0.22411271929740906,0.30325910449028015,0.21897350251674652
any,0.29236510396003723,0.26635995507240295,0.46410247683525085,0.2890753746032715,0.2085532397031784,0.2018941342830658,0.28240135312080383,0.2475108802318573,0.4113408327102661
significant,0.18698793649673462,0.15677790343761444,0.27648770809173584,0.16372519731521606,0.18142542243003845,0.21291087567806244,0.19348856806755066,0.17614597082138062,0.18679562211036682
actions,0.3088024854660034,0.27212008833885193,0.27775833010673523,0.3655973970890045,0.1484927088022232,0.10582329332828522,0.26525428891181946,0.2359890341758728,0.2841099798679352
until,0.2530071437358856,0.3059576749801636,0.354556679725647,0.15846122801303864,1.0,0.2352697253227234,0.23188835382461548,0.2042860984802246,0.20304496586322784
loudoun,0.19463728368282318,0.19801978766918182,0.21256138384342194,0.23519223928451538,0.2352697253227234,0.9999999403953552,0.2098369598388672,0.19527237117290497,0.08689435571432114
approved,0.24999196827411652,0.3626355230808258,0.2687867283821106,0.24650344252586365,0.23188835382461548,0.2098369598388672,1.0,0.3051739037036896,0.25914356112480164
them,0.5243523120880127,0.37220773100852966,0.5916602611541748,0.27050551772117615,0.28312569856643677,0.19801786541938782,0.23726877570152283,0.3386341333389282,0.35435691475868225
.,0.3541337847709656,0.2353905290365219,0.4645031690597534,0.2025400698184967,0.36876651644706726,0.2539626657962799,0.29869166016578674,0.2760954201221466,0.4130953550338745
