,what,interfered,with,kublai,'s,second,invasion,of,japan,?
kublai,0.24627302587032318,0.2012968212366104,0.1752355396747589,0.9999999403953552,-0.017352506518363953,0.26672396063804626,0.36769339442253113,0.231930211186409,0.35254234075546265,0.14562560617923737
's,0.02692362666130066,-0.12109725922346115,-0.04624466598033905,-0.017352506518363953,0.9999999403953552,-0.060212843120098114,-0.029328476637601852,-0.03817026689648628,-0.0463767908513546,-0.023395681753754616
second,0.19948028028011322,0.21147574484348297,0.272382527589798,0.26672396063804626,-0.060212843120098114,1.0,0.1863604336977005,0.353416383266449,0.17159372568130493,0.17239587008953094
invasion,0.22275975346565247,0.31979137659072876,0.17501716315746307,0.36769339442253113,-0.029328476637601852,0.1863604336977005,0.9999999403953552,0.256956547498703,0.21497812867164612,0.18923960626125336
of,0.33290785551071167,0.20549851655960083,0.41827285289764404,0.231930211186409,-0.03817026689648628,0.353416383266449,0.256956547498703,1.0,0.2358245700597763,0.1826142966747284
japan,0.1865565925836563,0.17410944402217865,0.16046705842018127,0.35254234075546265,-0.0463767908513546,0.17159372568130493,0.21497812867164612,0.2358245700597763,1.0,0.1312343180179596
in,0.30808621644973755,0.2169494926929474,0.4080928862094879,0.2070179283618927,-0.037580832839012146,0.34510284662246704,0.2543354034423828,0.5696388483047485,0.23087722063064575,0.20430970191955566
1281,0.02329833433032036,0.05160195007920265,0.050881702452898026,0.15098021924495697,0.022839698940515518,0.10972446948289871,0.020312050357460976,0.15285640954971313,0.17017535865306854,0.016300585120916367
failed,0.26093074679374695,0.3272138833999634,0.2246399074792862,0.311609148979187,-0.03288644924759865,0.24021151661872864,0.32787492871284485,0.2114463746547699,0.15698060393333435,0.16487033665180206
because,0.46729007363319397,0.2639448940753937,0.3967972993850708,0.25530844926834106,0.05210670828819275,0.2534537613391876,0.23247763514518738,0.4075504541397095,0.2548736035823822,0.2528740465641022
of,0.33290785551071167,0.20549851655960083,0.41827285289764404,0.231930211186409,-0.03817026689648628,0.353416383266449,0.256956547498703,1.0,0.2358245700597763,0.1826142966747284
an,0.2821882665157318,0.15425990521907806,0.2730048894882202,0.11958086490631104,0.025255560874938965,0.2587711215019226,0.18169794976711273,0.32280945777893066,0.12182512134313583,0.19793890416622162
inauspicious,0.29555684328079224,0.28541722893714905,0.256361186504364,0.326732873916626,0.014349726028740406,0.18760532140731812,0.29680970311164856,0.2885245382785797,0.1379145383834839,0.24050244688987732
typhoon,0.11734640598297119,0.13033665716648102,0.16823633015155792,0.32732006907463074,-0.014227742329239845,0.17130206525325775,0.21393783390522003,0.16248059272766113,0.30879518389701843,0.14234086871147156
.,0.3567904531955719,0.15047922730445862,0.4446153938770294,0.2311694622039795,-0.003708066651597619,0.346034437417984,0.25034767389297485,0.5352458953857422,0.28114771842956543,0.4130953550338745
