,what,animals,did,tesla,care,for,?
near,0.19414293766021729,0.13398918509483337,0.08748484402894974,0.08963809162378311,0.09345786273479462,0.12145546078681946,0.10734958201646805
the,0.42745697498321533,0.2939487397670746,0.34736719727516174,0.1324402391910553,0.1663842648267746,0.4739971458911896,0.22068053483963013
end,0.29234179854393005,0.1699615716934204,0.18808481097221375,0.05453544855117798,0.11850973963737488,0.22042374312877655,0.12543344497680664
of,0.33290785551071167,0.2599885165691376,0.2513895630836487,0.18837453424930573,0.20533065497875214,0.4185989499092102,0.1826142966747284
his,0.26976513862609863,0.21014831960201263,0.3546801507472992,0.1580733060836792,0.2713627815246582,0.39312878251075745,0.18075084686279297
life,0.24693015217781067,0.2941637337207794,0.22298283874988556,0.07371766865253448,0.30582278966903687,0.244698166847229,0.21677987277507782
",",0.3087472915649414,0.23067066073417664,0.3015086054801941,0.20599327981472015,0.25498491525650024,0.4464869201183319,0.31091248989105225
tesla,0.23221199214458466,0.08642711490392685,0.09757418930530548,0.9999999403953552,0.1526278853416443,0.13983871042728424,0.10250775516033173
walked,0.19194380939006805,0.2785859704017639,0.3070957660675049,0.010343605652451515,0.17789898812770844,0.18517376482486725,0.12153727561235428
to,0.455847829580307,0.28293174505233765,0.4452643394470215,0.17548894882202148,0.27786314487457275,0.4451248347759247,0.29463258385658264
the,0.42745697498321533,0.2939487397670746,0.34736719727516174,0.1324402391910553,0.1663842648267746,0.4739971458911896,0.22068053483963013
park,0.13500720262527466,0.21351446211338043,0.12431816756725311,0.12949688732624054,0.1945071518421173,0.157673642039299,0.13508929312229156
every,0.30284011363983154,0.262151837348938,0.21975891292095184,0.11471773684024811,0.24003775417804718,0.35918429493904114,0.24066033959388733
day,0.2990210950374603,0.15934450924396515,0.20275387167930603,0.16580471396446228,0.18416336178779602,0.23720888793468475,0.2141837179660797
to,0.455847829580307,0.28293174505233765,0.4452643394470215,0.17548894882202148,0.27786314487457275,0.4451248347759247,0.29463258385658264
feed,0.24202558398246765,0.3871983289718628,0.22311101853847504,0.05106089264154434,0.28012076020240784,0.20785245299339294,0.19348634779453278
the,0.42745697498321533,0.2939487397670746,0.34736719727516174,0.1324402391910553,0.1663842648267746,0.4739971458911896,0.22068053483963013
pigeons,0.16022203862667084,0.49975159764289856,0.23060807585716248,0.05046173930168152,0.17537236213684082,0.2642166018486023,0.193196639418602
and,0.31309178471565247,0.3589221239089966,0.34479495882987976,0.19560420513153076,0.32680341601371765,0.5064792633056641,0.20544172823429108
even,0.40872135758399963,0.314750075340271,0.45816805958747864,0.16614298522472382,0.34252506494522095,0.39184510707855225,0.30082517862319946
brought,0.26212388277053833,0.1966288834810257,0.3238873779773712,0.09128429740667343,0.23843009769916534,0.2740367650985718,0.2339296191930771
injured,0.14425544440746307,0.23152224719524384,0.24892206490039825,0.12049445509910583,0.22883322834968567,0.1681102216243744,0.12394905835390091
ones,0.28536954522132874,0.2923033833503723,0.24853041768074036,0.14923955500125885,0.2169160097837448,0.3088074326515198,0.28155767917633057
into,0.2180619090795517,0.19711042940616608,0.14888085424900055,0.13143925368785858,0.14201202988624573,0.231735959649086,0.15662476420402527
his,0.26976513862609863,0.21014831960201263,0.3546801507472992,0.1580733060836792,0.2713627815246582,0.39312878251075745,0.18075084686279297
hotel,0.12076243758201599,0.1157318502664566,0.17199647426605225,0.11258964985609055,0.18968959152698517,0.15665383636951447,0.05846213921904564
room,0.22132179141044617,0.18789459764957428,0.2343335598707199,0.19949762523174286,0.24190974235534668,0.23959091305732727,0.1769251674413681
to,0.455847829580307,0.28293174505233765,0.4452643394470215,0.17548894882202148,0.27786314487457275,0.4451248347759247,0.29463258385658264
nurse,0.17330458760261536,0.1786787211894989,0.17903421819210052,0.12644915282726288,0.3729170560836792,0.10708751529455185,0.17633062601089478
back,0.2965294420719147,0.22392864525318146,0.2601068317890167,0.09240715950727463,0.24356937408447266,0.2631518244743347,0.2397768795490265
to,0.455847829580307,0.28293174505233765,0.4452643394470215,0.17548894882202148,0.27786314487457275,0.4451248347759247,0.29463258385658264
health,0.21460163593292236,0.2972646653652191,0.21597589552402496,0.10625302791595459,0.5299020409584045,0.31610164046287537,0.16094304621219635
.,0.3567904531955719,0.27480828762054443,0.35288307070732117,0.17949827015399933,0.22417111694812775,0.4726039469242096,0.4130953550338745
