,what,did,the,nfl,do,to,the,playing,field,at,levi,'s,stadium,before,the,super,bowl,?
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.18464252352714539,0.38329678773880005,0.42092081904411316,0.48381632566452026,0.3227611780166626,0.21304655075073242,0.28092536330223083,0.16246658563613892,-0.05775856226682663,0.1262112706899643,0.3552539646625519,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.27043893933296204
is,0.28837618231773376,0.19247472286224365,0.5823672413825989,0.12479410320520401,0.30895981192588806,0.42745086550712585,0.5823672413825989,0.21237912774085999,0.17269009351730347,0.25906258821487427,0.09836933761835098,0.02396530658006668,0.18311816453933716,0.25183290243148804,0.5823672413825989,0.15390309691429138,0.14233897626399994,0.22961433231830597
customary,0.3171907961368561,0.2586609423160553,0.2734152376651764,0.09837818145751953,0.2170438915491104,0.3269636631011963,0.2734152376651764,0.03332040086388588,0.18212701380252838,0.1937057375907898,0.19984184205532074,-0.025633657351136208,0.05628880485892296,0.24546335637569427,0.2734152376651764,0.16291815042495728,0.14833979308605194,0.27931293845176697
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.23749186098575592,0.29510271549224854,0.4451248347759247,0.4739971458911896,0.3546140491962433,0.24342265725135803,0.34237727522850037,0.16166196763515472,-0.07241261005401611,0.18393352627754211,0.44347289204597473,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
super,0.13651713728904724,0.16038043797016144,0.21959073841571808,0.319060355424881,0.0741725042462349,0.17783479392528534,0.21959073841571808,0.14963796734809875,0.1592533439397812,0.11449114978313446,0.08340612053871155,0.09726737439632416,0.1715150624513626,0.16279493272304535,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.15942467749118805,0.18569406867027283,0.21576224267482758,0.48354101181030273,0.09820868074893951,0.16993016004562378,0.21576224267482758,0.11901324987411499,0.15438513457775116,0.2709662914276123,0.1602962166070938,-0.02838491089642048,0.25985562801361084,0.19842083752155304,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
games,0.1820194572210312,0.18056219816207886,0.2676136791706085,0.3467232584953308,0.16842958331108093,0.23381441831588745,0.2676136791706085,0.44916588068008423,0.23703651130199432,0.23006781935691833,0.041736580431461334,0.15553481876850128,0.3625812530517578,0.24718880653381348,0.2676136791706085,0.3565964996814728,0.2931278944015503,0.1360001415014267
played,0.14831039309501648,0.19653649628162384,0.2603478729724884,0.27873024344444275,0.127910777926445,0.14824016392230988,0.2603478729724884,0.7318263649940491,0.16662807762622833,0.20532193779945374,0.10978957265615463,0.03920676186680794,0.2688959240913391,0.16063609719276428,0.2603478729724884,0.21511296927928925,0.19033360481262207,0.14096300303936005
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.20260320603847504,0.1511090099811554,0.36524343490600586,0.457212895154953,0.19664570689201355,0.190035879611969,1.0,0.1250557154417038,-0.08481216430664062,0.22218671441078186,0.36107107996940613,0.457212895154953,0.11449114978313446,0.2709662914276123,0.21978627145290375
natural,0.15666867792606354,0.08853514492511749,0.2291368842124939,0.11185324192047119,0.17623268067836761,0.21663954854011536,0.2291368842124939,0.12310952693223953,0.22582797706127167,0.15606315433979034,0.10994745045900345,-0.049410052597522736,0.1219581812620163,0.1504238247871399,0.2291368842124939,0.017671018838882446,0.12008339911699295,0.16155436635017395
