,whose,puppet,did,islamists,accuse,the,saudi,regime,of,being,?
islamists,0.17143142223358154,0.17169266939163208,0.27991756796836853,1.0000001192092896,0.3072994649410248,0.2982981204986572,0.47935137152671814,0.3961869180202484,0.22912132740020752,0.2585068345069885,0.17165705561637878
accused,0.1813909411430359,0.2264915257692337,0.27233409881591797,0.30484557151794434,0.8970583081245422,0.1834004819393158,0.2560253441333771,0.303504079580307,0.2089134156703949,0.3028126358985901,0.20364795625209808
the,0.38253846764564514,0.20720303058624268,0.34736719727516174,0.2982981204986572,0.19022664427757263,1.0,0.23420350253582,0.23305538296699524,0.733189046382904,0.419739305973053,0.22068053483963013
saudi,0.1206451877951622,0.10241367667913437,0.12426625192165375,0.47935137152671814,0.25833460688591003,0.23420350253582,0.9999999403953552,0.24857504665851593,0.26511111855506897,0.21589554846286774,0.1627861112356186
regime,0.20949150621891022,0.2603694200515747,0.18920215964317322,0.3961869180202484,0.28793027997016907,0.23305538296699524,0.24857504665851593,0.9999999403953552,0.21391896903514862,0.23067250847816467,0.15561191737651825
of,0.37058958411216736,0.1850302517414093,0.2513895630836487,0.22912132740020752,0.21489369869232178,0.733189046382904,0.26511111855506897,0.21391896903514862,1.0,0.34885138273239136,0.1826142966747284
being,0.2894626557826996,0.2123030573129654,0.27905046939849854,0.2585068345069885,0.2610411047935486,0.419739305973053,0.21589554846286774,0.23067250847816467,0.34885138273239136,1.0,0.26743772625923157
a,0.3225097060203552,0.18836091458797455,0.2552328109741211,0.24227473139762878,0.17542926967144012,0.5829201340675354,0.20991550385951996,0.20675835013389587,0.5052502155303955,0.3727131485939026,0.23916715383529663
puppet,0.11424748599529266,0.9999999403953552,0.22343845665454865,0.17169266939163208,0.2506606876850128,0.20720303058624268,0.10241367667913437,0.2603694200515747,0.1850302517414093,0.2123030573129654,0.13181929290294647
of,0.37058958411216736,0.1850302517414093,0.2513895630836487,0.22912132740020752,0.21489369869232178,0.733189046382904,0.26511111855506897,0.21391896903514862,1.0,0.34885138273239136,0.1826142966747284
the,0.38253846764564514,0.20720303058624268,0.34736719727516174,0.2982981204986572,0.19022664427757263,1.0,0.23420350253582,0.23305538296699524,0.733189046382904,0.419739305973053,0.22068053483963013
west,0.16988840699195862,0.09191416949033737,0.16852347552776337,0.20416249334812164,0.10649064928293228,0.32918402552604675,0.20476876199245453,0.1602979451417923,0.2891985774040222,0.15022636950016022,0.12088293582201004
.,0.2718997597694397,0.17075762152671814,0.35288307070732117,0.22075964510440826,0.25500625371932983,0.5934505462646484,0.2524958550930023,0.18538424372673035,0.5352458953857422,0.35574623942375183,0.4130953550338745
