,what,are,the,two,bodies,that,make,up,the,european,union,'s,legislature,?
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.2745959758758545,0.5473989248275757,0.3146495521068573,0.38423117995262146,1.0,0.3423081040382385,0.24421639740467072,-0.01540423184633255,0.2745116055011749,0.22068053483963013
legislature,0.23629915714263916,0.16072258353233337,0.2745116055011749,0.227120041847229,0.23906318843364716,0.2328536957502365,0.18551744520664215,0.21330982446670532,0.2745116055011749,0.17899732291698456,0.2902652323246002,-0.028726831078529358,1.0,0.17475001513957977
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.37726253271102905,0.2732889950275421,0.41498205065727234,0.2912110388278961,0.32945773005485535,0.733189046382904,0.2507138252258301,0.2642118036746979,-0.03817026689648628,0.3148817718029022,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.2745959758758545,0.5473989248275757,0.3146495521068573,0.38423117995262146,1.0,0.3423081040382385,0.24421639740467072,-0.01540423184633255,0.2745116055011749,0.22068053483963013
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.19338899850845337,0.138741135597229,0.2049320936203003,0.15440261363983154,0.16363249719142914,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.08902547508478165,0.17899732291698456,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.24421639740467072,0.22333486378192902,0.20035745203495026,0.17320044338703156,0.10841678082942963,0.17829470336437225,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.10892792046070099,0.2902652323246002,0.07797172665596008
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.2315155267715454,0.22389735281467438,0.3995479643344879,0.3331545889377594,0.2853454053401947,0.5823672413825989,0.16083641350269318,0.16997112333774567,0.02396530658006668,0.15513135492801666,0.22961433231830597
principally,0.21939213573932648,0.24331693351268768,0.33050867915153503,0.23567788302898407,0.21667718887329102,0.2829689681529999,0.17004960775375366,0.13811072707176208,0.33050867915153503,0.25858208537101746,0.21645715832710266,0.013237915001809597,0.1976182758808136,0.08923862129449844
composed,0.14231626689434052,0.21773962676525116,0.21816956996917725,0.2643990218639374,0.20091907680034637,0.18441073596477509,0.2053450345993042,0.16384010016918182,0.21816956996917725,0.11007346957921982,0.09573795646429062,-0.00410611554980278,0.2111252248287201,0.0784355029463768
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.37726253271102905,0.2732889950275421,0.41498205065727234,0.2912110388278961,0.32945773005485535,0.733189046382904,0.2507138252258301,0.2642118036746979,-0.03817026689648628,0.3148817718029022,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.2745959758758545,0.5473989248275757,0.3146495521068573,0.38423117995262146,1.0,0.3423081040382385,0.24421639740467072,-0.01540423184633255,0.2745116055011749,0.22068053483963013
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.19338899850845337,0.138741135597229,0.2049320936203003,0.15440261363983154,0.16363249719142914,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.08902547508478165,0.17899732291698456,0.14560863375663757
parliament,0.21650300920009613,0.09480422735214233,0.26521381735801697,0.1696552336215973,0.19218938052654266,0.17629513144493103,0.16739606857299805,0.19962891936302185,0.26521381735801697,0.2812108099460602,0.3262541890144348,0.012842429801821709,0.632239818572998,0.1586504578590393
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4671151638031006,0.30740299820899963,0.4731321930885315,0.4160483181476593,0.4032393991947174,0.5171257257461548,0.24143946170806885,0.2594362497329712,0.06895173341035843,0.22716397047042847,0.20544172823429108
