,how,many,homes,had,bskyb,'s,direct-to-home,satellite,service,available,to,them,in,2010,?
bskyb,0.17300152778625488,0.17205999791622162,0.12696410715579987,0.14911578595638275,1.0000001192092896,0.046084970235824585,0.2806341350078583,0.26426976919174194,0.1887708604335785,0.1321180909872055,0.16040074825286865,0.12458788603544235,0.22606848180294037,0.2035992294549942,0.2979319989681244
's,-0.026164190843701363,0.01698932610452175,0.05940741300582886,-0.004401352722197771,0.046084970235824585,0.9999999403953552,0.01837223395705223,0.1227913498878479,0.017307469621300697,0.03610558435320854,0.03782717138528824,0.025712676346302032,-0.037580832839012146,0.05135534703731537,-0.023395681753754616
direct-to-home,0.274724543094635,0.24444818496704102,0.18757843971252441,0.2174743115901947,0.2806341350078583,0.01837223395705223,1.0,0.3008894920349121,0.19206471741199493,0.1691402643918991,0.38335397839546204,0.287869393825531,0.2902723252773285,0.1801343858242035,0.21956360340118408
satellite,0.10482273995876312,0.15164341032505035,0.19938670098781586,0.12459084391593933,0.26426976919174194,0.1227913498878479,0.3008894920349121,0.9999999403953552,0.3001212179660797,0.15985676646232605,0.19631412625312805,0.17282865941524506,0.18927223980426788,0.09995076805353165,0.13568443059921265
service,0.12199638783931732,0.21650798618793488,0.21793510019779205,0.15062880516052246,0.1887708604335785,0.017307469621300697,0.19206471741199493,0.3001212179660797,0.9999998807907104,0.3073113262653351,0.24411341547966003,0.19594091176986694,0.1740635335445404,0.0993136614561081,0.1676298975944519
became,0.10954522341489792,0.25642040371894836,0.1584833562374115,0.4615839719772339,0.22772888839244843,0.0067522358149290085,0.19201835989952087,0.18658533692359924,0.23130719363689423,0.14403757452964783,0.20401327311992645,0.18976722657680511,0.31047213077545166,0.20492307841777802,0.11374033987522125
available,0.2581886649131775,0.27195167541503906,0.2164170742034912,0.17357434332370758,0.1321180909872055,0.03610558435320854,0.1691402643918991,0.15985676646232605,0.3073113262653351,1.0000001192092896,0.2394571453332901,0.3083018958568573,0.1939793825149536,0.09450649470090866,0.2501629889011383
in,0.2601168751716614,0.41474202275276184,0.2459857165813446,0.385026752948761,0.22606848180294037,-0.037580832839012146,0.2902723252773285,0.18927223980426788,0.1740635335445404,0.1939793825149536,0.45010748505592346,0.29119014739990234,1.0,0.2692960798740387,0.20430970191955566
10,0.09177426248788834,0.3056783974170685,0.15254947543144226,0.1529655158519745,0.11551663279533386,0.07577503472566605,0.11277454346418381,0.06179514154791832,0.055923983454704285,0.008295200765132904,0.18753696978092194,0.17045553028583527,0.22690178453922272,0.7385768294334412,0.022911956533789635
million,0.21114659309387207,0.3520967364311218,0.3145500421524048,0.2695454955101013,0.20821961760520935,0.05079329386353493,0.18975840508937836,0.22081425786018372,0.2226027548313141,0.18944790959358215,0.22033339738845825,0.2629452049732208,0.2596224844455719,0.17669418454170227,0.23092924058437347
homes,0.17951394617557526,0.3374091684818268,1.0,0.2827519476413727,0.12696410715579987,0.05940741300582886,0.18757843971252441,0.19938670098781586,0.21793510019779205,0.2164170742034912,0.2634379267692566,0.3683183491230011,0.2459857165813446,0.20595607161521912,0.12707971036434174
in,0.2601168751716614,0.41474202275276184,0.2459857165813446,0.385026752948761,0.22606848180294037,-0.037580832839012146,0.2902723252773285,0.18927223980426788,0.1740635335445404,0.1939793825149536,0.45010748505592346,0.29119014739990234,1.0,0.2692960798740387,0.20430970191955566
2010,0.17927342653274536,0.33878764510154724,0.20595607161521912,0.28968116641044617,0.2035992294549942,0.05135534703731537,0.1801343858242035,0.09995076805353165,0.0993136614561081,0.09450649470090866,0.3413967490196228,0.30738547444343567,0.2692960798740387,1.0000001192092896,0.21232788264751434
",",0.22659391164779663,0.40610817074775696,0.2378510683774948,0.35487717390060425,0.2852807641029358,-0.0016132977325469255,0.3200307786464691,0.20065933465957642,0.2389259785413742,0.2614012062549591,0.44245919585227966,0.3985835015773773,0.5201468467712402,0.24006164073944092,0.31091248989105225
europe,0.1606675088405609,0.3837028741836548,0.23976247012615204,0.23722730576992035,0.22525423765182495,0.08762212097644806,0.23598451912403107,0.15651990473270416,0.1396697610616684,0.2687285244464874,0.24889446794986725,0.25020480155944824,0.33061710000038147,0.18217512965202332,0.18278923630714417
's,-0.026164190843701363,0.01698932610452175,0.05940741300582886,-0.004401352722197771,0.046084970235824585,0.9999999403953552,0.01837223395705223,0.1227913498878479,0.017307469621300697,0.03610558435320854,0.03782717138528824,0.025712676346302032,-0.037580832839012146,0.05135534703731537,-0.023395681753754616
first,0.27731001377105713,0.2931244373321533,0.20360110700130463,0.3379828929901123,0.17997686564922333,-0.014458609744906425,0.30923816561698914,0.18692824244499207,0.23815037310123444,0.2574032247066498,0.3792489171028137,0.29246917366981506,0.4127444326877594,0.19260795414447784,0.18701928853988647
