,who,allegedly,haunted,the,gate,?
in,0.2792111933231354,0.18263627588748932,0.23572701215744019,0.6662389636039734,0.19865471124649048,0.20430970191955566
this,0.3345087468624115,0.17551912367343903,0.20575329661369324,0.6274310946464539,0.18494731187820435,0.3155723512172699
last,0.30598369240760803,0.14097826182842255,0.13726863265037537,0.3698786795139313,0.13568878173828125,0.22371746599674225
connection,0.23109515011310577,0.23177359998226166,0.1549660712480545,0.29966840147972107,0.24310439825057983,0.1714525669813156
",",0.3365725874900818,0.15520255267620087,0.19562946259975433,0.4933079481124878,0.1897594928741455,0.31091248989105225
the,0.3733934462070465,0.23063746094703674,0.26330000162124634,1.0,0.23649795353412628,0.22068053483963013
name,0.2027527540922165,0.10193224996328354,0.12944550812244415,0.3171212375164032,0.17643271386623383,0.15381577610969543
could,0.33540013432502747,0.2660568952560425,0.19846732914447784,0.35393214225769043,0.14000464975833893,0.3411986827850342
suggest,0.24237313866615295,0.2345753014087677,0.19223903119564056,0.2682655155658722,-0.014114445075392723,0.39672672748565674
the,0.3733934462070465,0.23063746094703674,0.26330000162124634,1.0,0.23649795353412628,0.22068053483963013
derogatory,0.29271620512008667,0.3712463676929474,0.25710025429725647,0.21792484819889069,0.08595048636198044,0.2580302059650421
inference,0.14806655049324036,0.17934486269950867,0.20760168135166168,0.23972372710704803,0.11816786974668503,0.21819144487380981
of,0.2827862501144409,0.21219010651111603,0.23486368358135223,0.733189046382904,0.15172944962978363,0.1826142966747284
superstitious,0.3106079697608948,0.2611236572265625,0.282530277967453,0.2486329972743988,0.18141138553619385,0.19576852023601532
worship,0.29619842767715454,0.1682892143726349,0.21388882398605347,0.2739982008934021,0.2397097647190094,0.17813213169574738
;,0.007937713526189327,0.04553946852684021,0.049362827092409134,0.09152708947658539,0.08827563375234604,0.10349778085947037
popular,0.23977619409561157,0.1340004801750183,0.27064764499664307,0.2724021077156067,0.17274458706378937,0.13108457624912262
fancy,0.2101268619298935,0.20126427710056305,0.32358503341674805,0.2296893447637558,0.12085123360157013,0.2520395517349243
held,0.21375896036624908,0.15090163052082062,0.14692074060440063,0.32185450196266174,0.17313486337661743,0.14103956520557404
that,0.45444270968437195,0.36160147190093994,0.2808215022087097,0.5473989248275757,0.18597249686717987,0.32716336846351624
huguon,0.3655352294445038,0.31738048791885376,0.21637092530727386,0.3303273618221283,0.23934945464134216,0.26584392786026
",",0.3365725874900818,0.15520255267620087,0.19562946259975433,0.4933079481124878,0.1897594928741455,0.31091248989105225
the,0.3733934462070465,0.23063746094703674,0.26330000162124634,1.0,0.23649795353412628,0.22068053483963013
gate,0.11513275653123856,0.19877874851226807,0.1936844140291214,0.23649795353412628,1.0,0.071437306702137
of,0.2827862501144409,0.21219010651111603,0.23486368358135223,0.733189046382904,0.15172944962978363,0.1826142966747284
king,0.24555552005767822,0.1749822497367859,0.14707663655281067,0.25887003540992737,0.20174859464168549,0.19130074977874756
hugo,0.22365671396255493,0.14365129172801971,0.2380789816379547,0.2635921835899353,0.09519142657518387,0.15095652639865875
",",0.3365725874900818,0.15520255267620087,0.19562946259975433,0.4933079481124878,0.1897594928741455,0.31091248989105225
was,0.3318818509578705,0.33524635434150696,0.20134639739990234,0.48711544275283813,0.2281380146741867,0.18412111699581146
haunted,0.28882819414138794,0.3738827109336853,1.0,0.26330000162124634,0.1936844140291214,0.2309587150812149
by,0.39727845788002014,0.3064643442630768,0.21681629121303558,0.4408751428127289,0.16952279210090637,0.17966607213020325
the,0.3733934462070465,0.23063746094703674,0.26330000162124634,1.0,0.23649795353412628,0.22068053483963013
ghost,0.1631389856338501,0.17034626007080078,0.4382346570491791,0.20155884325504303,0.1485644280910492,0.18401920795440674
of,0.2827862501144409,0.21219010651111603,0.23486368358135223,0.733189046382904,0.15172944962978363,0.1826142966747284
le,0.12136698514223099,0.1872069388628006,0.18573278188705444,0.18814682960510254,0.11546402424573898,0.11964468657970428
roi,0.24783837795257568,0.15565739572048187,0.22321128845214844,0.2727039158344269,0.05401616916060448,0.18505652248859406
huguet,0.26800423860549927,0.210893914103508,0.08611801266670227,0.19500674307346344,0.1619528979063034,0.14082105457782745
