,what,caused,the,delay,during,the,development,of,the,ac,motor,.
the,0.42745697498321533,0.24990202486515045,1.0,0.2607918381690979,0.4838213622570038,1.0,0.3362044394016266,0.733189046382904,1.0,0.11894276738166809,0.26024484634399414,0.5934505462646484
acquisition,0.21367503702640533,0.15812218189239502,0.2637207508087158,0.24191413819789886,0.18629851937294006,0.2637207508087158,0.3422792851924896,0.24669308960437775,0.2637207508087158,0.11760623753070831,0.21597933769226074,0.15648581087589264
of,0.33290785551071167,0.29665443301200867,0.733189046382904,0.19660267233848572,0.3869180977344513,0.733189046382904,0.28700894117355347,1.0,0.733189046382904,0.09591341018676758,0.20839329063892365,0.5352458953857422
a,0.3320399522781372,0.22472180426120758,0.5829201340675354,0.2138662338256836,0.30341604351997375,0.5829201340675354,0.2762584090232849,0.5052502155303955,0.5829201340675354,0.11213719099760056,0.23198452591896057,0.50484299659729
feasible,0.3826617896556854,0.23894549906253815,0.24963194131851196,0.28208211064338684,0.11228317022323608,0.24963194131851196,0.2164706140756607,0.2559953033924103,0.24963194131851196,0.08236142247915268,0.1887679100036621,0.2006106823682785
ac,0.12080251425504684,0.05671646073460579,0.11894276738166809,0.12499815225601196,0.01885044202208519,0.11894276738166809,0.06791139394044876,0.09591341018676758,0.11894276738166809,1.0000001192092896,0.2673928141593933,0.21823462843894958
motor,0.18952611088752747,0.23872177302837372,0.26024484634399414,0.21696671843528748,0.1464676558971405,0.26024484634399414,0.16394257545471191,0.20839329063892365,0.26024484634399414,0.2673928141593933,0.9999999403953552,0.19128412008285522
gave,0.14222867786884308,0.17642883956432343,0.32555076479911804,0.18491561710834503,0.26742738485336304,0.32555076479911804,0.14180372655391693,0.3650403320789337,0.32555076479911804,0.15797656774520874,0.050991058349609375,0.29957500100135803
westinghouse,0.16126319766044617,0.10724052786827087,0.3101098835468292,0.19435150921344757,0.2953227460384369,0.3101098835468292,0.29970023036003113,0.28119996190071106,0.3101098835468292,0.2760004699230194,0.3054238557815552,0.3097001910209656
a,0.3320399522781372,0.22472180426120758,0.5829201340675354,0.2138662338256836,0.30341604351997375,0.5829201340675354,0.2762584090232849,0.5052502155303955,0.5829201340675354,0.11213719099760056,0.23198452591896057,0.50484299659729
