,how,many,picks,did,peyton,manning,throw,in,the,season,?
manning,0.2318497896194458,0.17441397905349731,0.34443289041519165,0.22743284702301025,0.5102329254150391,0.9999998807907104,0.30718404054641724,0.22345924377441406,0.27058160305023193,0.33529460430145264,0.15856626629829407
finished,0.18142320215702057,0.15678347647190094,0.16354139149188995,0.34182655811309814,0.28829672932624817,0.2231869399547577,0.15907371044158936,0.2933714687824249,0.2754973769187927,0.30780723690986633,0.14789283275604248
the,0.33890387415885925,0.4335206151008606,0.31046998500823975,0.34736719727516174,0.2709864377975464,0.27058160305023193,0.23050227761268616,0.6662389636039734,1.0,0.2507155239582062,0.22068053483963013
year,0.19631797075271606,0.21933086216449738,0.2329459935426712,0.21422851085662842,0.23666128516197205,0.2521476149559021,0.11593060940504074,0.3359307050704956,0.3609684407711029,0.3561827838420868,0.18315006792545319
with,0.3525622487068176,0.35744401812553406,0.282016396522522,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.20230844616889954,0.4080928862094879,0.4223487675189972,0.26700887084007263,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.265468955039978,0.2552328109741211,0.298135370016098,0.2509649395942688,0.32970285415649414,0.539380669593811,0.5829201340675354,0.1855505406856537,0.23916715383529663
career-low,0.2479514181613922,0.2875238358974457,0.2143944501876831,0.31910577416419983,0.39296090602874756,0.39836275577545166,0.2020246982574463,0.26392239332199097,0.21368016302585602,0.3512099087238312,0.15329208970069885
67.9,0.09646183252334595,0.11966115236282349,0.16104790568351746,0.19133634865283966,0.3196260631084442,0.31852784752845764,0.10444589704275131,0.2402951419353485,0.2065390944480896,0.15665824711322784,0.07895093411207199
passer,0.19386127591133118,0.05720050632953644,0.22983789443969727,0.1459997296333313,0.35299578309059143,0.36685898900032043,0.2844102084636688,0.21523135900497437,0.2630290985107422,0.2606119215488434,0.15625450015068054
rating,0.20311082899570465,0.1606440395116806,0.27236002683639526,0.17871320247650146,0.308472603559494,0.3009924292564392,0.22742414474487305,0.16727057099342346,0.24654440581798553,0.31314903497695923,0.18754872679710388
",",0.22659391164779663,0.40610817074775696,0.26546359062194824,0.3015086054801941,0.2979121208190918,0.30921146273612976,0.18939918279647827,0.5201468467712402,0.4933079481124878,0.2232367992401123,0.31091248989105225
throwing,0.24389290809631348,0.2297176569700241,0.408786416053772,0.2288447916507721,0.22289134562015533,0.3527540862560272,0.7815671563148499,0.1828322857618332,0.2748998701572418,0.14558328688144684,0.15241092443466187
for,0.3308170735836029,0.40972793102264404,0.31561174988746643,0.318512886762619,0.30435749888420105,0.33057859539985657,0.26654914021492004,0.4322226941585541,0.4739971458911896,0.24490800499916077,0.264628142118454
"2,249",0.18779075145721436,0.27626094222068787,0.013178190216422081,0.16991975903511047,0.07875607162714005,0.029534146189689636,-0.015244459733366966,0.1103525385260582,0.06310079246759415,-0.0024333468172699213,0.018604634329676628
yards,0.1345205456018448,0.13134367763996124,0.28911739587783813,0.11230118572711945,0.4152722656726837,0.5283294916152954,0.3343540132045746,0.14206624031066895,0.16070343554019928,0.3280850648880005,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.31512385606765747,0.34479495882987976,0.27112144231796265,0.2638654112815857,0.1982293725013733,0.4954058527946472,0.5171257257461548,0.2369309365749359,0.20544172823429108
nine,0.1557593196630478,0.3415135145187378,0.1334300935268402,0.16091835498809814,0.13646109402179718,0.2181665301322937,0.16704508662223816,0.303353875875473,0.33253175020217896,0.23210260272026062,0.13964155316352844
touchdowns,0.15057362616062164,0.1144808754324913,0.3440110385417938,0.20483340322971344,0.44845646619796753,0.5383488535881042,0.3633248805999756,0.17643709480762482,0.20508192479610443,0.4151381552219391,0.1509619653224945
",",0.22659391164779663,0.40610817074775696,0.26546359062194824,0.3015086054801941,0.2979121208190918,0.30921146273612976,0.18939918279647827,0.5201468467712402,0.4933079481124878,0.2232367992401123,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.282016396522522,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.20230844616889954,0.4080928862094879,0.4223487675189972,0.26700887084007263,0.2433311939239502
17,0.11148978024721146,0.08628290146589279,0.058106597512960434,0.07127774506807327,0.08144426345825195,0.02101394347846508,-0.02091015875339508,0.10391845554113388,0.10537172853946686,0.16613055765628815,0.17603135108947754
interceptions,0.2084771692752838,0.21864065527915955,0.36665600538253784,0.21840861439704895,0.33540111780166626,0.47789567708969116,0.34933018684387207,0.19061775505542755,0.22331646084785461,0.35161852836608887,0.10945115238428116
.,0.3287222981452942,0.3974229395389557,0.2963975965976715,0.35288307070732117,0.2932659685611725,0.2937074899673462,0.22780419886112213,0.5591574311256409,0.5934505462646484,0.24674734473228455,0.4130953550338745
