,what,is,the,nature,of,the,relationship,between,t-cells,and,vitamin,d,?
t-cells,0.20145228505134583,0.1659623384475708,0.23944512009620667,0.20662479102611542,0.28892675042152405,0.23944512009620667,0.13911889493465424,0.15462782979011536,1.0000001192092896,0.2910163104534149,0.3265281021595001,0.12573504447937012,0.17387129366397858
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.2563968896865845,0.3802283704280853,0.40389683842658997,0.2631465792655945,0.3203330636024475,0.30669230222702026,0.4711785912513733,0.25844407081604004,0.10962612181901932,0.32991164922714233
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22402097284793854,0.5052502155303955,0.5829201340675354,0.25691166520118713,0.29385313391685486,0.2773948907852173,0.3739250600337982,0.18759925663471222,0.23995991051197052,0.23916715383529663
symbiotic,0.22516398131847382,0.2161060869693756,0.22783450782299042,0.37141910195350647,0.2651115357875824,0.22783450782299042,0.32589882612228394,0.2602405250072479,0.44776710867881775,0.2542237341403961,0.3548101484775543,0.04080994427204132,0.1674308031797409
relationship,0.24358563125133514,0.22806847095489502,0.21018025279045105,0.2902067005634308,0.22000651061534882,0.21018025279045105,1.0,0.3674123287200928,0.13911889493465424,0.3086830675601959,0.04133988544344902,0.12389953434467316,0.11361731588840485
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.17157115042209625,0.41827285289764404,0.4223487675189972,0.3188934326171875,0.3829993009567261,0.24889129400253296,0.5477725267410278,0.2073349952697754,0.13298417627811432,0.2433311939239502
vitamin,0.12379113584756851,0.2015729397535324,0.15835851430892944,0.17648042738437653,0.17766891419887543,0.15835851430892944,0.04133988544344902,0.04767265170812607,0.3265281021595001,0.23920921981334686,1.0,0.20004038512706757,0.18973398208618164
d.,0.05416262149810791,-0.03094921074807644,0.03410084545612335,-0.011971930041909218,0.025261009112000465,0.03410084545612335,0.004903834313154221,-0.06353222578763962,0.0442158579826355,0.007390535436570644,-0.0013372020330280066,-0.1694214642047882,-0.049560099840164185
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.2522481083869934,0.3307090103626251,0.4310511648654938,0.2483322024345398,0.18732105195522308,0.29821014404296875,0.39099299907684326,0.2882836163043976,0.13178898394107819,0.41942933201789856
only,0.41415658593177795,0.44708555936813354,0.5497692227363586,0.28765472769737244,0.49632513523101807,0.5497692227363586,0.24924452602863312,0.3298133313655853,0.32435378432273865,0.4542345404624939,0.21935485303401947,0.14305168390274048,0.2767370045185089
does,0.38564667105674744,0.4403602182865143,0.35928019881248474,0.19841256737709045,0.3119818866252899,0.35928019881248474,0.22021599113941193,0.16966454684734344,0.2556142210960388,0.3461615741252899,0.22246594727039337,0.14577241241931915,0.338003009557724
the,0.42745697498321533,0.5823672413825989,1.0,0.19596898555755615,0.733189046382904,1.0,0.21018025279045105,0.39067012071609497,0.23944512009620667,0.5171257257461548,0.15835851430892944,0.22546343505382538,0.22068053483963013
t-cell,0.23781754076480865,0.12826094031333923,0.1863381564617157,0.14556680619716644,0.22602207958698273,0.1863381564617157,0.15234573185443878,0.11707385629415512,0.7480127215385437,0.216371089220047,0.27391913533210754,0.15219977498054504,0.2173434942960739
extend,0.30407145619392395,0.21152131259441376,0.29680711030960083,0.11167451739311218,0.2804538309574127,0.29680711030960083,0.07446159422397614,0.1804344207048416,0.17865413427352905,0.23680256307125092,0.12847588956356049,0.09904532879590988,0.2181791514158249
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22402097284793854,0.5052502155303955,0.5829201340675354,0.25691166520118713,0.29385313391685486,0.2773948907852173,0.3739250600337982,0.18759925663471222,0.23995991051197052,0.23916715383529663
