,what,is,the,unproven,assumption,generally,ascribed,to,the,value,of,complexity,classes,?
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.25226086378097534,0.1982618272304535,0.4686267375946045,0.2440275400876999,0.40243685245513916,0.4335206151008606,0.157600536942482,0.37253960967063904,0.2883065640926361,0.2907905578613281,0.2124512493610382
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.1261214017868042,0.16416102647781372,0.2763815224170685,0.30050939321517944,0.14337651431560516,0.3624623417854309,0.07550203800201416,0.35814476013183594,0.17207187414169312,0.16189859807491302,0.18314571678638458
complexity,0.33747240900993347,0.2541271150112152,0.21171598136425018,0.3226068615913391,0.3611520528793335,0.33300694823265076,0.23989003896713257,0.28336837887763977,0.21171598136425018,0.2969542145729065,0.23338180780410767,1.0,0.29931116104125977,0.23062916100025177
classes,0.20746955275535583,0.13611210882663727,0.21469499170780182,0.11012105643749237,0.16777122020721436,0.2939411699771881,0.1983928084373474,0.2503586411476135,0.21469499170780182,0.1714668571949005,0.19099700450897217,0.29931116104125977,1.0000001192092896,0.14397528767585754
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.2713158428668976,0.26721635460853577,0.5254502892494202,0.21239346265792847,0.3504326641559601,0.40399202704429626,0.1797625571489334,0.39081433415412903,0.27680158615112305,0.2913099527359009,0.24591213464736938
suspected,0.24397926032543182,0.15831057727336884,0.22821708023548126,0.371049165725708,0.18714165687561035,0.19145320355892181,0.21504846215248108,0.2186902016401291,0.22821708023548126,0.05466634780168533,0.22711022198200226,0.14034560322761536,0.10583372414112091,0.21243442595005035
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.25183790922164917,0.30439603328704834,0.3871513605117798,0.18036937713623047,1.0,0.535392165184021,0.23921877145767212,0.41548454761505127,0.28336837887763977,0.2503586411476135,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.4190032482147217,0.2952748239040375,0.4973081350326538,0.27883976697921753,0.4972836375236511,0.4248143136501312,0.2929580807685852,0.33904364705085754,0.34982410073280334,0.2610863149166107,0.3324260413646698
unequal,0.269809365272522,0.17976313829421997,0.2615147829055786,0.3254041075706482,0.2591980993747711,0.34147506952285767,0.33855825662612915,0.2697896361351013,0.2615147829055786,0.25747519731521606,0.3257612884044647,0.4203127920627594,0.25178542733192444,0.13482573628425598
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20668749511241913,0.2519069015979767,0.29679131507873535,0.20257076621055603,0.44245919585227966,0.4933079481124878,0.23697449266910553,0.4946078956127167,0.27822354435920715,0.26848307251930237,0.31091248989105225
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.36314326524734497,0.33116403222084045,0.48635709285736084,0.22446003556251526,0.5542377829551697,0.4859698414802551,0.25617659091949463,0.39942997694015503,0.26913172006607056,0.27049896121025085,0.27921953797340393
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.36962780356407166,0.3613898456096649,0.47159460186958313,0.2764931321144104,0.5759071707725525,0.6274310946464539,0.2783501148223877,0.45148900151252747,0.36163562536239624,0.2573593854904175,0.3155723512172699
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.22865842282772064,0.21521976590156555,0.33076077699661255,0.15848970413208008,0.3619994819164276,0.4177538752555847,0.1682177633047104,0.3909035325050354,0.23784728348255157,0.15154723823070526,0.15994466841220856
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.43470171093940735,0.3634018301963806,0.4818459153175354,0.2716979682445526,0.5149973034858704,0.4310511648654938,0.24114683270454407,0.3307090103626251,0.2915634512901306,0.24143658578395844,0.41942933201789856
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.37361040711402893,0.21053996682167053,0.38285019993782043,0.29399797320365906,0.34945759177207947,0.3563927710056305,0.1467028707265854,0.31685134768486023,0.26708337664604187,0.20570215582847595,0.24354910850524902
proved,0.23704653978347778,0.16634024679660797,0.2359304130077362,0.48078653216362,0.2858210802078247,0.23791998624801636,0.30754685401916504,0.21811220049858093,0.2359304130077362,0.13062895834445953,0.2446507066488266,0.26469939947128296,0.15734238922595978,0.1678566187620163
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2485329955816269,0.2328525334596634,0.3124077022075653,0.1973024606704712,0.4645031690597534,0.5934505462646484,0.21357886493206024,0.5352458953857422,0.21340465545654297,0.24851149320602417,0.4130953550338745
