,what,was,enhanced,in,2014,?
glazing,0.19316627085208893,0.16439397633075714,0.28454604744911194,0.18086539208889008,0.08101089298725128,0.15246842801570892
was,0.22111038863658905,1.0000001192092896,0.09456757456064224,0.45514053106307983,0.1446884423494339,0.18412111699581146
placed,0.20823347568511963,0.23873765766620636,0.21151962876319885,0.263030469417572,0.03435618430376053,0.18964257836341858
over,0.28007611632347107,0.24486446380615234,0.17288857698440552,0.3605569899082184,0.03722882270812988,0.25742942094802856
the,0.42745697498321533,0.48711544275283813,0.20192280411720276,0.6662389636039734,0.059490643441677094,0.22068053483963013
historic,0.18988226354122162,0.17231665551662445,0.19265420734882355,0.3082408010959625,-0.051984213292598724,0.09992891550064087
arches,0.11721120774745941,0.1837751269340515,0.16535112261772156,0.23290809988975525,0.026378367096185684,0.15862171351909637
and,0.31309178471565247,0.3740963041782379,0.2361598163843155,0.4954058527946472,0.14333748817443848,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,0.20192280411720276,0.6662389636039734,0.059490643441677094,0.22068053483963013
victorian,0.15513519942760468,0.27178600430488586,0.13169734179973602,0.21606117486953735,0.050748083740472794,0.07572567462921143
architecture,0.23286667466163635,0.2264874130487442,0.20946796238422394,0.2624244689941406,-0.05013921856880188,0.14343059062957764
was,0.22111038863658905,1.0000001192092896,0.09456757456064224,0.45514053106307983,0.1446884423494339,0.18412111699581146
enhanced,0.17255665361881256,0.09456757456064224,1.0000001192092896,0.143305703997612,0.025900909677147865,0.13735352456569672
;,0.10986888408660889,0.0754367932677269,-0.015956951305270195,0.092739537358284,-0.0923287644982338,0.10349778085947037
transforming,0.20609474182128906,0.17731717228889465,0.28016799688339233,0.21294431388378143,0.07473573833703995,0.12401244789361954
the,0.42745697498321533,0.48711544275283813,0.20192280411720276,0.6662389636039734,0.059490643441677094,0.22068053483963013
19th,0.11525199562311172,0.24231374263763428,0.12478960305452347,0.15408828854560852,0.17182783782482147,0.004712673369795084
century,0.20422613620758057,0.3521432876586914,0.09334461390972137,0.3174034655094147,0.04206515848636627,0.1026201918721199
public,0.1729622185230255,0.2513592839241028,0.16892756521701813,0.29074716567993164,-0.05485791712999344,0.19872993230819702
portico,0.1085742712020874,0.28101035952568054,0.24284355342388153,0.2916741371154785,0.006315740291029215,0.0848315879702568
.,0.3567904531955719,0.40146201848983765,0.15774193406105042,0.5591574311256409,0.14509223401546478,0.4130953550338745
